candidate_index,lipid_name,truth,clean_rho,mild_rho,stratum,domain,method,q_full,q_deleted,delta_q_unclipped,stable_delta_q_longdouble_accumulation,rho,stable_rho_unclipped,signal_energy_plus_epsilon,x_full_candidate,original_stored_rho,full_dual_violation,deleted_dual_violation,full_complementarity,deleted_complementarity,full_gradient_scale,deleted_gradient_scale,full_raw_min_coefficient,deleted_raw_min_coefficient,full_negative_projection_norm,deleted_negative_projection_norm,full_seconds,deleted_seconds,correction_cosine_with_known_mismatch,top_mismatch_channels_signed_gain,positive_gain_fraction_on_top_mismatch_channels,passes_original_cutoff,passes_mild_cutoff
8,PA 18:0_22:3,True,7.648183435343335e-08,0.0,true_positive_to_zero,CLEAN,scipy_nnls_original_order,8.243086792017075e-19,2.3958724457634184e-08,2.3958724456809876e-08,2.395872445681064e-08,7.648183435343335e-08,7.64818343534358e-08,0.3132603272313426,0.00907401545221812,7.648183435343335e-08,2.337229609858344e-16,1.978801710730748e-16,6.873816868176826e-18,6.211200986361126e-18,0.26237873059943667,0.2623787305994367,0.0,0.0,0.0,0.0,0.498459842056036,0.438559852540493,0.057856909527612556,6.463440041504951e-09,0.2697739628483276,True,False
8,PA 18:0_22:3,True,7.648183435343335e-08,0.0,true_positive_to_zero,CLEAN,scipy_nnls_reverse_order,8.243086792017075e-19,2.3958724457634184e-08,2.3958724456809876e-08,2.395872445681064e-08,7.648183435343335e-08,7.64818343534358e-08,0.3132603272313426,0.00907401545221812,7.648183435343335e-08,2.337229609858344e-16,1.978801710730748e-16,6.873816868176826e-18,6.211200986361126e-18,0.26237873059943667,0.2623787305994367,0.0,0.0,0.0,0.0,0.494884617626667,0.4332212843000889,0.057856909527612556,6.463440041504951e-09,0.2697739628483276,True,False
8,PA 18:0_22:3,True,7.648183435343335e-08,0.0,true_positive_to_zero,CLEAN,scipy_lsq_linear_bvls_tol_1e-12,8.333772108127009e-19,2.3958724457634578e-08,2.39587244568012e-08,2.3958724456801197e-08,7.648183435340567e-08,7.648183435340565e-08,0.3132603272313426,0.009074015969106307,7.648183435343335e-08,9.414442026744913e-13,2.849757647742368e-16,1.9999102855475974e-17,1.3502578763289535e-17,0.26237873059943667,0.2623787305994367,-2.5849394142282115e-26,-5.421010862427522e-20,3.6571606267851224e-26,5.518110862881386e-20,0.7315319627523422,1.409075990319252,0.057856899731984594,6.463440041500264e-09,0.2697739628482383,True,False
8,PA 18:0_22:3,True,7.648183435343335e-08,0.0,true_positive_to_zero,MILD,scipy_nnls_original_order,0.00034997259613769464,0.0003499725961376941,-5.421010862427522e-19,1.0660895454541822e-19,0.0,3.5435415594730665e-19,0.3008542520417659,0.0,0.0,9.25438268190547e-17,1.2332799712022613e-16,3.2563079535503204e-18,3.2782098235472015e-18,0.25717082035781663,0.2571708203578166,0.0,0.0,0.0,0.0,0.3053913153707981,0.28438369557261467,-0.0022543625382914745,1.9194182469222452e-19,0.7291348563581924,False,False
8,PA 18:0_22:3,True,7.648183435343335e-08,0.0,true_positive_to_zero,MILD,scipy_nnls_reverse_order,0.00034997259613769464,0.0003499725961376941,-5.421010862427522e-19,1.0660895454541822e-19,0.0,3.5435415594730665e-19,0.3008542520417659,0.0,0.0,9.25438268190547e-17,1.2332799712022613e-16,3.2563079535503204e-18,3.2782098235472015e-18,0.25717082035781663,0.2571708203578166,0.0,0.0,0.0,0.0,0.30618149042129517,0.28355374187231064,-0.0022543625382914745,1.9194182469222452e-19,0.7291348563581924,False,False
8,PA 18:0_22:3,True,7.648183435343335e-08,0.0,true_positive_to_zero,MILD,scipy_lsq_linear_bvls_tol_1e-12,0.0003499725961376944,0.00034997259613769464,2.710505431213761e-19,2.1388842492215943e-19,9.009363879083474e-19,7.109370184087227e-19,0.3008542520417659,0.0,0.0,5.470175297528219e-16,5.442694905877232e-16,1.591494976978109e-17,1.626147560692348e-17,0.25717082035781663,0.2571708203578166,-1.3010426069826053e-18,-8.673617379884035e-19,1.7230515684107872e-18,9.20805972715339e-19,1.3843788728117943,1.4035536088049412,-0.11521968660251132,2.270616209830831e-19,0.8834349450772095,True,False
10,PA 18:0_22:5,True,2.737093658639987e-08,0.0,true_positive_to_zero,CLEAN,scipy_nnls_original_order,8.243086792017075e-19,8.57422855250826e-09,8.574228551683952e-09,8.574228551683897e-09,2.737093658639987e-08,2.73709365863997e-08,0.3132603272313426,0.007352517350478719,2.737093658639987e-08,2.337229609858344e-16,2.6264517048797567e-16,6.873816868176826e-18,6.6514885124141175e-18,0.26237873059943667,0.2623787305994367,0.0,0.0,0.0,0.0,0.498459842056036,0.43710657209157944,0.024905684224947783,1.4252492131784303e-09,0.16622477516050072,True,False
10,PA 18:0_22:5,True,2.737093658639987e-08,0.0,true_positive_to_zero,CLEAN,scipy_nnls_reverse_order,8.243086792017075e-19,8.57422855250826e-09,8.574228551683952e-09,8.574228551683897e-09,2.737093658639987e-08,2.73709365863997e-08,0.3132603272313426,0.007352517350478719,2.737093658639987e-08,2.337229609858344e-16,2.6264517048797567e-16,6.873816868176826e-18,6.6514885124141175e-18,0.26237873059943667,0.2623787305994367,0.0,0.0,0.0,0.0,0.494884617626667,0.4324030503630638,0.024905684224947783,1.4252492131784303e-09,0.16622477516050072,True,False
10,PA 18:0_22:5,True,2.737093658639987e-08,0.0,true_positive_to_zero,CLEAN,scipy_lsq_linear_bvls_tol_1e-12,8.333772108127009e-19,8.574228552508288e-09,8.57422855167491e-09,8.57422855167491e-09,2.737093658637101e-08,2.737093658637101e-08,0.3132603272313426,0.007352520264106481,2.737093658639987e-08,9.414442026744913e-13,8.55965836125383e-17,1.9999102855475974e-17,8.358497467311588e-18,0.26237873059943667,0.2623787305994367,-2.5849394142282115e-26,-1.0842021724855044e-19,3.6571606267851224e-26,1.1053399666961427e-19,0.7315319627523422,1.6508498080074787,0.02490566601531553,1.4252492131755042e-09,0.1662247751603336,True,False
10,PA 18:0_22:5,True,2.737093658639987e-08,0.0,true_positive_to_zero,MILD,scipy_nnls_original_order,0.00034997259613769464,0.00034997259613769464,0.0,2.582477273255955e-19,0.0,8.583815105586223e-19,0.3008542520417659,0.0,0.0,9.25438268190547e-17,9.1591366652502e-17,3.2563079535503204e-18,3.2548512641662985e-18,0.25717082035781663,0.2571708203578166,0.0,0.0,0.0,0.0,0.3053913153707981,0.3135312795639038,-0.24654385531174308,2.4580598441234505e-19,0.8803846169583536,False,False
