candidate_index,lipid_name,truth,stratum,domain,stored_rho,recomputed_original_rho,original_absolute_difference,min_rho,max_rho,method_range,original_cutoff_agreement,mild_cutoff_agreement,max_dual_violation,max_complementarity,original_x_full_candidate,correction_cosine_with_known_mismatch,positive_gain_fraction_on_top_mismatch_channels
8,PA 18:0_22:3,True,true_positive_to_zero,CLEAN,7.648183435343335e-08,7.648183435343335e-08,0.0,7.648183435340567e-08,7.648183435343335e-08,2.768738946337494e-20,True,True,9.414442026744913e-13,1.9999102855475974e-17,0.00907401545221812,0.057856909527612556,0.2697739628483276
8,PA 18:0_22:3,True,true_positive_to_zero,MILD,0.0,0.0,0.0,0.0,9.009363879083474e-19,9.009363879083474e-19,False,True,5.470175297528219e-16,1.626147560692348e-17,0.0,-0.0022543625382914745,0.7291348563581924
10,PA 18:0_22:5,True,true_positive_to_zero,CLEAN,2.737093658639987e-08,2.737093658639987e-08,0.0,2.737093658637101e-08,2.737093658639987e-08,2.886198593320024e-20,True,True,9.414442026744913e-13,1.9999102855475974e-17,0.007352517350478719,0.024905684224947783,0.16622477516050072
10,PA 18:0_22:5,True,true_positive_to_zero,MILD,0.0,0.0,0.0,0.0,9.009363879083474e-19,9.009363879083474e-19,False,True,5.470175297528219e-16,1.626147560692348e-17,0.0,-0.24654385531174308,0.8803846169583536
19,PA 18:1_22:3,False,false_gains_original_cutoff,CLEAN,0.0,0.0,0.0,0.0,0.0,0.0,True,True,9.82339181053218e-13,1.9999102855475974e-17,0.0,-0.0145181660091945,0.4830217355944658
19,PA 18:1_22:3,False,false_gains_original_cutoff,MILD,8.474893859679513e-06,8.474893859679513e-06,0.0,8.474893859679513e-06,8.474893859680775e-06,1.2620790914089075e-18,True,True,5.470175297528219e-16,1.8633047201366492e-17,0.025095624208334617,-0.09221851578623445,0.7322384347465918
56,PA 20:1_22:5,False,false_gains_original_cutoff,CLEAN,3.0330398519472785e-27,3.0330398519472785e-27,0.0,0.0,3.0330398519472785e-27,3.0330398519472785e-27,True,True,9.414442026744913e-13,1.9999102855475974e-17,0.0,-0.029383960991178598,0.5910329224556206
56,PA 20:1_22:5,False,false_gains_original_cutoff,MILD,9.009363879083474e-19,9.009363879083474e-19,0.0,9.009363879083474e-19,9.009363879083474e-19,0.0,True,True,5.590959552964625e-16,1.670445504701248e-17,0.0,-0.07653184561681613,0.7909048442482973
0,PA 16:0_24:0,True,true_survives_mild_cutoff,CLEAN,1.7916298684924645e-05,1.7916298684924645e-05,0.0,1.7916298684924645e-05,1.7916298684924662e-05,1.6940658945086007e-20,True,True,9.414442026744913e-13,1.9999102855475974e-17,0.029410103545771477,0.019852170974488527,0.2489898319742647
0,PA 16:0_24:0,True,true_survives_mild_cutoff,MILD,4.85505181597886e-05,4.85505181597886e-05,0.0,4.85505181597886e-05,4.8550518159789145e-05,5.421010862427522e-19,True,True,5.470175297528219e-16,1.591494976978109e-17,0.024497720445645108,-0.054160776518023396,0.6243955372056688
6,PA 18:0_22:1,True,true_survives_mild_cutoff,CLEAN,6.849826663802598e-07,6.849826663802598e-07,0.0,6.849826663802554e-07,6.849826663802598e-07,4.341043854678289e-21,True,True,9.414442026744913e-13,1.9999102855475974e-17,0.0073525332929714575,-0.004799869367221151,0.10088839476027064
6,PA 18:0_22:1,True,true_survives_mild_cutoff,MILD,2.7148736016660327e-05,2.7148736016660327e-05,0.0,2.7148736016660327e-05,2.714873601666087e-05,5.421010862427522e-19,True,True,5.470175297528219e-16,1.591494976978109e-17,0.02987761740854563,-0.08973053619130551,0.619887556616741
59,PA 20:2_20:3,False,false_passes_mild_cutoff,CLEAN,6.368610567775e-20,6.368610567775e-20,0.0,6.368610567775e-20,7.119462874031765e-20,7.50852306256765e-21,True,True,9.80119566831861e-13,1.9999102855475974e-17,3.367047951577096e-09,-0.057445227336512694,0.34012936483780853
59,PA 20:2_20:3,False,false_passes_mild_cutoff,MILD,1.7543740552697457e-05,1.7543740552697457e-05,0.0,1.7543740552697457e-05,1.754374055269782e-05,3.6253010142484055e-19,True,True,5.470175297528219e-16,1.591494976978109e-17,0.024525581207881217,-0.0929918452088434,0.7292174182033705
105,PS 18:0_18:0,False,false_passes_mild_cutoff,CLEAN,1.2375094643005208e-20,1.2375094643005208e-20,0.0,5.247285048593668e-21,1.2375094643005208e-20,7.12780959441154e-21,True,True,9.788601183865561e-13,1.9999102855475974e-17,9.549565237894945e-10,0.008124853091548742,0.19650034991144696
105,PS 18:0_18:0,False,false_passes_mild_cutoff,MILD,2.2951148872229625e-05,2.2951148872229625e-05,0.0,2.2951148872229625e-05,2.2951148872231424e-05,1.799097979968134e-18,True,True,5.470175297528219e-16,1.591494976978109e-17,0.011242442853789756,-0.1016287249310896,0.6150605198295498
