scope,value,score,target,truth_count,reportable_truth_count,raw_solver_TP,raw_solver_FP,raw_solver_FN,filtered_TP,filtered_FP,filtered_FN,FDR,all_truth_recall,reportable_truth_recall,TP_retention,filter_induced_true_loss,filter_induced_true_loss_fraction,coverage
GLOBAL,ALL,raw,NONE,3375,3375,3253,3212,122,3253,3212,122,0.49682907965970613,0.9638518518518518,0.9638518518518518,1.0,0,0.0,1.0
GLOBAL,ALL,rho_zero,FDR5,3375,3375,3253,3212,122,3253,112,122,0.03328380386329866,0.9638518518518518,0.9638518518518518,1.0,0,0.0,0.5204949729311679
GLOBAL,ALL,rho_zero,FDR1,3375,3375,3253,3212,122,3253,8,122,0.0024532352039251764,0.9638518518518518,0.9638518518518518,1.0,0,0.0,0.5044083526682135
GLOBAL,ALL,X_hat,FDR5,3375,3375,3253,3212,122,1025,43,2350,0.040262172284644196,0.3037037037037037,0.3037037037037037,0.3150937596065171,2228,0.6849062403934829,0.16519721577726218
GLOBAL,ALL,X_hat,FDR1,3375,3375,3253,3212,122,151,0,3224,0.0,0.04474074074074074,0.04474074074074074,0.04641869043959422,3102,0.9535813095604058,0.023356535189481824
K,50,raw,NONE,250,250,250,430,0,250,430,0,0.6323529411764706,1.0,1.0,1.0,0,0.0,1.0
K,50,rho_zero,FDR5,250,250,250,430,0,250,4,0,0.015748031496062992,1.0,1.0,1.0,0,0.0,0.3735294117647059
K,50,rho_zero,FDR1,250,250,250,430,0,250,0,0,0.0,1.0,1.0,1.0,0,0.0,0.36764705882352944
K,50,X_hat,FDR5,250,250,250,430,0,155,15,95,0.08823529411764706,0.62,0.62,0.62,95,0.38,0.25
K,50,X_hat,FDR1,250,250,250,430,0,79,0,171,0.0,0.316,0.316,0.316,171,0.684,0.1161764705882353
K,75,raw,NONE,375,375,373,534,2,373,534,2,0.5887541345093715,0.9946666666666667,0.9946666666666667,1.0,0,0.0,1.0
K,75,rho_zero,FDR5,375,375,373,534,2,373,12,2,0.03116883116883117,0.9946666666666667,0.9946666666666667,1.0,0,0.0,0.4244762954796031
K,75,rho_zero,FDR1,375,375,373,534,2,373,3,2,0.007978723404255319,0.9946666666666667,0.9946666666666667,1.0,0,0.0,0.4145534729878721
K,75,X_hat,FDR5,375,375,373,534,2,189,10,186,0.05025125628140704,0.504,0.504,0.5067024128686327,184,0.4932975871313673,0.21940463065049615
K,75,X_hat,FDR1,375,375,373,534,2,53,0,322,0.0,0.14133333333333334,0.14133333333333334,0.14209115281501342,320,0.8579088471849866,0.05843439911797133
K,100,raw,NONE,500,500,486,584,14,486,584,14,0.5457943925233645,0.972,0.972,1.0,0,0.0,1.0
K,100,rho_zero,FDR5,500,500,486,584,14,486,21,14,0.04142011834319527,0.972,0.972,1.0,0,0.0,0.4738317757009346
K,100,rho_zero,FDR1,500,500,486,584,14,486,2,14,0.004098360655737705,0.972,0.972,1.0,0,0.0,0.45607476635514016
K,100,X_hat,FDR5,500,500,486,584,14,187,9,313,0.04591836734693878,0.374,0.374,0.38477366255144035,299,0.6152263374485597,0.18317757009345795
K,100,X_hat,FDR1,500,500,486,584,14,13,0,487,0.0,0.026,0.026,0.026748971193415638,473,0.9732510288065843,0.012149532710280374
K,125,raw,NONE,625,625,597,581,28,597,581,28,0.4932088285229202,0.9552,0.9552,1.0,0,0.0,1.0
K,125,rho_zero,FDR5,625,625,597,581,28,597,13,28,0.021311475409836064,0.9552,0.9552,1.0,0,0.0,0.5178268251273345
K,125,rho_zero,FDR1,625,625,597,581,28,597,0,28,0.0,0.9552,0.9552,1.0,0,0.0,0.5067911714770797
