dimension,group,target,truth_count,reportable_truth_count,raw_solver_TP,raw_solver_FP,raw_solver_FN,filtered_TP,filtered_FP,filtered_FN,FDR,all_truth_recall,reportable_truth_recall,TP_retention,filter_induced_true_loss,filter_induced_true_loss_fraction,coverage
K,100,FDR5,500,500,486,584,14,486,21,14,0.04142011834319527,0.972,0.972,1.0,0,0.0,0.4738317757009346
K,100,FDR1,500,500,486,584,14,486,2,14,0.004098360655737705,0.972,0.972,1.0,0,0.0,0.45607476635514016
K,125,FDR5,625,625,597,581,28,597,13,28,0.021311475409836064,0.9552,0.9552,1.0,0,0.0,0.5178268251273345
K,125,FDR1,625,625,597,581,28,597,0,28,0.0,0.9552,0.9552,1.0,0,0.0,0.5067911714770797
K,150,FDR5,750,750,718,566,32,718,19,32,0.025780189959294438,0.9573333333333334,0.9573333333333334,1.0,0,0.0,0.57398753894081
K,150,FDR1,750,750,718,566,32,718,0,32,0.0,0.9573333333333334,0.9573333333333334,1.0,0,0.0,0.559190031152648
K,175,FDR5,875,875,829,517,46,829,43,46,0.04931192660550459,0.9474285714285714,0.9474285714285714,1.0,0,0.0,0.6478454680534919
K,175,FDR1,875,875,829,517,46,829,3,46,0.003605769230769231,0.9474285714285714,0.9474285714285714,1.0,0,0.0,0.6181277860326895
K,50,FDR5,250,250,250,430,0,250,4,0,0.015748031496062992,1.0,1.0,1.0,0,0.0,0.3735294117647059
K,50,FDR1,250,250,250,430,0,250,0,0,0.0,1.0,1.0,1.0,0,0.0,0.36764705882352944
K,75,FDR5,375,375,373,534,2,373,12,2,0.03116883116883117,0.9946666666666667,0.9946666666666667,1.0,0,0.0,0.4244762954796031
K,75,FDR1,375,375,373,534,2,373,3,2,0.007978723404255319,0.9946666666666667,0.9946666666666667,1.0,0,0.0,0.4145534729878721
replicate,R1,FDR5,675,675,649,663,26,649,26,26,0.03851851851851852,0.9614814814814815,0.9614814814814815,1.0,0,0.0,0.5144817073170732
replicate,R1,FDR1,675,675,649,663,26,649,2,26,0.0030721966205837174,0.9614814814814815,0.9614814814814815,1.0,0,0.0,0.4961890243902439
replicate,R2,FDR5,675,675,655,620,20,655,30,20,0.043795620437956206,0.9703703703703703,0.9703703703703703,1.0,0,0.0,0.5372549019607843
replicate,R2,FDR1,675,675,655,620,20,655,3,20,0.004559270516717325,0.9703703703703703,0.9703703703703703,1.0,0,0.0,0.516078431372549
replicate,R3,FDR5,675,675,649,650,26,649,16,26,0.02406015037593985,0.9614814814814815,0.9614814814814815,1.0,0,0.0,0.5119322555812164
replicate,R3,FDR1,675,675,649,650,26,649,1,26,0.0015384615384615385,0.9614814814814815,0.9614814814814815,1.0,0,0.0,0.5003849114703618
replicate,R4,FDR5,675,675,651,629,24,651,15,24,0.02252252252252252,0.9644444444444444,0.9644444444444444,1.0,0,0.0,0.5203125
replicate,R4,FDR1,675,675,651,629,24,651,0,24,0.0,0.9644444444444444,0.9644444444444444,1.0,0,0.0,0.50859375
replicate,R5,FDR5,675,675,649,650,26,649,25,26,0.037091988130563795,0.9614814814814815,0.9614814814814815,1.0,0,0.0,0.5188606620477291
replicate,R5,FDR1,675,675,649,650,26,649,2,26,0.0030721966205837174,0.9614814814814815,0.9614814814814815,1.0,0,0.0,0.5011547344110855
lipid_class,PA,FDR5,760,760,730,657,30,730,50,30,0.0641025641025641,0.9605263157894737,0.9605263157894737,1.0,0,0.0,0.5623648161499639
lipid_class,PA,FDR1,760,760,730,657,30,730,3,30,0.004092769440654843,0.9605263157894737,0.9605263157894737,1.0,0,0.0,0.528478731074261
lipid_class,PC,FDR5,195,195,195,124,0,195,4,0,0.020100502512562814,1.0,1.0,1.0,0,0.0,0.6238244514106583
lipid_class,PC,FDR1,195,195,195,124,0,195,0,0,0.0,1.0,1.0,1.0,0,0.0,0.6112852664576802
lipid_class,PE,FDR5,1490,1490,1414,1802,76,1414,31,76,0.021453287197231833,0.9489932885906041,0.9489932885906041,1.0,0,0.0,0.44931592039800994
lipid_class,PE,FDR1,1490,1490,1414,1802,76,1414,3,76,0.002117148906139732,0.9489932885906041,0.9489932885906041,1.0,0,0.0,0.4406094527363184
lipid_class,PG,FDR5,610,610,595,482,15,595,15,15,0.02459016393442623,0.9754098360655737,0.9754098360655737,1.0,0,0.0,0.5663881151346333
lipid_class,PG,FDR1,610,610,595,482,15,595,0,15,0.0,0.9754098360655737,0.9754098360655737,1.0,0,0.0,0.552460538532962
lipid_class,PS,FDR5,320,320,319,147,1,319,12,1,0.03625377643504532,0.996875,0.996875,1.0,0,0.0,0.7103004291845494
lipid_class,PS,FDR1,320,320,319,147,1,319,2,1,0.006230529595015576,0.996875,0.996875,1.0,0,0.0,0.6888412017167382
