lipid_name,lipid_class,truth_contexts,solver_miss_contexts,miss_fraction,K_with_misses,replicates_with_misses,cone_isolation,max_fragment_cosine
PA 20:0_20:4,PA,30,12,0.4,100|125|150|175,R1|R2|R3|R4|R5,0.1645114953783594,0.8957566529041909
PA 18:0_24:5,PA,20,10,0.5,100|125|150|175,R1|R2|R3|R4,0.1609179673339711,0.923167578011941
PE 16:1_22:4,PE,30,9,0.3,100|125|175,R1|R2|R3|R4|R5,0.11707440620301834,0.9872300880237134
PE 18:3_20:4,PE,30,9,0.3,125|150|175,R1|R3|R4|R5,0.15717262060050777,0.9796724074104938
PE 18:0_20:3,PE,20,8,0.4,100|150|175,R1|R2|R3|R4|R5,0.19168425851262216,0.9604368385083139
PE O-18:1_20:3,PE,30,8,0.26666666666666666,75|100|125|150|175,R3|R5,0.17248031845796863,0.9828895828332406
PE O-20:2_20:3,PE,10,7,0.7,150|175,R1|R3|R4|R5,0.1699072530804405,0.9836260273963529
PE O-18:0_22:3,PE,30,6,0.2,125|150|175,R1|R2|R5,0.17092763078541914,0.9848176901850096
PE 20:1_20:4,PE,25,5,0.2,125|150|175,R1|R2|R4,0.22946614386916517,0.9422890778439277
PA 18:0_22:2,PA,30,4,0.13333333333333333,125|150|175,R3|R5,0.27393752390511106,0.8394493239810369
PE 18:1_22:3,PE,15,4,0.26666666666666666,125,R1|R2|R4|R5,0.10400557506001402,0.9605256779361461
PE O-18:0_20:2,PE,30,4,0.13333333333333333,75|125|175,R2|R4|R5,0.24588669439016053,0.9868742659860326
PG 17:0_20:4,PG,15,4,0.26666666666666666,150|175,R2|R3|R4,0.333380957182523,0.9887826418894832
PG 17:1_20:4,PG,25,4,0.16,100|150|175,R1|R5,0.4831275545644737,0.9853779862370524
PA 20:0_20:2,PA,5,3,0.6,175,R1|R2|R4,0.2807555140432376,0.7492730089935543
PE 20:2_20:3,PE,5,3,0.6,175,R3|R4|R5,0.10342592469336877,0.8809502880689941
PE O-18:2_22:4,PE,15,3,0.2,175,R1|R2|R3,0.14828595476682938,0.9790243416279218
PE 18:1_20:2,PE,15,2,0.13333333333333333,150|175,R1,0.23433578314102768,0.9251187567839819
PE 20:0_20:3,PE,25,2,0.08,125|175,R3,0.23032749244938702,0.9788474233762352
PE O-20:0_20:2,PE,20,2,0.1,125|150,R5,0.3574277360579778,0.9885666181646524
PG 16:1_20:1,PG,25,2,0.08,125|175,R1|R2,0.09626468926765062,0.9360510343034749
PG 17:1_20:1,PG,25,2,0.08,100|125,R4,0.266391512522408,0.9726361074886047
PG 18:0_20:5,PG,25,2,0.08,175,R1|R5,0.3912132251385195,0.9850297730134422
PA 20:1_20:1,PA,30,1,0.03333333333333333,125,R4,0.4231895167566119,0.9753576763078726
PE 16:0_24:5,PE,30,1,0.03333333333333333,175,R1,0.21271686018449112,0.9348240213453116
PE 17:0_20:0,PE,30,1,0.03333333333333333,125,R2,0.2698075638945543,0.9206618024583055
PE O-18:1_20:2,PE,5,1,0.2,175,R3,0.23640856435982596,0.9860488591567219
PE O-18:2_22:3,PE,25,1,0.04,150,R4,0.11689533016188987,0.986523537683374
PG 14:0_22:3,PG,5,1,0.2,175,R4,0.08672432217020402,0.9402021823761977
PS 16:0_20:3,PS,30,1,0.03333333333333333,150,R3,0.31718607034211305,0.6379581944357362
PA 16:0_24:1,PA,20,0,0.0,,,0.5504804076642431,0.883487638633687
PA 16:0_24:4,PA,5,0,0.0,,,0.2223063465458067,0.9171280506076233
PA 18:0_22:0,PA,25,0,0.0,,,0.3381799302246325,0.7789494468002593
PA 18:0_22:4,PA,30,0,0.0,,,0.18925162859522815,0.8691673191165914
PA 18:0_24:1,PA,30,0,0.0,,,0.3334734584306543,0.8793255202210899
PA 18:0_24:6,PA,10,0,0.0,,,0.1641748706562144,0.9374908882297373
PA 18:1_22:1,PA,30,0,0.0,,,0.46175873097333114,0.9022714644699661
PA 18:1_22:3,PA,25,0,0.0,,,0.26035456632127724,0.8639124793194024
PA 18:1_22:4,PA,25,0,0.0,,,0.23118051955905902,0.7349039762795926
PA 18:1_24:1,PA,10,0,0.0,,,0.4394175718623714,0.7742897189559598
PA 18:1_24:4,PA,15,0,0.0,,,0.2590661626283403,0.770029563231097
PA 18:1_24:6,PA,10,0,0.0,,,0.25854770171004793,0.8317569743542244
PA 18:2_24:4,PA,10,0,0.0,,,0.33277246997096527,0.6495701338678831
PA 18:2_24:5,PA,10,0,0.0,,,0.30902833514416345,0.8083196183923326
PA 20:0_20:3,PA,15,0,0.0,,,0.28594755195446475,0.8048190171061798
PA 20:0_22:1,PA,20,0,0.0,,,0.3017443733307278,0.7600275012777736
PA 20:0_22:4,PA,25,0,0.0,,,0.241048023112079,0.8303328039494347
PA 20:0_22:6,PA,5,0,0.0,,,0.18342642508946627,0.9361340206999159
PA 20:1_22:1,PA,30,0,0.0,,,0.48292710886676304,0.8982874947005188
PA 20:1_22:3,PA,20,0,0.0,,,0.33476954438953394,0.8781031661032047
PA 20:1_22:5,PA,5,0,0.0,,,0.22030580527220145,0.8930555529932804
PA 20:1_22:6,PA,15,0,0.0,,,0.23670331410171605,0.9753576763078726
PA 20:3_22:4,PA,10,0,0.0,,,0.402579539322542,0.7488776965339671
PA 20:4_22:4,PA,25,0,0.0,,,0.48634054946811606,0.6664725514235691
PA 22:0_18:2,PA,5,0,0.0,,,0.34226134747101367,0.761776416520081
PA 22:0_20:1,PA,20,0,0.0,,,0.4020166500263304,0.8495611434984474
PA 22:0_20:3,PA,5,0,0.0,,,0.4070101497165706,0.700138513759436
PA 22:0_20:4,PA,15,0,0.0,,,0.4550397992700734,0.7513055221510871
PA 22:1_18:2,PA,30,0,0.0,,,0.3672416022212644,0.8804726866933393
PA 22:1_20:2,PA,30,0,0.0,,,0.43337633237958284,0.8789327040599717
PA 22:1_20:3,PA,30,0,0.0,,,0.47201880717776407,0.8266719825061805
PA 22:1_20:5,PA,15,0,0.0,,,0.35373566324826666,0.8941830868357824
PA 22:5_22:5,PA,15,0,0.0,,,0.37471749963267753,0.9264320052062154
PA 22:6_22:6,PA,30,0,0.0,,,0.5618631902016936,0.691000163096786
PA 24:1_18:2,PA,25,0,0.0,,,0.416531063009088,0.7481851339902038
PC 14:0_20:2,PC,10,0,0.0,,,0.3254331442131747,0.6041425983942957
PC 14:0_20:4,PC,30,0,0.0,,,0.6036768381098416,0.7745273553735048
PC 14:1_20:1,PC,15,0,0.0,,,0.4158486366407816,0.6900215947371616
PC 16:0_18:0,PC,25,0,0.0,,,0.49212912704514206,0.6471130837014081
PC 16:0_18:1,PC,15,0,0.0,,,0.3986166534022413,0.6482926248318512
PC 16:0_18:2,PC,5,0,0.0,,,0.3131917397743864,0.5996238721920917
PC 16:1_18:1,PC,30,0,0.0,,,0.3710824945274597,0.6900215947371616
PC 16:1_18:2,PC,20,0,0.0,,,0.6451321224456396,0.494520891089959
PC 20:0_14:1,PC,30,0,0.0,,,0.593367589246976,0.47707361889437966
PC O-16:0_17:0,PC,5,0,0.0,,,0.7536429126805174,0.6594747873316874
PC O-16:1_18:1,PC,10,0,0.0,,,0.8076497414228311,0.6052609717953458
PE 16:0_22:1,PE,30,0,0.0,,,0.20454583643989277,0.8508967724619106
PE 16:0_22:2,PE,30,0,0.0,,,0.1886425381510025,0.8572487991575071
PE 16:0_22:4,PE,5,0,0.0,,,0.15895469448868532,0.9923755383909935
PE 16:0_24:6,PE,15,0,0.0,,,0.354462542162506,0.9120817497666402
PE 16:1_22:1,PE,30,0,0.0,,,0.29634414058106057,0.6962164662208943
PE 16:1_22:3,PE,10,0,0.0,,,0.12325824954460242,0.9816952449555878
PE 16:1_22:6,PE,10,0,0.0,,,0.2519478993591113,0.9780045750710121
PE 17:0_22:2,PE,5,0,0.0,,,0.13503108538528152,0.9386569008618137
PE 17:0_22:4,PE,20,0,0.0,,,0.16492324087593133,0.9518068384474951
PE 17:0_22:5,PE,25,0,0.0,,,0.20553202250395822,0.9211023236447361
PE 17:0_22:6,PE,30,0,0.0,,,0.31244709118745745,0.8271838267520604
PE 17:1_20:1,PE,20,0,0.0,,,0.2809048613188857,0.9726361074886047
PE 17:1_20:3,PE,25,0,0.0,,,0.17058675100295786,0.9942019114139844
PE 17:1_22:5,PE,15,0,0.0,,,0.1734421065443991,0.9209267513286628
