target,K,replicate,lipid_class,abundance_multiplier,status,n_identity_contexts,cone_isolation_median,max_fragment_cosine_median,max_full_cosine_median,collective_gain_median,X_hat_median
FDR1,100,R1,PA,0.5,retained,4,0.33211876993434547,0.849750061533013,0.7352701032014977,0.3211954257403472,0.00941160245266239
FDR1,100,R1,PA,0.5,solver_miss,1,0.1609179673339711,0.923167578011941,0.919680283971754,0.23175005437601462,0.0003214498411319727
FDR1,100,R1,PA,0.5340342571614348,retained,1,0.47201880717776407,0.8266719825061805,0.6924512402766023,0.24944586960093668,0.016686966575798563
FDR1,100,R1,PA,0.6170676298438253,retained,1,0.27393752390511106,0.8394493239810369,0.7712444256096473,0.36260158405766385,0.005844912967186713
FDR1,100,R1,PA,0.689110922829001,retained,2,0.31760891588069107,0.8196765107494317,0.7781821479320346,0.3048127292724736,0.011706145281062974
FDR1,100,R1,PA,0.7303443264893795,retained,2,0.3131351131758453,0.8990140586870785,0.7603663915396821,0.3165234541721317,0.012292281546648803
FDR1,100,R1,PA,0.7802037075442214,retained,1,0.48292710886676304,0.8982874947005188,0.7105340184716673,0.22073574264275386,0.009354737133093883
FDR1,100,R1,PA,1.0000000000000002,retained,1,0.416531063009088,0.7481851339902038,0.6386711778861706,0.35294871355264307,0.01842596549071416
FDR1,100,R1,PA,1.0760213163243861,retained,1,0.4020166500263304,0.8495611434984474,0.7558192210470013,0.2527636987135384,0.014826634750195083
FDR1,100,R1,PA,1.4538436095675817,retained,1,0.3381799302246325,0.7789494468002593,0.6213615663357793,0.44534403487199864,0.02166743757015839
FDR1,100,R1,PA,1.8682084992203376,retained,1,0.33476954438953394,0.8781031661032047,0.8136488404920164,0.24658711409645712,0.020908467441806994
FDR1,100,R1,PA,2.0,retained,6,0.40030896730042365,0.871422591689687,0.6876534457634512,0.302825297137833,0.024124538704930303
FDR1,100,R1,PC,0.6170676298438253,retained,1,0.593367589246976,0.47707361889437966,0.4777580009686473,0.2851238976272237,0.010241107879400545
FDR1,100,R1,PC,0.7802037075442214,retained,2,0.5479029825774918,0.7108202195374564,0.7112897717119127,0.14947865934848717,0.013375318771916112
FDR1,100,R1,PC,2.0,retained,2,0.5081073084865496,0.5922712429135604,0.5916576540462821,0.2887437632514195,0.03055662262851038
FDR1,100,R1,PE,0.5,retained,10,0.24963685388185974,0.9604052833388289,0.9015256513628942,0.14540704974117313,0.006135843764014307
FDR1,100,R1,PE,0.5,solver_miss,1,0.11707440620301834,0.9872300880237134,0.9606032362588356,0.16084900498979865,8.506993455780427e-05
FDR1,100,R1,PE,0.5340342571614348,retained,1,0.5577857427715306,0.9215313010613547,0.6612863240163824,0.19234784377749203,0.005673772174173939
FDR1,100,R1,PE,0.6170676298438253,solver_miss,1,0.19168425851262216,0.9604368385083139,0.9433762539768673,0.1400403915099126,0.0008220725193798764
FDR1,100,R1,PE,0.689110922829001,retained,1,0.24588669439016053,0.9868742659860326,0.9501374572146646,0.06594469017151477,0.004305093829097372
FDR1,100,R1,PE,0.7303443264893795,retained,1,0.15389249231375365,0.982213995160686,0.9807094412163158,0.04157871249447814,0.016653584749948512
FDR1,100,R1,PE,0.7802037075442214,retained,1,0.2809048613188857,0.9726361074886047,0.7937994919963063,0.3272746898881621,0.009490423316678782
FDR1,100,R1,PE,0.8939526432607221,retained,4,0.3319112303570946,0.9846124045599067,0.9169295572138344,0.07394377219747966,0.009202658871489997
FDR1,100,R1,PE,1.0000000000000002,retained,3,0.16492324087593133,0.9518068384474951,0.9426607466712886,0.1688292372948361,0.014260260738628478
FDR1,100,R1,PE,1.0760213163243861,retained,1,0.23032749244938702,0.9788474233762352,0.94467750434353,0.09767313679891157,0.008517799444524278
FDR1,100,R1,PE,1.2101381550740857,retained,2,0.13549351795303982,0.9769417088567853,0.9719807701829974,0.09065909360861493,0.006714334333033507
FDR1,100,R1,PE,1.4538436095675817,retained,3,0.20454583643989277,0.9824124426110163,0.9692667770392721,0.03933032569194751,0.017872955627158158
FDR1,100,R1,PE,2.0,retained,15,0.2748935194643735,0.9538166594574129,0.8236347989916191,0.1992356350010589,0.022509732073758
FDR1,100,R1,PG,0.5,retained,5,0.39347230654553556,0.7936099239641267,0.6681402735052041,0.17342901101082447,0.006951182319939459
FDR1,100,R1,PG,0.689110922829001,retained,1,0.09626468926765062,0.9360510343034749,0.9917278076514663,0.032094009427904344,0.012921931104087082
FDR1,100,R1,PG,0.7303443264893795,solver_miss,1,0.4831275545644737,0.9853779862370524,0.7051431660870239,0.22593740389897193,0.0004990424754020696
FDR1,100,R1,PG,1.0760213163243861,retained,2,0.2209166959686532,0.9791831330681392,0.769993478024839,0.41702385829179245,0.016641401326409865
FDR1,100,R1,PG,1.2101381550740857,retained,2,0.27956152624361796,0.9197565645175494,0.74956157999407,0.35761302932389505,0.014661511143133969
FDR1,100,R1,PG,1.8682084992203376,retained,3,0.23838939494724698,0.9263229165510191,0.8489350701121507,0.29010776373355207,0.039660201168463104
FDR1,100,R1,PG,2.0,retained,5,0.266391512522408,0.9552207873236039,0.8489350701121507,0.2603944544674466,0.02145628585235734
FDR1,100,R1,PS,0.5,retained,3,0.4826107446087538,0.6351598729298585,0.8388893290291434,0.1898482402281083,0.009533581936470381
FDR1,100,R1,PS,0.5340342571614348,retained,2,0.5653194265058024,0.556916570663659,0.5701772902367741,0.2495924015852803,0.00834349777940176
FDR1,100,R1,PS,0.6170676298438253,retained,1,0.49681824282241865,0.5478869149773706,0.5411661615055257,0.34409744001467496,0.007977624024148438
FDR1,100,R1,PS,2.0,retained,4,0.6027340389555542,0.6209398796604959,0.6235873192845489,0.17953572602109713,0.03088107519690552
FDR1,100,R2,PA,0.5,retained,5,0.241048023112079,0.8691673191165914,0.811768772008992,0.31323723028330897,0.01122046298838817
FDR1,100,R2,PA,0.5340342571614348,retained,1,0.47201880717776407,0.8266719825061805,0.6924512402766023,0.24944586960093668,0.01685472054174648
FDR1,100,R2,PA,0.6170676298438253,retained,1,0.27393752390511106,0.8394493239810369,0.7712444256096473,0.36260158405766385,0.005045512394246167
FDR1,100,R2,PA,0.689110922829001,retained,2,0.31760891588069107,0.8196765107494317,0.7781821479320346,0.3048127292724736,0.011390551098134374
FDR1,100,R2,PA,0.7303443264893795,retained,1,0.46175873097333114,0.9022714644699661,0.6587714343940032,0.2905844069806663,0.011411895930127897
FDR1,100,R2,PA,0.7303443264893795,solver_miss,1,0.1645114953783594,0.8957566529041909,0.8619613486853611,0.3424625013635971,0.0
FDR1,100,R2,PA,0.7802037075442214,retained,1,0.48292710886676304,0.8982874947005188,0.7105340184716673,0.22073574264275386,0.010556111289433703
FDR1,100,R2,PA,1.0000000000000002,retained,1,0.416531063009088,0.7481851339902038,0.6386711778861706,0.35294871355264307,0.015666476710654183
FDR1,100,R2,PA,1.0760213163243861,retained,1,0.4020166500263304,0.8495611434984474,0.7558192210470013,0.2527636987135384,0.018880569064412094
FDR1,100,R2,PA,1.4538436095675817,retained,1,0.3381799302246325,0.7789494468002593,0.6213615663357793,0.44534403487199864,0.026758109709388255
FDR1,100,R2,PA,1.8682084992203376,retained,1,0.33476954438953394,0.8781031661032047,0.8136488404920164,0.24658711409645712,0.02456672356634529
FDR1,100,R2,PA,2.0,retained,6,0.40030896730042365,0.871422591689687,0.6876534457634512,0.302825297137833,0.03007260665285308
FDR1,100,R2,PC,0.6170676298438253,retained,1,0.593367589246976,0.47707361889437966,0.4777580009686473,0.2851238976272237,0.005550349694262861
FDR1,100,R2,PC,0.7802037075442214,retained,2,0.5479029825774918,0.7108202195374564,0.7112897717119127,0.14947865934848717,0.014660850913008191
FDR1,100,R2,PC,2.0,retained,2,0.5081073084865496,0.5922712429135604,0.5916576540462821,0.2887437632514195,0.02165063173094546
FDR1,100,R2,PE,0.5,retained,10,0.24963685388185974,0.9604052833388289,0.9015256513628942,0.14540704974117313,0.007407702970397172
FDR1,100,R2,PE,0.5,solver_miss,1,0.11707440620301834,0.9872300880237134,0.9606032362588356,0.16084900498979865,0.0003833216065363817
FDR1,100,R2,PE,0.5340342571614348,retained,1,0.5577857427715306,0.9215313010613547,0.6612863240163824,0.19234784377749203,0.007428157389448442
FDR1,100,R2,PE,0.6170676298438253,retained,1,0.19168425851262216,0.9604368385083139,0.9433762539768673,0.1400403915099126,0.002045782149562061
FDR1,100,R2,PE,0.689110922829001,retained,1,0.24588669439016053,0.9868742659860326,0.9501374572146646,0.06594469017151477,0.00798614505948358
FDR1,100,R2,PE,0.7303443264893795,retained,1,0.15389249231375365,0.982213995160686,0.9807094412163158,0.04157871249447814,0.005220339180043882
FDR1,100,R2,PE,0.7802037075442214,retained,1,0.2809048613188857,0.9726361074886047,0.7937994919963063,0.3272746898881621,0.006240765500914021
FDR1,100,R2,PE,0.8939526432607221,retained,4,0.3319112303570946,0.9846124045599067,0.9169295572138344,0.07394377219747966,0.013013749475518872
FDR1,100,R2,PE,1.0000000000000002,retained,3,0.16492324087593133,0.9518068384474951,0.9426607466712886,0.1688292372948361,0.012948196221945105
FDR1,100,R2,PE,1.0760213163243861,retained,1,0.23032749244938702,0.9788474233762352,0.94467750434353,0.09767313679891157,0.00550057135946506
FDR1,100,R2,PE,1.2101381550740857,retained,2,0.13549351795303982,0.9769417088567853,0.9719807701829974,0.09065909360861493,0.014827739775622198
FDR1,100,R2,PE,1.4538436095675817,retained,3,0.20454583643989277,0.9824124426110163,0.9692667770392721,0.03933032569194751,0.014577286415829166
FDR1,100,R2,PE,2.0,retained,15,0.2748935194643735,0.9538166594574129,0.8236347989916191,0.1992356350010589,0.025553791078467857
FDR1,100,R2,PG,0.5,retained,5,0.39347230654553556,0.7936099239641267,0.6681402735052041,0.17342901101082447,0.0063685188427559025
FDR1,100,R2,PG,0.689110922829001,retained,1,0.09626468926765062,0.9360510343034749,0.9917278076514663,0.032094009427904344,0.024252783028553195
FDR1,100,R2,PG,0.7303443264893795,retained,1,0.4831275545644737,0.9853779862370524,0.7051431660870239,0.22593740389897193,0.010910522316197496
FDR1,100,R2,PG,1.0760213163243861,retained,2,0.2209166959686532,0.9791831330681392,0.769993478024839,0.41702385829179245,0.025285663201920765
FDR1,100,R2,PG,1.2101381550740857,retained,2,0.27956152624361796,0.9197565645175494,0.74956157999407,0.35761302932389505,0.01497515017199125
FDR1,100,R2,PG,1.8682084992203376,retained,3,0.23838939494724698,0.9263229165510191,0.8489350701121507,0.29010776373355207,0.03301782329437194
FDR1,100,R2,PG,2.0,retained,5,0.266391512522408,0.9552207873236039,0.8489350701121507,0.2603944544674466,0.019431023258528378
FDR1,100,R2,PS,0.5,retained,3,0.4826107446087538,0.6351598729298585,0.8388893290291434,0.1898482402281083,0.008827255206415476
FDR1,100,R2,PS,0.5340342571614348,retained,2,0.5653194265058024,0.556916570663659,0.5701772902367741,0.2495924015852803,0.009657064147851885
FDR1,100,R2,PS,0.6170676298438253,retained,1,0.49681824282241865,0.5478869149773706,0.5411661615055257,0.34409744001467496,0.009202040717566523
FDR1,100,R2,PS,2.0,retained,4,0.6027340389555542,0.6209398796604959,0.6235873192845489,0.17953572602109713,0.032855208408760384
FDR1,100,R3,PA,0.5,retained,5,0.241048023112079,0.8691673191165914,0.811768772008992,0.31323723028330897,0.0092974447038567
FDR1,100,R3,PA,0.5340342571614348,retained,1,0.47201880717776407,0.8266719825061805,0.6924512402766023,0.24944586960093668,0.017548129617700012
FDR1,100,R3,PA,0.6170676298438253,retained,1,0.27393752390511106,0.8394493239810369,0.7712444256096473,0.36260158405766385,0.008274842478914673
FDR1,100,R3,PA,0.689110922829001,retained,2,0.31760891588069107,0.8196765107494317,0.7781821479320346,0.3048127292724736,0.013423224575233032
FDR1,100,R3,PA,0.7303443264893795,retained,2,0.3131351131758453,0.8990140586870785,0.7603663915396821,0.3165234541721317,0.009490608763690404
FDR1,100,R3,PA,0.7802037075442214,retained,1,0.48292710886676304,0.8982874947005188,0.7105340184716673,0.22073574264275386,0.008586894269874305
FDR1,100,R3,PA,1.0000000000000002,retained,1,0.416531063009088,0.7481851339902038,0.6386711778861706,0.35294871355264307,0.011907617888262263
FDR1,100,R3,PA,1.0760213163243861,retained,1,0.4020166500263304,0.8495611434984474,0.7558192210470013,0.2527636987135384,0.01612983743936359
FDR1,100,R3,PA,1.4538436095675817,retained,1,0.3381799302246325,0.7789494468002593,0.6213615663357793,0.44534403487199864,0.021596001609629732
FDR1,100,R3,PA,1.8682084992203376,retained,1,0.33476954438953394,0.8781031661032047,0.8136488404920164,0.24658711409645712,0.025941892050471323
FDR1,100,R3,PA,2.0,retained,6,0.40030896730042365,0.871422591689687,0.6876534457634512,0.302825297137833,0.031063009626742612
FDR1,100,R3,PC,0.6170676298438253,retained,1,0.593367589246976,0.47707361889437966,0.4777580009686473,0.2851238976272237,0.009843407653329592
FDR1,100,R3,PC,0.7802037075442214,retained,2,0.5479029825774918,0.7108202195374564,0.7112897717119127,0.14947865934848717,0.01454655576409299
FDR1,100,R3,PC,2.0,retained,2,0.5081073084865496,0.5922712429135604,0.5916576540462821,0.2887437632514195,0.027359996547241406
FDR1,100,R3,PE,0.5,retained,9,0.2698075638945543,0.9422890778439277,0.8883052400815383,0.1546244672974381,0.006047755698306915
FDR1,100,R3,PE,0.5,solver_miss,2,0.1447773623304935,0.985059835428477,0.9685280762620074,0.1020496554812266,0.00010068561803143637
FDR1,100,R3,PE,0.5340342571614348,retained,1,0.5577857427715306,0.9215313010613547,0.6612863240163824,0.19234784377749203,0.010265962024373914
FDR1,100,R3,PE,0.6170676298438253,retained,1,0.19168425851262216,0.9604368385083139,0.9433762539768673,0.1400403915099126,0.004749858323664242
FDR1,100,R3,PE,0.689110922829001,retained,1,0.24588669439016053,0.9868742659860326,0.9501374572146646,0.06594469017151477,0.004295505265218732
FDR1,100,R3,PE,0.7303443264893795,retained,1,0.15389249231375365,0.982213995160686,0.9807094412163158,0.04157871249447814,0.007356898177298724
FDR1,100,R3,PE,0.7802037075442214,retained,1,0.2809048613188857,0.9726361074886047,0.7937994919963063,0.3272746898881621,0.008346722546467806
FDR1,100,R3,PE,0.8939526432607221,retained,4,0.3319112303570946,0.9846124045599067,0.9169295572138344,0.07394377219747966,0.01804251616334896
FDR1,100,R3,PE,1.0000000000000002,retained,3,0.16492324087593133,0.9518068384474951,0.9426607466712886,0.1688292372948361,0.018259495108171497
FDR1,100,R3,PE,1.0760213163243861,retained,1,0.23032749244938702,0.9788474233762352,0.94467750434353,0.09767313679891157,0.006256917292038611
FDR1,100,R3,PE,1.2101381550740857,retained,2,0.13549351795303982,0.9769417088567853,0.9719807701829974,0.09065909360861493,0.010239867785343148
FDR1,100,R3,PE,1.4538436095675817,retained,3,0.20454583643989277,0.9824124426110163,0.9692667770392721,0.03933032569194751,0.0169027102863424
FDR1,100,R3,PE,2.0,retained,15,0.2748935194643735,0.9538166594574129,0.8236347989916191,0.1992356350010589,0.02727542453380288
FDR1,100,R3,PG,0.5,retained,5,0.39347230654553556,0.7936099239641267,0.6681402735052041,0.17342901101082447,0.006108385854654284
FDR1,100,R3,PG,0.689110922829001,retained,1,0.09626468926765062,0.9360510343034749,0.9917278076514663,0.032094009427904344,0.012411048582673393
FDR1,100,R3,PG,0.7303443264893795,retained,1,0.4831275545644737,0.9853779862370524,0.7051431660870239,0.22593740389897193,0.011677560685528363
FDR1,100,R3,PG,1.0760213163243861,retained,2,0.2209166959686532,0.9791831330681392,0.769993478024839,0.41702385829179245,0.020272546883237347
FDR1,100,R3,PG,1.2101381550740857,retained,2,0.27956152624361796,0.9197565645175494,0.74956157999407,0.35761302932389505,0.010829384747630856
FDR1,100,R3,PG,1.8682084992203376,retained,3,0.23838939494724698,0.9263229165510191,0.8489350701121507,0.29010776373355207,0.035524998653174815
FDR1,100,R3,PG,2.0,retained,5,0.266391512522408,0.9552207873236039,0.8489350701121507,0.2603944544674466,0.029382696222602332
FDR1,100,R3,PS,0.5,retained,3,0.4826107446087538,0.6351598729298585,0.8388893290291434,0.1898482402281083,0.009346796069148454
FDR1,100,R3,PS,0.5340342571614348,retained,2,0.5653194265058024,0.556916570663659,0.5701772902367741,0.2495924015852803,0.009547726407395957
FDR1,100,R3,PS,0.6170676298438253,retained,1,0.49681824282241865,0.5478869149773706,0.5411661615055257,0.34409744001467496,0.006921777606209273
FDR1,100,R3,PS,2.0,retained,4,0.6027340389555542,0.6209398796604959,0.6235873192845489,0.17953572602109713,0.03673272505570179
FDR1,100,R4,PA,0.5,retained,5,0.241048023112079,0.8691673191165914,0.811768772008992,0.31323723028330897,0.006897206255484313
FDR1,100,R4,PA,0.5340342571614348,retained,1,0.47201880717776407,0.8266719825061805,0.6924512402766023,0.24944586960093668,0.01784930634259865
FDR1,100,R4,PA,0.6170676298438253,retained,1,0.27393752390511106,0.8394493239810369,0.7712444256096473,0.36260158405766385,0.004237106174237885
FDR1,100,R4,PA,0.689110922829001,retained,2,0.31760891588069107,0.8196765107494317,0.7781821479320346,0.3048127292724736,0.0102920017026292
FDR1,100,R4,PA,0.7303443264893795,retained,2,0.3131351131758453,0.8990140586870785,0.7603663915396821,0.3165234541721317,0.012508412230181665
FDR1,100,R4,PA,0.7802037075442214,retained,1,0.48292710886676304,0.8982874947005188,0.7105340184716673,0.22073574264275386,0.010781664707148541
FDR1,100,R4,PA,1.0000000000000002,retained,1,0.416531063009088,0.7481851339902038,0.6386711778861706,0.35294871355264307,0.015033659669911131
FDR1,100,R4,PA,1.0760213163243861,retained,1,0.4020166500263304,0.8495611434984474,0.7558192210470013,0.2527636987135384,0.019478197184050798
FDR1,100,R4,PA,1.4538436095675817,retained,1,0.3381799302246325,0.7789494468002593,0.6213615663357793,0.44534403487199864,0.02374254163406957
FDR1,100,R4,PA,1.8682084992203376,retained,1,0.33476954438953394,0.8781031661032047,0.8136488404920164,0.24658711409645712,0.016659780173824093
FDR1,100,R4,PA,2.0,retained,6,0.40030896730042365,0.871422591689687,0.6876534457634512,0.302825297137833,0.02792140225435812
FDR1,100,R4,PC,0.6170676298438253,retained,1,0.593367589246976,0.47707361889437966,0.4777580009686473,0.2851238976272237,0.009469453263399635
FDR1,100,R4,PC,0.7802037075442214,retained,2,0.5479029825774918,0.7108202195374564,0.7112897717119127,0.14947865934848717,0.013664895486687059
FDR1,100,R4,PC,2.0,retained,2,0.5081073084865496,0.5922712429135604,0.5916576540462821,0.2887437632514195,0.029361596424903755
FDR1,100,R4,PE,0.5,retained,10,0.24963685388185974,0.9604052833388289,0.9015256513628942,0.14540704974117313,0.006593624262992601
FDR1,100,R4,PE,0.5,solver_miss,1,0.11707440620301834,0.9872300880237134,0.9606032362588356,0.16084900498979865,4.7102821939326494e-05
FDR1,100,R4,PE,0.5340342571614348,retained,1,0.5577857427715306,0.9215313010613547,0.6612863240163824,0.19234784377749203,0.00573044721336583
FDR1,100,R4,PE,0.6170676298438253,solver_miss,1,0.19168425851262216,0.9604368385083139,0.9433762539768673,0.1400403915099126,8.205214851842897e-05
FDR1,100,R4,PE,0.689110922829001,retained,1,0.24588669439016053,0.9868742659860326,0.9501374572146646,0.06594469017151477,0.001053609905241077
FDR1,100,R4,PE,0.7303443264893795,retained,1,0.15389249231375365,0.982213995160686,0.9807094412163158,0.04157871249447814,0.005314773067202734
FDR1,100,R4,PE,0.7802037075442214,retained,1,0.2809048613188857,0.9726361074886047,0.7937994919963063,0.3272746898881621,0.010733099574604058
FDR1,100,R4,PE,0.8939526432607221,retained,4,0.3319112303570946,0.9846124045599067,0.9169295572138344,0.07394377219747966,0.012102112002795738
FDR1,100,R4,PE,1.0000000000000002,retained,3,0.16492324087593133,0.9518068384474951,0.9426607466712886,0.1688292372948361,0.014934115516575638
FDR1,100,R4,PE,1.0760213163243861,retained,1,0.23032749244938702,0.9788474233762352,0.94467750434353,0.09767313679891157,0.007345676836837699
FDR1,100,R4,PE,1.2101381550740857,retained,2,0.13549351795303982,0.9769417088567853,0.9719807701829974,0.09065909360861493,0.014122739375796011
FDR1,100,R4,PE,1.4538436095675817,retained,3,0.20454583643989277,0.9824124426110163,0.9692667770392721,0.03933032569194751,0.014728014478218808
FDR1,100,R4,PE,2.0,retained,15,0.2748935194643735,0.9538166594574129,0.8236347989916191,0.1992356350010589,0.02551935977705092
FDR1,100,R4,PG,0.5,retained,5,0.39347230654553556,0.7936099239641267,0.6681402735052041,0.17342901101082447,0.007571036309570719
FDR1,100,R4,PG,0.689110922829001,retained,1,0.09626468926765062,0.9360510343034749,0.9917278076514663,0.032094009427904344,0.023568032052435222
FDR1,100,R4,PG,0.7303443264893795,retained,1,0.4831275545644737,0.9853779862370524,0.7051431660870239,0.22593740389897193,0.010557763868518186
FDR1,100,R4,PG,1.0760213163243861,retained,2,0.2209166959686532,0.9791831330681392,0.769993478024839,0.41702385829179245,0.02137734223175368
FDR1,100,R4,PG,1.2101381550740857,retained,2,0.27956152624361796,0.9197565645175494,0.74956157999407,0.35761302932389505,0.013341085073257897
