domain,lipid_name,molecular_truth,NNLS_rho,ISTA_rho,absolute_difference
CLEAN,PA 16:0_24:0,True,1.7916298684924645e-05,1.7916298684924645e-05,0.0
CLEAN,PA 18:0_22:1,True,6.849826663802598e-07,6.849826663802598e-07,0.0
CLEAN,PA 18:0_22:3,True,7.648183435343335e-08,7.648183435343335e-08,0.0
CLEAN,PA 18:0_22:5,True,2.737093658639987e-08,2.737093658639987e-08,0.0
CLEAN,PA 18:0_24:0,True,3.405057693459683e-05,3.405057693459683e-05,0.0
CLEAN,PA 18:0_24:4,True,9.673938289264283e-08,9.673938289264283e-08,0.0
CLEAN,PA 18:1_22:2,True,1.206462265159496e-06,1.206462265159496e-06,0.0
CLEAN,PA 18:1_24:5,True,5.483678970688452e-08,5.483678970688452e-08,0.0
CLEAN,PA 18:2_22:2,True,3.342608367062656e-07,3.342608367062656e-07,0.0
CLEAN,PA 18:2_22:3,True,1.335145113276362e-07,1.335145113276362e-07,0.0
CLEAN,PA 20:0_20:0,True,7.446638299169471e-07,7.446638299169471e-07,0.0
CLEAN,PA 20:0_20:1,True,1.0917870342210231e-06,1.0917870342210231e-06,0.0
CLEAN,PA 20:1_20:2,True,1.7416392006372027e-07,1.7416392006372027e-07,0.0
CLEAN,PA 20:1_20:3,True,1.6688695153178876e-07,1.6688695153178876e-07,0.0
CLEAN,PA 20:1_20:4,True,2.8665053653408235e-06,2.8665053653408235e-06,0.0
CLEAN,PA 20:1_22:2,True,4.8327812431517506e-06,4.8327812431517506e-06,0.0
CLEAN,PA 20:1_22:4,True,1.4006641030238715e-05,1.4006641030238715e-05,0.0
CLEAN,PA 20:2_20:2,True,1.7139318807173146e-07,1.7139318807173146e-07,0.0
CLEAN,PA 20:2_22:4,True,8.867070394986005e-07,8.867070394986005e-07,0.0
CLEAN,PA 20:2_22:6,True,6.2131265125641895e-06,6.2131265125641895e-06,0.0
CLEAN,PA 20:3_22:3,True,1.6796022217580196e-05,1.6796022217580196e-05,0.0
CLEAN,PA 20:3_22:6,True,1.7799234974638722e-06,1.7799234974638722e-06,0.0
CLEAN,PA 22:0_18:1,True,1.054948971150376e-06,1.054948971150376e-06,0.0
CLEAN,PA 22:1_20:4,True,4.1545499327095873e-07,4.1545499327095873e-07,0.0
CLEAN,PA 22:2_20:4,True,4.2858047516889744e-07,4.2858047516889744e-07,0.0
CLEAN,PA 22:3_20:4,True,3.88355365716354e-05,3.88355365716354e-05,0.0
CLEAN,PA 22:4_22:5,True,4.353183070443103e-06,4.353183070443103e-06,0.0
CLEAN,PA 22:4_22:6,True,1.4271846926615679e-07,1.4271846926615679e-07,0.0
CLEAN,PC 14:0_18:2,True,5.01610874686159e-07,5.01610874686159e-07,0.0
CLEAN,PC 14:0_20:0,True,4.873513766907567e-06,4.873513766907567e-06,0.0
CLEAN,PC 14:0_20:1,True,5.593128274195781e-07,5.593128274195781e-07,0.0
CLEAN,PC 14:0_20:3,True,2.530408080878393e-05,2.530408080878393e-05,0.0
CLEAN,PC 17:0_17:0,True,3.405768648625433e-05,3.405768648625433e-05,0.0
CLEAN,PC 18:0_14:1,True,0.0002676178919178276,0.0002676178919178276,0.0
CLEAN,PC O-16:1_17:1,True,0.00011911029253980875,0.00011911029253980875,0.0
CLEAN,PC O-16:1_18:0,True,0.00015376052770730753,0.00015376052770730753,0.0
CLEAN,PE 16:0_22:6,True,5.946968909614031e-07,5.946968909614031e-07,0.0
CLEAN,PE 16:1_22:2,True,6.795844897528203e-07,6.795844897528203e-07,0.0
CLEAN,PE 17:0_20:1,True,1.720497397138138e-07,1.720497397138138e-07,0.0
CLEAN,PE 17:0_20:2,True,2.5994920094358176e-08,2.5994920094358176e-08,0.0
CLEAN,PE 17:0_20:4,True,5.217807150762012e-08,5.217807150762012e-08,0.0
CLEAN,PE 17:0_20:5,True,4.496648196411416e-05,4.496648196411416e-05,0.0
CLEAN,PE 17:1_20:4,True,7.354188924189217e-08,7.354188924189217e-08,0.0
CLEAN,PE 17:1_22:1,True,8.116888061390411e-06,8.116888061390411e-06,0.0
CLEAN,PE 18:0_20:0,True,0.00021491093143030096,0.00021491093143030096,0.0
CLEAN,PE 18:0_20:4,True,1.164825252204842e-06,1.164825252204842e-06,0.0
CLEAN,PE 18:0_22:3,True,1.9803504340473043e-08,1.9803504340473043e-08,0.0
CLEAN,PE 18:0_22:4,True,3.8734382953479965e-08,3.8734382953479965e-08,0.0
CLEAN,PE 18:0_22:5,True,5.773790864971675e-07,5.773790864971675e-07,0.0
CLEAN,PE 18:0_22:6,True,3.864752648267769e-06,3.864752648267769e-06,0.0
CLEAN,PE 18:1_20:3,True,2.0196404215828995e-08,2.0196404215828995e-08,0.0
CLEAN,PE 18:2_22:3,True,1.3193204543205254e-06,1.3193204543205254e-06,0.0
CLEAN,PE 18:2_22:4,True,4.097181429883048e-08,4.097181429883048e-08,0.0
CLEAN,PE 18:2_22:5,True,5.3843879257425476e-08,5.3843879257425476e-08,0.0
CLEAN,PE 18:2_22:6,True,1.7139398900787625e-06,1.7139398900787625e-06,0.0
CLEAN,PE 20:0_17:1,True,2.3460737905200416e-05,2.3460737905200416e-05,0.0
CLEAN,PE 20:0_20:4,True,9.289963668510981e-07,9.289963668510981e-07,0.0
CLEAN,PE 20:1_20:2,True,5.61486999700636e-08,5.61486999700636e-08,0.0
CLEAN,PE 20:2_20:2,True,2.0586418891985483e-08,2.0586418891985483e-08,0.0
CLEAN,PE 20:2_20:4,True,5.337446848077425e-08,5.337446848077425e-08,0.0
CLEAN,PE 20:2_20:5,True,3.206398687197748e-05,3.206398687197748e-05,0.0
CLEAN,PE 20:3_20:5,True,6.034471090727215e-06,6.034471090727215e-06,0.0
CLEAN,PE 22:1_18:2,True,2.0540946649361716e-05,2.0540946649361716e-05,0.0
CLEAN,PE O-16:0_22:2,True,1.0973833123401195e-08,1.0973833123401195e-08,0.0
CLEAN,PE O-16:0_22:3,True,1.1295243300889608e-07,1.1295243300889608e-07,0.0
CLEAN,PE O-16:1_22:0,True,1.5094125903949502e-07,1.5094125903949502e-07,0.0
CLEAN,PE O-16:1_22:2,True,6.969613788535917e-08,6.969613788535917e-08,0.0
CLEAN,PE O-16:1_22:4,True,6.97371981763781e-09,6.97371981763781e-09,0.0
CLEAN,PE O-16:1_22:5,True,2.946502030662236e-07,2.946502030662236e-07,0.0
CLEAN,PE O-16:1_24:1,True,1.7510684396050256e-05,1.7510684396050256e-05,0.0
CLEAN,PE O-18:0_22:1,True,1.737959807195549e-05,1.737959807195549e-05,0.0
CLEAN,PE O-18:0_22:2,True,2.2072321157188232e-07,2.2072321157188232e-07,0.0
CLEAN,PE O-18:1_20:1,True,6.321183004720081e-08,6.321183004720081e-08,0.0
CLEAN,PE O-18:1_20:4,True,1.782600043069358e-07,1.782600043069358e-07,0.0
CLEAN,PE O-18:1_22:1,True,2.8251990371146892e-08,2.8251990371146892e-08,0.0
CLEAN,PE O-18:1_22:2,True,6.904416672724642e-08,6.904416672724642e-08,0.0
CLEAN,PE O-18:1_22:3,True,3.0491092908005636e-09,3.0491092908005636e-09,0.0
CLEAN,PE O-18:1_22:4,True,2.0852663254069391e-07,2.0852663254069391e-07,0.0
CLEAN,PE O-18:1_22:5,True,3.8269701516859887e-07,3.8269701516859887e-07,0.0
CLEAN,PE O-18:1_22:6,True,2.0008336413337336e-07,2.0008336413337336e-07,0.0
CLEAN,PE O-18:2_20:2,True,8.36960246584929e-08,8.36960246584929e-08,0.0
CLEAN,PE O-18:2_20:4,True,3.989385008702664e-07,3.989385008702664e-07,0.0
CLEAN,PE O-18:2_22:0,True,1.2559228453757746e-06,1.2559228453757746e-06,0.0
CLEAN,PE O-18:2_22:2,True,2.6277368747093044e-08,2.6277368747093044e-08,0.0
CLEAN,PE O-18:2_22:6,True,0.00014092358076372513,0.00014092358076372513,0.0
CLEAN,PE O-18:3_22:0,True,1.2043968913391365e-07,1.2043968913391365e-07,0.0
CLEAN,PE O-18:3_22:6,True,3.7741086621909626e-06,3.7741086621909626e-06,0.0
CLEAN,PE O-20:0_18:2,True,3.0135537079826333e-06,3.0135537079826333e-06,0.0
CLEAN,PE O-20:2_20:4,True,6.265961922870542e-08,6.265961922870542e-08,0.0
CLEAN,PG 14:0_22:1,True,2.13832897316871e-08,2.13832897316871e-08,0.0
CLEAN,PG 16:0_20:1,True,4.842465525515777e-08,4.842465525515777e-08,0.0
CLEAN,PG 16:0_20:3,True,4.1630869908933796e-08,4.1630869908933796e-08,0.0
CLEAN,PG 16:0_22:5,True,3.7941287357076186e-08,3.7941287357076186e-08,0.0
CLEAN,PG 16:1_20:2,True,3.1000289649937915e-09,3.1000289649937915e-09,0.0
CLEAN,PG 16:1_20:4,True,3.00097724292882e-07,3.00097724292882e-07,0.0
CLEAN,PG 17:0_17:0,True,1.641973187307952e-05,1.641973187307952e-05,0.0
CLEAN,PG 17:0_20:2,True,3.4640198643914067e-07,3.4640198643914067e-07,0.0
CLEAN,PG 17:0_20:5,True,2.6004640203129144e-07,2.6004640203129144e-07,0.0
