source_identity,replacement_identity,eligible_block_count,edge_presence_count,edge_presence_fraction,unique_top_count,top_replacement_consistency,stable_edge,presence_persistent_edge,replacement_rank_stability,absorption_median,absorption_IQR,residual_absorption_median,residual_nonzero_direction_count,delta_residual_nonzero_direction_count,gain_median,gain_IQR,stability_unit
PA 20:1_20:1,PA 18:1_22:1,3,1,0.3333333333333333,0,0.0,False,False,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",0.8112512635869842,0.008889325864401387,-0.0022164159282693796,3,3,0.0,6.735509009901445e-05,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PS 14:0_22:0,3,3,1.0,0,0.0,False,True,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",4.082980305367194e-15,7.433361218245488e-15,-1.9070761473420257e-16,3,3,1.3553455498124811e-06,1.416565509340488e-06,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PS 16:0_20:1,3,3,1.0,0,0.0,False,True,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",-3.291092795652729e-14,1.1265573095305796e-14,-2.361888715375897e-16,3,3,1.3588317043903425e-05,2.0132701808063015e-05,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PS 16:1_20:1,3,3,1.0,0,0.0,False,True,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",9.223708538830434e-15,4.98537506000692e-14,2.5978353151064075e-17,3,3,1.9149205256435535e-05,3.134765068730453e-05,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PE 16:0_22:4,3,3,1.0,0,0.0,False,True,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",-1.0463203743641405e-14,3.695663167218424e-13,-2.4939219025021514e-16,3,3,6.001126561350212e-06,1.2636694119196046e-05,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PE 16:0_22:6,3,1,0.3333333333333333,0,0.0,False,False,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",0.005898598181893383,0.003944407706109991,-0.0023803846208365616,3,3,0.0,2.251972992381099e-06,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PE 18:0_22:6,3,1,0.3333333333333333,0,0.0,False,False,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",-4.387841157227164e-13,2.3112889302777505e-12,-1.0037242880747503e-15,3,3,0.0,5.29161125251143e-07,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PE 18:1_20:1,3,3,1.0,2,0.6666666666666666,False,True,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",8.102804720517363e-14,1.4117929429567403e-13,-5.018621440373751e-18,3,3,5.146359148182366e-05,6.678494059632572e-05,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PE 18:1_20:4,3,1,0.3333333333333333,0,0.0,False,False,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",2.764932887784064e-13,5.67001245587697e-13,-9.033518592672752e-17,3,3,0.0,4.51700622496054e-08,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PE 18:1_22:6,3,2,0.6666666666666666,0,0.0,False,False,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",-3.055906716965475e-13,1.5637863189881505e-12,-7.979608090194265e-16,3,3,4.91614610492741e-07,1.0445133827835518e-05,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PE 20:1_18:3,3,3,1.0,0,0.0,False,True,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",-9.114424243325614e-15,5.259545501634423e-14,1.6384916685084998e-16,3,3,3.164918721119958e-06,3.7310797727993505e-06,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PE 20:0_20:4,3,1,0.3333333333333333,0,0.0,False,False,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",2.3094210285351106e-13,6.251478607387014e-13,5.0186214403737506e-17,3,3,0.0,7.484256217289015e-08,original 250-foreground-index processing blocks; last block 87 pixels
