source_identity,replacement_identity,replacement_gain,replacement_fraction,delta_residual_absorption,edge_presence_fraction,top_replacement_consistency,stable_edge,presence_persistent_edge
PA 20:1_20:1,PA 18:1_22:1,0.0,0.0,-5.885642686993965e-07,0.3333333333333333,0.0,False,False
PA 20:1_20:1,PS 14:0_22:0,0.0,0.0,1.3941497911781965e-07,1.0,0.0,False,True
PA 20:1_20:1,PS 16:0_20:1,0.0,0.0,-8.05958833278435e-06,1.0,0.0,False,True
PA 20:1_20:1,PS 16:1_20:1,0.0,0.0,-9.594411882022113e-07,1.0,0.0,False,True
PA 20:1_20:1,PE 16:0_22:4,0.0,0.0,-1.2489116395427366e-05,1.0,0.0,False,True
PA 20:1_20:1,PE 16:0_22:6,0.0,0.0,9.441815173575505e-06,0.3333333333333333,0.0,False,False
PA 20:1_20:1,PE 18:0_22:6,0.0,0.0,7.789151876111003e-06,0.3333333333333333,0.0,False,False
PA 20:1_20:1,PE 18:1_20:1,0.0,0.0,1.26119016850893e-07,1.0,0.6666666666666666,False,True
PA 20:1_20:1,PE 18:1_20:4,0.0,0.0,1.0141797670868855e-07,0.3333333333333333,0.0,False,False
PA 20:1_20:1,PE 18:1_22:6,0.0,0.0,9.801738433562424e-06,0.6666666666666666,0.0,False,False
PA 20:1_20:1,PE 20:1_18:3,0.0,0.0,3.9585870075862626e-08,1.0,0.0,False,True
PA 20:1_20:1,PE 20:0_20:4,0.0,0.0,6.232348373412153e-07,0.3333333333333333,0.0,False,False
PA 20:1_20:1,PE 20:1_20:4,0.0,0.0,-2.6194237933733366e-08,1.0,0.0,False,True
PA 20:1_20:1,PE 20:1_20:5,0.0,0.0,4.384918036809946e-08,1.0,0.0,False,True
PA 20:1_20:1,PE O-16:0_22:3,0.0,0.0,4.1079906095678875e-07,1.0,0.0,False,True
PA 20:1_20:1,PE O-16:0_22:4,0.0,0.0,-1.298106588825637e-05,0.3333333333333333,0.0,False,False
PA 20:1_20:1,PE O-16:1_22:2,0.0,0.0,3.8561602888448356e-09,1.0,0.0,False,True
PA 20:1_20:1,PE O-16:1_24:0,0.0,0.0,1.042637517394599e-08,1.0,0.0,False,True
PA 20:1_20:1,PE O-16:1_24:1,0.0,0.0,8.911001141271715e-09,1.0,0.0,False,True
PA 20:1_20:1,PE O-16:1_24:4,0.0,0.0,-1.5846614213403845e-08,1.0,0.0,False,True
PA 20:1_20:1,PE O-16:1_24:5,0.0,0.0,-1.695989298785871e-07,1.0,0.0,False,True
PA 20:1_20:1,PE O-16:1_24:6,0.0,0.0,-8.097980774187855e-08,1.0,0.0,False,True
PA 20:1_20:1,PE O-18:0_20:4,0.0,0.0,2.3005374997648287e-07,0.6666666666666666,0.0,False,False
PA 20:1_20:1,PE O-18:0_20:5,0.0,0.0,-3.957801087477535e-09,0.6666666666666666,0.0,False,False
PA 20:1_20:1,PE O-18:0_22:5,0.0,0.0,-4.001606771045966e-06,0.6666666666666666,0.0,False,False
PA 20:1_20:1,PE O-18:1_20:1,0.0,0.0,-7.324249756060361e-07,1.0,0.3333333333333333,False,True
PA 20:1_20:1,PE O-20:1_18:2,0.0,0.0,-1.0171198952548792e-07,0.3333333333333333,0.0,False,False
PA 20:1_20:1,PE O-18:2_22:5,0.0,0.0,-3.807573311874768e-06,0.3333333333333333,0.0,False,False
PA 20:1_20:1,PE O-18:2_22:6,0.0,0.0,9.812170340756911e-06,1.0,0.0,False,True
PA 20:1_20:1,PE O-18:3_22:6,0.0,0.0,1.0002421622955704e-05,0.3333333333333333,0.0,False,False
PA 20:1_20:1,PE O-20:1_20:4,0.0,0.0,-7.684895041419018e-07,0.3333333333333333,0.0,False,False
PA 20:1_20:1,PE O-20:2_20:4,0.0,0.0,-8.828975203767847e-07,0.3333333333333333,0.0,False,False
PA 20:1_20:1,PG 16:1_20:3,0.0,0.0,-5.59782121084006e-07,0.6666666666666666,0.0,False,False
PA 20:1_20:1,PG 16:1_20:1,0.0,0.0,-3.105127011588524e-06,1.0,0.0,False,True
PA 20:1_20:1,PG 14:0_22:1,0.0,0.0,-1.613976983771397e-06,1.0,0.0,False,True
PA 20:1_20:1,PG 16:0_22:6,0.0,0.0,5.449267307835047e-06,1.0,0.0,False,True
PA 20:1_20:1,PG 18:1_20:4,0.0,0.0,4.5339246764564475e-08,1.0,0.0,False,True
PA 20:1_20:1,PG 17:0_20:1,0.0,0.0,-1.8981904797655935e-07,1.0,0.0,False,True
PA 20:1_20:1,PC 14:0_20:1,0.0,0.0,-6.772560458475103e-08,1.0,0.0,False,True
PA 20:1_20:1,PC 14:1_20:1,0.0,0.0,3.489194930380844e-08,1.0,0.0,False,True
PA 20:1_20:1,PC 17:0_17:1,0.0,0.0,1.8925174143953322e-07,1.0,0.0,False,True
PS 14:0_22:0,PA 20:1_20:1,0.0,0.0,0.01129281886053358,0.0625,0.0,False,False
PS 14:0_22:0,PA 22:6_22:6,0.0,0.0,0.05480563534783181,0.015625,0.0,False,False
PS 14:0_22:0,PS 14:0_20:1,0.0,0.0,0.11369319733975654,0.015625,0.0,False,False
PS 14:0_22:0,PS 14:0_22:2,0.0016460126835890609,0.1715270045865817,1.0374405077289815e-15,0.828125,0.0,False,False
