identity_id,lipid_name,q_full,q_deleted,absolute_necessity_loss,relative_necessity_loss,full_diagnostic_abundance,redistribution_total,top_replacement_identity,top_replacement_gain,top_replacement_fraction,top5_replacement_identities,top5_replacement_gains,unique_top_replacement,top_tie_identities,source_eligible,numerical_edge_tolerance,residual_absorption,delta_residual_absorption,removed_vs_positive_replacement_signal_cosine,removed_signal_projection_fraction,deletion_residual_norm,delta_residual_norm,residual_direction_nonzero,delta_residual_direction_nonzero,diagnostic_scope,absorption_interpretation,eligible_block_count,replacement_rank_stability,unique_top_by_block,eligible_blocks
0,PA 16:0_24:0,0.012247866282484934,0.012247866282484934,0.0,0.0,0.0,0.0,,0.0,0.0,[],[],,[],False,1.5404566511278972e-11,,,0.0,0.0,0.11067007853293016,3.775376906463036e-17,True,False,global foreground mean NNLS; not mean pixelwise NNLS,"raw postfit residual direction, constrained by NNLS KKT; not absorbed signal fraction",0,"{""n"": 0, ""median"": null, ""q25"": null, ""q75"": null, ""IQR"": null}","[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",[]
1,PA 16:0_24:1,0.012247866282484934,0.012247866282484934,0.0,0.0,0.0,0.0,,0.0,0.0,[],[],,[],False,1.5404566511278972e-11,,,0.0,0.0,0.11067007853293016,3.775376906463036e-17,True,False,global foreground mean NNLS; not mean pixelwise NNLS,"raw postfit residual direction, constrained by NNLS KKT; not absorbed signal fraction",0,"{""n"": 0, ""median"": null, ""q25"": null, ""q75"": null, ""IQR"": null}","[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",[]
2,PA 16:0_24:4,0.012247866282484934,0.012247866282484934,0.0,0.0,0.0,0.0,,0.0,0.0,[],[],,[],False,1.5404566511278972e-11,,,0.0,0.0,0.11067007853293016,3.775376906463036e-17,True,False,global foreground mean NNLS; not mean pixelwise NNLS,"raw postfit residual direction, constrained by NNLS KKT; not absorbed signal fraction",0,"{""n"": 0, ""median"": null, ""q25"": null, ""q75"": null, ""IQR"": null}","[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",[]
3,PA 16:0_24:5,0.012247866282484934,0.012247866282484934,0.0,0.0,0.0,0.0,,0.0,0.0,[],[],,[],False,1.5404566511278972e-11,,,0.0,0.0,0.11067007853293016,3.775376906463036e-17,True,False,global foreground mean NNLS; not mean pixelwise NNLS,"raw postfit residual direction, constrained by NNLS KKT; not absorbed signal fraction",0,"{""n"": 0, ""median"": null, ""q25"": null, ""q75"": null, ""IQR"": null}","[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",[]
4,PA 24:0_16:1,0.012247866282484934,0.012247866282484934,0.0,0.0,0.0,0.0,,0.0,0.0,[],[],,[],False,1.5404566511278972e-11,,,0.0,0.0,0.11067007853293016,3.775376906463036e-17,True,False,global foreground mean NNLS; not mean pixelwise NNLS,"raw postfit residual direction, constrained by NNLS KKT; not absorbed signal fraction",0,"{""n"": 0, ""median"": null, ""q25"": null, ""q75"": null, ""IQR"": null}","[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",[]
5,PA 18:0_22:0,0.012247866282484934,0.012247866282484934,0.0,0.0,0.0,0.0,,0.0,0.0,[],[],,[],False,1.5404566511278972e-11,,,0.0,0.0,0.11067007853293016,3.775376906463036e-17,True,False,global foreground mean NNLS; not mean pixelwise NNLS,"raw postfit residual direction, constrained by NNLS KKT; not absorbed signal fraction",0,"{""n"": 0, ""median"": null, ""q25"": null, ""q75"": null, ""IQR"": null}","[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",[]
6,PA 18:0_22:1,0.012247866282484934,0.012247866282484934,0.0,0.0,0.0,0.0,,0.0,0.0,[],[],,[],False,1.5404566511278972e-11,,,0.0,0.0,0.11067007853293016,3.775376906463036e-17,True,False,global foreground mean NNLS; not mean pixelwise NNLS,"raw postfit residual direction, constrained by NNLS KKT; not absorbed signal fraction",0,"{""n"": 0, ""median"": null, ""q25"": null, ""q75"": null, ""IQR"": null}","[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",[]
7,PA 18:0_22:2,0.012247866282484934,0.012247866282484934,0.0,0.0,0.0,0.0,,0.0,0.0,[],[],,[],False,1.5404566511278972e-11,,,0.0,0.0,0.11067007853293016,3.775376906463036e-17,True,False,global foreground mean NNLS; not mean pixelwise NNLS,"raw postfit residual direction, constrained by NNLS KKT; not absorbed signal fraction",0,"{""n"": 0, ""median"": null, ""q25"": null, ""q75"": null, ""IQR"": null}","[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",[]
8,PA 18:0_22:3,0.012247866282484934,0.012247866282484934,0.0,0.0,0.0,0.0,,0.0,0.0,[],[],,[],False,1.5404566511278972e-11,,,0.0,0.0,0.11067007853293016,3.775376906463036e-17,True,False,global foreground mean NNLS; not mean pixelwise NNLS,"raw postfit residual direction, constrained by NNLS KKT; not absorbed signal fraction",0,"{""n"": 0, ""median"": null, ""q25"": null, ""q75"": null, ""IQR"": null}","[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",[]
9,PA 18:0_22:4,0.012247866282484934,0.012247866282484934,0.0,0.0,0.0,0.0,,0.0,0.0,[],[],,[],False,1.5404566511278972e-11,,,0.0,0.0,0.11067007853293016,3.775376906463036e-17,True,False,global foreground mean NNLS; not mean pixelwise NNLS,"raw postfit residual direction, constrained by NNLS KKT; not absorbed signal fraction",0,"{""n"": 0, ""median"": null, ""q25"": null, ""q75"": null, ""IQR"": null}","[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",[]
10,PA 18:0_22:5,0.012247866282484934,0.012247866282484934,0.0,0.0,0.0,0.0,,0.0,0.0,[],[],,[],False,1.5404566511278972e-11,,,0.0,0.0,0.11067007853293016,3.775376906463036e-17,True,False,global foreground mean NNLS; not mean pixelwise NNLS,"raw postfit residual direction, constrained by NNLS KKT; not absorbed signal fraction",0,"{""n"": 0, ""median"": null, ""q25"": null, ""q75"": null, ""IQR"": null}","[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",[]
11,PA 18:0_24:0,0.012247866282484934,0.012247866282484934,0.0,0.0,0.0,0.0,,0.0,0.0,[],[],,[],False,1.5404566511278972e-11,,,0.0,0.0,0.11067007853293016,3.775376906463036e-17,True,False,global foreground mean NNLS; not mean pixelwise NNLS,"raw postfit residual direction, constrained by NNLS KKT; not absorbed signal fraction",0,"{""n"": 0, ""median"": null, ""q25"": null, ""q75"": null, ""IQR"": null}","[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",[]
12,PA 18:0_24:1,0.012247866282484934,0.012247866282484934,0.0,0.0,0.0,0.0,,0.0,0.0,[],[],,[],False,1.5404566511278972e-11,,,0.0,0.0,0.11067007853293016,3.775376906463036e-17,True,False,global foreground mean NNLS; not mean pixelwise NNLS,"raw postfit residual direction, constrained by NNLS KKT; not absorbed signal fraction",0,"{""n"": 0, ""median"": null, ""q25"": null, ""q75"": null, ""IQR"": null}","[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",[]
13,PA 18:0_24:4,0.012247866282484934,0.012247866282484934,0.0,0.0,0.0,0.0,,0.0,0.0,[],[],,[],False,1.5404566511278972e-11,,,0.0,0.0,0.11067007853293016,3.775376906463036e-17,True,False,global foreground mean NNLS; not mean pixelwise NNLS,"raw postfit residual direction, constrained by NNLS KKT; not absorbed signal fraction",0,"{""n"": 0, ""median"": null, ""q25"": null, ""q75"": null, ""IQR"": null}","[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",[]
14,PA 18:0_24:5,0.012247866282484934,0.012247866282484934,0.0,0.0,0.0,0.0,,0.0,0.0,[],[],,[],False,1.5404566511278972e-11,,,0.0,0.0,0.11067007853293016,3.775376906463036e-17,True,False,global foreground mean NNLS; not mean pixelwise NNLS,"raw postfit residual direction, constrained by NNLS KKT; not absorbed signal fraction",0,"{""n"": 0, ""median"": null, ""q25"": null, ""q75"": null, ""IQR"": null}","[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",[]
15,PA 18:0_24:6,0.012247866282484934,0.012247866282484934,0.0,0.0,0.0,0.0,,0.0,0.0,[],[],,[],False,1.5404566511278972e-11,,,0.0,0.0,0.11067007853293016,3.775376906463036e-17,True,False,global foreground mean NNLS; not mean pixelwise NNLS,"raw postfit residual direction, constrained by NNLS KKT; not absorbed signal fraction",0,"{""n"": 0, ""median"": null, ""q25"": null, ""q75"": null, ""IQR"": null}","[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",[]
