identity_id,lipid_name,lipid_class,candidate_count,candidate_indices,adducts,rule_sheets,ista_reported,nnls_reported,support_agreement,ista_mean_abundance,nnls_mean_abundance,ista_total_abundance,nnls_total_abundance,abundance_definition,ista_reported_alias_mean_abundance,nnls_reported_alias_mean_abundance,current_confidence_outcome,ista_current_confidence_outcome,nnls_current_confidence_outcome,rho_identity,nnls_rho_identity,current_joint_score,nnls_current_joint_score,current_threshold_status,current_threshold,verified_fragment_labels
0,PA 16:0_24:0,PA,1,[0],"[""[M-H]-""]","[""PA-H""]",False,False,neither,1.6150126983953515e-07,2.653011043091226e-07,0.002557695610448718,0.004201573588943575,foreground mean/total of ALL same-name aliases; no normalization,0,0,unreported/unreported,unreported,unreported,,,,,SAVED_DEV10_TRANSFER,0.5406530976316042,"[""p_glycerol"", ""sn1_fragment"", ""sn1_ketene_loss"", ""sn1_loss"", ""sn2_fragment"", ""sn2_ketene_loss"", ""sn2_loss""]"
1,PA 16:0_24:1,PA,1,[1],"[""[M-H]-""]","[""PA-H""]",False,False,neither,1.0478204365323074e-06,5.353565978284676e-07,0.016594332253362154,0.008478442439809442,foreground mean/total of ALL same-name aliases; no normalization,0,0,unreported/unreported,unreported,unreported,,,,,SAVED_DEV10_TRANSFER,0.5406530976316042,"[""p_glycerol"", ""sn1_fragment"", ""sn1_ketene_loss"", ""sn1_loss"", ""sn2_fragment"", ""sn2_ketene_loss"", ""sn2_loss""]"
2,PA 16:0_24:4,PA,1,[2],"[""[M-H]-""]","[""PA-H""]",False,False,neither,1.384473804912257e-06,2.0337375949428653e-07,0.021925911648395413,0.003220830229111016,foreground mean/total of ALL same-name aliases; no normalization,0,0,unreported/unreported,unreported,unreported,,,,,SAVED_DEV10_TRANSFER,0.5406530976316042,"[""p_glycerol"", ""sn1_fragment"", ""sn1_ketene_loss"", ""sn1_loss"", ""sn2_fragment"", ""sn2_fragment_co2"", ""sn2_ketene_loss"", ""sn2_loss""]"
3,PA 16:0_24:5,PA,1,[3],"[""[M-H]-""]","[""PA-H""]",False,False,neither,1.1229429484932997e-06,1.6171664590330153e-08,0.01778404747528839,0.00025611065211705863,foreground mean/total of ALL same-name aliases; no normalization,0,0,unreported/unreported,unreported,unreported,,,,,SAVED_DEV10_TRANSFER,0.5406530976316042,"[""p_glycerol"", ""sn1_fragment"", ""sn1_ketene_loss"", ""sn1_loss"", ""sn2_fragment"", ""sn2_fragment_co2"", ""sn2_ketene_loss"", ""sn2_loss""]"
4,PA 24:0_16:1,PA,1,[4],"[""[M-H]-""]","[""PA-H""]",False,False,neither,0.0,0.0,0.0,0.0,foreground mean/total of ALL same-name aliases; no normalization,0,0,unreported/unreported,unreported,unreported,,,,,SAVED_DEV10_TRANSFER,0.5406530976316042,"[""p_glycerol"", ""sn1_fragment"", ""sn1_ketene_loss"", ""sn1_loss"", ""sn2_fragment"", ""sn2_ketene_loss"", ""sn2_loss""]"
5,PA 18:0_22:0,PA,1,[5],"[""[M-H]-""]","[""PA-H""]",False,False,neither,0.0,9.101639961501678e-09,0.0,0.00014414267207030207,foreground mean/total of ALL same-name aliases; no normalization,0,0,unreported/unreported,unreported,unreported,,,,,SAVED_DEV10_TRANSFER,0.5406530976316042,"[""p_glycerol"", ""sn1_fragment"", ""sn1_ketene_loss"", ""sn1_loss"", ""sn2_fragment"", ""sn2_ketene_loss"", ""sn2_loss""]"
6,PA 18:0_22:1,PA,1,[6],"[""[M-H]-""]","[""PA-H""]",False,False,neither,0.0,1.0356448165935467e-06,0.0,0.016401506960392,foreground mean/total of ALL same-name aliases; no normalization,0,0,unreported/unreported,unreported,unreported,,,,,SAVED_DEV10_TRANSFER,0.5406530976316042,"[""p_glycerol"", ""sn1_fragment"", ""sn1_ketene_loss"", ""sn1_loss"", ""sn2_fragment"", ""sn2_ketene_loss"", ""sn2_loss""]"
7,PA 18:0_22:2,PA,1,[7],"[""[M-H]-""]","[""PA-H""]",False,False,neither,0.0,2.6226092610990983e-06,0.0,0.04153426286802642,foreground mean/total of ALL same-name aliases; no normalization,0,0,unreported/unreported,unreported,unreported,,,,,SAVED_DEV10_TRANSFER,0.5406530976316042,"[""p_glycerol"", ""sn1_fragment"", ""sn1_ketene_loss"", ""sn1_loss"", ""sn2_fragment"", ""sn2_ketene_loss"", ""sn2_loss""]"
8,PA 18:0_22:3,PA,1,[8],"[""[M-H]-""]","[""PA-H""]",False,False,neither,0.0,2.8134223759043826e-06,0.0,0.044556170167197706,foreground mean/total of ALL same-name aliases; no normalization,0,0,unreported/unreported,unreported,unreported,,,,,SAVED_DEV10_TRANSFER,0.5406530976316042,"[""p_glycerol"", ""sn1_fragment"", ""sn1_ketene_loss"", ""sn1_loss"", ""sn2_fragment"", ""sn2_ketene_loss"", ""sn2_loss""]"
9,PA 18:0_22:4,PA,1,[9],"[""[M-H]-""]","[""PA-H""]",False,False,neither,3.6559986278576505e-06,8.32833781048613e-06,0.05790005026938161,0.13189588590466883,foreground mean/total of ALL same-name aliases; no normalization,0,0,unreported/unreported,unreported,unreported,,,,,SAVED_DEV10_TRANSFER,0.5406530976316042,"[""p_glycerol"", ""sn1_fragment"", ""sn1_ketene_loss"", ""sn1_loss"", ""sn2_fragment"", ""sn2_fragment_co2"", ""sn2_ketene_loss"", ""sn2_loss""]"
10,PA 18:0_22:5,PA,1,[10],"[""[M-H]-""]","[""PA-H""]",False,False,neither,0.0,1.2271613223516893e-06,0.0,0.019434553862083703,foreground mean/total of ALL same-name aliases; no normalization,0,0,unreported/unreported,unreported,unreported,,,,,SAVED_DEV10_TRANSFER,0.5406530976316042,"[""p_glycerol"", ""sn1_fragment"", ""sn1_ketene_loss"", ""sn1_loss"", ""sn2_fragment"", ""sn2_fragment_co2"", ""sn2_ketene_loss"", ""sn2_loss""]"
11,PA 18:0_24:0,PA,1,[11],"[""[M-H]-""]","[""PA-H""]",False,False,neither,0.0,2.128579769060773e-08,0.0,0.00033710317802615464,foreground mean/total of ALL same-name aliases; no normalization,0,0,unreported/unreported,unreported,unreported,,,,,SAVED_DEV10_TRANSFER,0.5406530976316042,"[""p_glycerol"", ""sn1_fragment"", ""sn1_ketene_loss"", ""sn1_loss"", ""sn2_fragment"", ""sn2_ketene_loss"", ""sn2_loss""]"
12,PA 18:0_24:1,PA,1,[12],"[""[M-H]-""]","[""PA-H""]",False,False,neither,0.0,3.8672229554145435e-07,0.0,0.0061245209944900125,foreground mean/total of ALL same-name aliases; no normalization,0,0,unreported/unreported,unreported,unreported,,,,,SAVED_DEV10_TRANSFER,0.5406530976316042,"[""p_glycerol"", ""sn1_fragment"", ""sn1_ketene_loss"", ""sn1_loss"", ""sn2_fragment"", ""sn2_ketene_loss"", ""sn2_loss""]"
