identity_id,lipid_name,ista_nnls_ratio,ista_nnls_log_ratio,both_reported,ista_only,nnls_only,pixelwise_abundance_corr,spatial_cosine_ista_nnls,status,ratio_is_solver_correctness
0,PA 16:0_24:0,0.6087470697119967,-0.4963524182117129,False,False,False,-0.00017667281877076132,0.0,neither,False
1,PA 16:0_24:1,1.9572382983277201,0.6715344481586724,False,False,False,-0.00017295608356241964,0.0,neither,False
2,PA 16:0_24:4,6.807534110373524,1.918029956258112,False,False,False,-0.00019211353004903022,0.0,neither,False
3,PA 16:0_24:5,69.43892152974553,4.240447539265841,False,False,False,-0.00011509115622543637,0.0,neither,False
4,PA 24:0_16:1,,,False,False,False,,,neither,False
5,PA 18:0_22:0,0.0,,False,False,False,,,neither,False
6,PA 18:0_22:1,0.0,,False,False,False,,,neither,False
7,PA 18:0_22:2,0.0,,False,False,False,,,neither,False
8,PA 18:0_22:3,0.0,,False,False,False,,,neither,False
9,PA 18:0_22:4,0.43898298928922147,-0.8232946154294238,False,False,False,0.5003295151338784,0.5008188420656041,neither,False
10,PA 18:0_22:5,0.0,,False,False,False,,,neither,False
11,PA 18:0_24:0,0.0,,False,False,False,,,neither,False
12,PA 18:0_24:1,0.0,,False,False,False,,,neither,False
13,PA 18:0_24:4,0.0,,False,False,False,,,neither,False
14,PA 18:0_24:5,0.0,,False,False,False,,,neither,False
15,PA 18:0_24:6,0.0,,False,False,False,,,neither,False
16,PA 22:0_18:1,,,False,False,False,,,neither,False
17,PA 18:1_22:1,2.4921601419839945,0.9131498612938497,False,False,False,0.3064242198059465,0.3144714969224797,neither,False
18,PA 18:1_22:2,1.7929783331378786,0.5838781104104832,False,False,False,0.23792107298833837,0.23870208273699625,neither,False
19,PA 18:1_22:3,2.3482128198510757,0.8536545366365454,False,False,False,-0.0001228018769603106,0.0,neither,False
20,PA 18:1_22:4,0.0,,False,False,False,,,neither,False
21,PA 24:0_18:1,0.0,,False,False,False,,,neither,False
22,PA 18:1_24:1,0.022600107962836225,-3.7898005955986602,False,False,False,-0.00017718103930219257,0.0,neither,False
23,PA 18:1_24:4,0.0,,False,False,False,,,neither,False
