lipid_name,lipid_class,X_hat,rho_zero,predictive_gain,positive_block_fraction,joint_score,retained_by_pool,retained_by_fdp5,retained_by_fdp1
PE 18:0_22:6,PE,0.2430186358557401,0.03246030453851104,0.48016056156614384,0.6666666666666666,0.9999999999736098,True,True,True
PE O-18:1_22:6,PE,0.08362738739149775,0.001832565857962544,0.09817283561951344,0.8,0.9996849618576633,True,True,True
PS 18:1_18:1,PS,0.07337007264323502,0.005087623636312783,0.08537884467268274,0.5,0.9994819865346593,True,True,True
PE O-18:1_20:4,PE,0.0616082453322032,0.0011441976961459226,0.0758833784964893,1.0,0.9994009893556853,True,True,True
PE O-18:2_22:6,PE,0.03957136601458654,0.0002933056357237929,0.05665347805455929,0.6,0.9987913858712247,True,True,True
PE 20:0_20:4,PE,0.014489468912776554,6.51537327126405e-05,0.05789058137028091,0.75,0.9982520822194091,True,True,True
PE O-20:1_20:4,PE,0.03507887626589133,0.00020889701313465392,0.024578412611312783,0.5,0.9941245938914046,True,True,True
PS 18:0_18:1,PS,0.07104063590718107,0.002585842751012908,0.03074035685668075,0.8333333333333334,0.9929893861302918,True,True,True
PE 16:0_22:6,PE,0.056662870395508505,0.0001738179233929324,0.020296466652139713,0.2857142857142857,0.9899368002891562,True,True,True
PE 20:1_20:4,PE,0.02055197359367885,2.1422679909286225e-06,0.006499452800225416,0.75,0.9843034166753882,True,True,True
PS 16:0_18:1,PS,0.018849844165172713,8.176961300049885e-05,0.006456369434410731,0.6666666666666666,0.9828873946788518,True,True,True
PG 14:0_22:1,PG,0.027349346025652994,0.00013441678370542176,6.0003745118548494e-05,0.3333333333333333,0.979519411763291,True,True,True
PE 18:1_20:4,PE,0.02906358388086082,0.00036860569993070117,-0.0018580521092964703,0.6,0.9789173870228036,True,True,True
PE 18:0_22:4,PE,0.0224243672740242,0.0,0.0,0.0,0.9762440458956523,True,True,True
PG 16:0_22:4,PG,0.01505433904952393,6.420630489332761e-05,0.002735937997543604,0.4444444444444444,0.9729290017517265,True,True,True
PE 18:1_22:6,PE,0.042849456658358986,7.161433365746296e-05,-0.005768746607037205,0.16666666666666666,0.9700263742826626,True,True,True
PE O-18:1_20:1,PE,0.01143571348543155,3.0264265849368767e-07,0.006696071676432329,0.5,0.9672056001855549,True,True,True
PE 20:3_20:4,PE,0.012733364138250759,0.0,3.0348793010522284e-05,0.5,0.9617959252046565,True,True,True
PG 16:1_20:1,PG,0.01088759997649656,2.919932682823108e-05,0.003830395384249503,0.4444444444444444,0.9586552533097559,True,True,False
PE O-18:1_22:4,PE,0.014933578264642325,0.0,-0.008365221789585906,0.0,0.9491316290322981,True,True,False
PC 16:0_18:1,PC,0.04736858283734614,0.00014990294742948563,-0.01647314470914154,0.25,0.9477904614485442,True,True,False
PC 14:0_18:0,PC,0.013064874170262345,0.0002542093841047771,-0.009264830865181643,0.3333333333333333,0.9408406095764477,True,True,False
PE O-18:0_20:4,PE,0.008688431049173717,6.343989945850036e-05,-0.001419853582280587,0.4,0.9186557557962326,True,True,False
PG 14:0_22:0,PG,0.0077394994338569065,0.00012501860153572424,0.0008042539287013122,0.2222222222222222,0.9033764358170795,True,True,False
PG 16:0_20:4,PG,0.006965233251819613,1.571989819966083e-17,-0.0003128041348876634,0.0,0.8669370651433278,True,True,False
PE O-16:1_22:4,PE,0.006355509415755673,0.0,0.0010255242604492781,0.2,0.8508388163959453,True,True,False
PS 14:0_22:1,PS,0.007469897935364135,0.0005741889725840205,-0.011267358927830482,0.125,0.8216830823260608,True,True,False
PE 16:0_22:4,PE,0.02052518620541731,0.0006480872765251761,-0.04724478086980693,0.2857142857142857,0.7958503314059616,True,False,False
PC O-16:1_16:1,PC,0.005480474190915677,7.72443565550052e-05,-0.0017417970233232114,0.25,0.7674107366959951,True,False,False
PG 17:0_20:1,PG,0.004877012592005975,8.518268395036036e-06,-0.00018010385825508482,0.6666666666666666,0.7312257025973047,True,False,False
PG 16:1_22:4,PG,0.004930928360130924,2.8311063452497585e-07,-0.0011331447991338745,0.2222222222222222,0.7101867095827207,True,False,False
PS 14:0_22:0,PS,0.004943039691070102,0.0001458934024469743,-0.0063185688207954,0.125,0.6514101006991938,True,False,False
PE 18:1_20:1,PE,0.004431943002525114,0.0,0.0,0.0,0.6370538778507585,True,False,False
PE O-16:0_22:5,PE,0.004328126221311399,0.0,-0.002452981150612575,0.0,0.5893024013917447,False,False,False
PE O-20:0_20:4,PE,0.004121898148795869,1.4714155344993335e-05,-0.0003716200694834463,0.25,0.5867278034904516,False,False,False
PS 18:0_18:2,PS,0.004019268843843552,7.563829654905488e-05,-0.00068245246468981,0.6666666666666666,0.5826161021649842,False,False,False
PE O-18:2_22:4,PE,0.004230347797652717,0.0,-0.00170392199030629,0.0,0.5796313542775594,False,False,False
PS 16:1_20:1,PS,0.003767493836187643,7.000445449792729e-05,0.0033614400038477436,0.6666666666666666,0.5759890259183167,False,False,False
PE O-18:1_20:2,PE,0.0036867645692421785,0.0,0.0025440210246943135,0.25,0.525332657780698,False,False,False
PE 18:0_20:4,PE,0.10008111490599345,0.0,-0.05647491844866121,0.2,0.4745502732735387,False,False,False
PG 16:0_22:6,PG,0.004921008444491788,0.00021740297484383028,-0.021628294570358482,0.2222222222222222,0.4669156252780071,False,False,False
PS 14:0_22:2,PS,0.0035910531830547748,1.3972007457499058e-06,-0.0013799563778470606,0.25,0.45253505294125135,False,False,False
PS 16:0_20:2,PS,0.003465598543634408,0.0,0.0003446814625758194,0.1111111111111111,0.43418880825079087,False,False,False
PE 20:1_18:3,PE,0.0022194340215394427,0.0010242920961881655,0.026776865945925297,0.5,0.3320761085091329,False,False,False
PE O-18:0_20:3,PE,0.0030493404632940427,0.0,-2.5151837119533306e-16,0.0,0.3107238206544533,False,False,False
PG 14:0_20:0,PG,0.0029034017160741643,7.656797266103282e-06,0.0006001399940375098,0.6666666666666666,0.3046519915242203,False,False,False
PC 16:0_18:0,PC,0.0029140906919341543,0.0,0.0,0.0,0.2733314382923654,False,False,False
PE 18:0_20:1,PE,0.002910685452931968,0.0,0.0,0.0,0.2723965097410628,False,False,False
PE O-18:0_20:5,PE,0.0030317644321426504,0.0,-0.006555026013004693,0.0,0.241103099415752,False,False,False
PG 16:0_20:1,PG,0.002688533754090185,0.0,0.0007393267876246286,0.1111111111111111,0.22303080163330274,False,False,False
PE 18:2_22:6,PE,0.00235098424323507,0.0004130139298274248,0.01142815830446086,0.16666666666666666,0.21797643688258564,False,False,False
PG 18:0_20:4,PG,0.0027067653831285873,0.0,0.0,0.0,0.21759027884087098,False,False,False
PE 20:2_20:4,PE,0.0030435813548569195,0.0008389621084076506,-0.01539410040469467,1.0,0.20325203375179818,False,False,False
PG 16:1_20:3,PG,0.0024990073350468845,1.4407753482108483e-05,-0.00022724007536553388,0.4444444444444444,0.17702280305487839,False,False,False
PG 17:1_20:1,PG,0.0025246432852639067,0.0,-0.00013561247363822206,0.1111111111111111,0.17406360526221573,False,False,False
PG 18:2_20:2,PG,0.0021282280458019428,0.0,-0.001601323274687934,0.0,0.08259604507114669,False,False,False
PE O-20:1_18:2,PE,0.0020214254411057542,0.0,-0.005515886225218914,0.0,0.055200749225859665,False,False,False
PE O-16:0_22:4,PE,0.0017796236226615485,0.0,0.00016584755094616743,0.2,0.042235478413510254,False,False,False
PE O-18:0_22:6,PE,0.0016766063349577076,0.0,0.000772351844339892,0.2,0.03279334616443501,False,False,False
PE O-16:1_22:1,PE,0.0015122085889088548,5.669198324961753e-06,0.007649155929950102,0.5,0.02929032135087137,False,False,False
PE 18:1_20:3,PE,0.003302428208099872,0.0001323858269762327,-0.0683018849568404,0.0,0.01994617035573181,False,False,False
