method,lipid_name,lipid_class,raw_solver_reported,X_hat,rho_zero,rho_status,predictive_gain,positive_block_fraction,joint_score,retained_by_pool,retained_by_fdp5,retained_by_fdp1
NNLS,PA 16:0_24:0,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 16:0_24:1,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 16:0_24:4,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 16:0_24:5,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 24:0_16:1,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 18:0_22:0,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 18:0_22:1,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 18:0_22:2,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 18:0_22:3,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 18:0_22:4,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 18:0_22:5,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 18:0_24:0,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 18:0_24:1,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 18:0_24:4,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 18:0_24:5,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 18:0_24:6,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 22:0_18:1,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 18:1_22:1,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 18:1_22:2,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 18:1_22:3,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 18:1_22:4,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 24:0_18:1,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 18:1_24:1,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 18:1_24:4,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 18:1_24:5,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 18:1_24:6,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 22:0_18:2,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 22:1_18:2,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 18:2_22:2,PA,False,0,,UNREPORTED,-4.0616729767943795e-06,0.0,,False,False,False
NNLS,PA 18:2_22:3,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 24:0_18:2,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 24:1_18:2,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 18:2_24:4,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 18:2_24:5,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 18:2_24:6,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 20:0_20:0,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 20:0_20:1,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 20:0_20:2,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 20:0_20:3,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 20:0_20:4,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 20:0_20:5,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 20:0_22:1,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 20:0_22:2,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 20:0_22:3,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 20:0_22:4,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 20:0_22:5,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 20:0_22:6,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 20:1_20:1,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 20:1_20:2,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 20:1_20:3,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 20:1_20:4,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 22:0_20:1,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 20:1_22:1,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 20:1_22:2,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 20:1_22:3,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 20:1_22:4,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 20:1_22:5,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 20:1_22:6,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 20:2_20:2,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 20:2_20:3,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 22:1_20:2,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 20:2_22:4,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 20:2_22:6,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 22:0_20:3,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 22:1_20:3,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
