score,threshold,TP,FP,FDR,precision,all_truth_recall,TP_retention,reportable_truth_recall,coverage,solver_FN,post_solver_true_loss
rho_zero,0.002070645182677436,1,0,0.0,1.0,0.008,0.008,0.008,0.004739336492890996,0,124
rho_zero,0.0015808966277790588,2,0,0.0,1.0,0.016,0.016,0.016,0.009478672985781991,0,123
rho_zero,0.00035541208069585814,3,0,0.0,1.0,0.024,0.024,0.024,0.014218009478672985,0,122
rho_zero,0.0002909273496917899,4,0,0.0,1.0,0.032,0.032,0.032,0.018957345971563982,0,121
rho_zero,0.00024190180645163907,5,0,0.0,1.0,0.04,0.04,0.04,0.023696682464454975,0,120
rho_zero,0.00018184137379182008,6,0,0.0,1.0,0.048,0.048,0.048,0.02843601895734597,0,119
rho_zero,0.00012921013642358583,7,0,0.0,1.0,0.056,0.056,0.056,0.03317535545023697,0,118
rho_zero,0.00010917467612850081,8,0,0.0,1.0,0.064,0.064,0.064,0.037914691943127965,0,117
rho_zero,8.254303120015247e-05,9,0,0.0,1.0,0.072,0.072,0.072,0.04265402843601896,0,116
rho_zero,7.446793528805293e-05,10,0,0.0,1.0,0.08,0.08,0.08,0.04739336492890995,0,115
rho_zero,5.942505155796931e-05,11,0,0.0,1.0,0.088,0.088,0.088,0.052132701421800945,0,114
rho_zero,5.8004979343681166e-05,12,0,0.0,1.0,0.096,0.096,0.096,0.05687203791469194,0,113
rho_zero,5.420718097728402e-05,13,0,0.0,1.0,0.104,0.104,0.104,0.061611374407582936,0,112
rho_zero,5.264267975691159e-05,14,0,0.0,1.0,0.112,0.112,0.112,0.06635071090047394,0,111
rho_zero,5.131550505600969e-05,15,0,0.0,1.0,0.12,0.12,0.12,0.07109004739336493,0,110
rho_zero,4.85505181597886e-05,16,0,0.0,1.0,0.128,0.128,0.128,0.07582938388625593,0,109
rho_zero,4.767565484545883e-05,17,0,0.0,1.0,0.136,0.136,0.136,0.08056872037914692,0,108
rho_zero,4.7214704469435585e-05,18,0,0.0,1.0,0.144,0.144,0.144,0.08530805687203792,0,107
rho_zero,4.5061982021607466e-05,19,0,0.0,1.0,0.152,0.152,0.152,0.09004739336492891,0,106
rho_zero,3.9999303122907696e-05,20,0,0.0,1.0,0.16,0.16,0.16,0.0947867298578199,0,105
rho_zero,3.8554337605092954e-05,20,1,0.047619047619047616,0.9523809523809523,0.16,0.16,0.16,0.0995260663507109,0,105
rho_zero,3.828690575080547e-05,21,1,0.045454545454545456,0.9545454545454546,0.168,0.168,0.168,0.10426540284360189,0,104
rho_zero,3.7165958667292124e-05,22,1,0.043478260869565216,0.9565217391304348,0.176,0.176,0.176,0.10900473933649289,0,103
rho_zero,2.9014858644664996e-05,23,1,0.041666666666666664,0.9583333333333334,0.184,0.184,0.184,0.11374407582938388,0,102
rho_zero,2.884089101010703e-05,24,1,0.04,0.96,0.192,0.192,0.192,0.11848341232227488,0,101
rho_zero,2.7148736016660327e-05,25,1,0.038461538461538464,0.9615384615384616,0.2,0.2,0.2,0.12322274881516587,0,100
rho_zero,2.470147931174512e-05,26,1,0.037037037037037035,0.9629629629629629,0.208,0.208,0.208,0.12796208530805686,0,99
rho_zero,2.365642657630528e-05,27,1,0.03571428571428571,0.9642857142857143,0.216,0.216,0.216,0.13270142180094788,0,98
rho_zero,2.329625636972671e-05,28,1,0.034482758620689655,0.9655172413793104,0.224,0.224,0.224,0.13744075829383887,0,97
rho_zero,2.2951148872229625e-05,28,2,0.06666666666666667,0.9333333333333333,0.224,0.224,0.224,0.14218009478672985,0,97
rho_zero,2.213903556225154e-05,29,2,0.06451612903225806,0.9354838709677419,0.232,0.232,0.232,0.14691943127962084,0,96
