dataset_id,severity,split,lipid_name,molecular_truth,reportable_truth,raw_solver_reported,X_hat,rho_zero
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 16:0_24:0,True,True,True,0.02891195045061383,2.2188650732746962e-05
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 16:0_24:1,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 16:0_24:4,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 16:0_24:5,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 24:0_16:1,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 18:0_22:0,False,False,True,0.0013205490649886857,1.388045132308106e-07
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 18:0_22:1,True,True,True,0.007644290872852066,3.9595313554075185e-07
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 18:0_22:2,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 18:0_22:3,True,True,True,0.010678560806050232,2.41016075355924e-07
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 18:0_22:4,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 18:0_22:5,True,True,True,0.00463379351182613,0.0
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 18:0_24:0,True,True,True,0.007250456732945796,3.4231974251499345e-05
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 18:0_24:1,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 18:0_24:4,True,True,True,0.005951425822226535,0.0
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 18:0_24:5,False,False,True,0.0014346767421965936,1.1586697926077765e-08
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 18:0_24:6,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 22:0_18:1,True,True,True,0.009670773790948151,1.1999228694071514e-06
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 18:1_22:1,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 18:1_22:2,True,True,True,0.03142939416499235,2.1184386876178595e-06
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 18:1_22:3,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 18:1_22:4,False,False,True,0.0012090864915359962,2.5243748937022455e-08
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 24:0_18:1,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 18:1_24:1,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 18:1_24:4,False,False,True,0.001379106936545221,3.962256113740789e-08
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 18:1_24:5,True,True,True,0.0029510571986148927,0.0
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 18:1_24:6,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 22:0_18:2,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 22:1_18:2,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 18:2_22:2,True,True,True,0.010762077570324357,4.3173641145730184e-07
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 18:2_22:3,True,True,True,0.011794952487683434,1.6867133976161225e-08
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 24:0_18:2,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 24:1_18:2,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 18:2_24:4,False,False,True,0.0013062999680727762,1.5746702330979314e-07
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 18:2_24:5,False,False,True,0.0023182253112319752,2.5713137039223747e-07
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 18:2_24:6,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 20:0_20:0,True,True,True,0.011132708684481584,5.403477658234393e-07
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 20:0_20:1,True,True,True,0.029581245704633375,2.3604537957142503e-06
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 20:0_20:2,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 20:0_20:3,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 20:0_20:4,False,False,True,0.0011442188696986271,4.14754734927498e-08
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 20:0_20:5,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 20:0_22:1,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 20:0_22:2,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 20:0_22:3,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 20:0_22:4,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 20:0_22:5,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 20:0_22:6,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 20:1_20:1,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 20:1_20:2,True,True,True,0.004699599517512784,4.745820478426114e-08
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 20:1_20:3,True,True,True,0.026596273749793158,1.1383966514760638e-07
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 20:1_20:4,True,True,True,0.02966011087377783,3.2912869221522766e-06
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 22:0_20:1,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 20:1_22:1,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 20:1_22:2,True,True,True,0.027868206911257427,5.2965326607583405e-06
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PA 20:1_22:3,False,False,False,0,
