row_type,gate,feature,stratum_type,stratum_value,coverage,n_reported,identity_precision,false_identity_fraction,mass_weighted_false_fraction,true_identity_recall
pooled_rho_zero,0.0001,rho_zero,overall,all,0.05,293,1.0,0.0,0.0,0.12457482993197279
pooled_rho_zero,0.0001,rho_zero,overall,all,0.1,585,0.9572649572649573,0.042735042735042694,0.01992342546439039,0.23809523809523808
pooled_rho_zero,0.0001,rho_zero,overall,all,0.2,1169,0.7322497861420018,0.26775021385799824,0.08918873784088065,0.36394557823129253
pooled_rho_zero,0.0001,rho_zero,overall,all,0.4,2338,0.5265183917878529,0.47348160821214713,0.21689904366156776,0.5233843537414966
pooled_rho_zero,0.0001,rho_zero,overall,all,0.6,3506,0.3522532800912721,0.6477467199087279,0.33929127559296507,0.5250850340136054
pooled_rho_zero,0.0001,rho_zero,overall,all,0.8,4675,0.26994652406417113,0.7300534759358288,0.4165454819116518,0.5365646258503401
pooled_rho_zero,0.0001,rho_zero,overall,all,1.0,5843,0.24011637857265103,0.759883621427349,0.45899060878029807,0.5965136054421769
pooled_necessity,0.0001,necessity_signal,overall,all,0.05,293,1.0,0.0,0.0,0.12457482993197279
pooled_necessity,0.0001,necessity_signal,overall,all,0.1,585,0.9572649572649573,0.042735042735042694,0.01992342546439039,0.23809523809523808
pooled_necessity,0.0001,necessity_signal,overall,all,0.2,1169,0.7322497861420018,0.26775021385799824,0.08918873784088065,0.36394557823129253
pooled_necessity,0.0001,necessity_signal,overall,all,0.4,2338,0.5265183917878529,0.47348160821214713,0.21689904366156776,0.5233843537414966
pooled_necessity,0.0001,necessity_signal,overall,all,0.6,3506,0.351968054763263,0.648031945236737,0.334615094340776,0.5246598639455783
pooled_necessity,0.0001,necessity_signal,overall,all,0.8,4675,0.27358288770053474,0.7264171122994653,0.40060090124191783,0.5437925170068028
pooled_necessity,0.0001,necessity_signal,overall,all,1.0,5843,0.24011637857265103,0.759883621427349,0.45899060878029807,0.5965136054421769
rho_zero_stratified,0.0001,rho_zero,K,13,0.1,104,0.9807692307692307,0.019230769230769273,0.0007676346937616908,0.6538461538461539
