row_type,feature,direction,n,n_true,n_false,identity_AUROC,true_median,false_median,trust_quintile,fraction_truth_identity_1,fraction_truth_identity_0,mass_weighted_false_fraction,coverage,identity_precision
distribution,rho_zero,higher,944,784.0,160.0,0.7919802295918368,1.4738260075755167e-06,0.0,,,,,,
quintile,rho_zero,higher,189,,,,,,1.0,0.9894179894179894,0.010582010582010581,0.006633325567880213,,
quintile,rho_zero,higher,189,,,,,,2.0,0.9047619047619048,0.09523809523809523,0.2426594706935875,,
quintile,rho_zero,higher,189,,,,,,3.0,0.9417989417989417,0.05820105820105825,0.2714112615267874,,
quintile,rho_zero,higher,189,,,,,,4.0,0.5714285714285714,0.4285714285714286,0.8467149794294246,,
quintile,rho_zero,higher,188,,,,,,5.0,0.7446808510638298,0.25531914893617025,0.7822374088222384,,
risk_coverage,rho_zero,higher,48,,,,,,,,,0.0,0.05,1.0
risk_coverage,rho_zero,higher,95,,,,,,,,,0.0,0.1,1.0
risk_coverage,rho_zero,higher,189,,,,,,,,,0.006633325567880213,0.2,0.9894179894179894
risk_coverage,rho_zero,higher,378,,,,,,,,,0.06039758527608842,0.4,0.9470899470899471
risk_coverage,rho_zero,higher,567,,,,,,,,,0.0790997060599974,0.6,0.9453262786596119
risk_coverage,rho_zero,higher,756,,,,,,,,,0.24194595002453279,0.8,0.8518518518518519
risk_coverage,rho_zero,higher,944,,,,,,,,,0.3053856358637348,1.0,0.8305084745762712
distribution,necessity_signal,higher,944,784.0,160.0,0.7994658801020408,1.4738260075755167e-06,0.0,,,,,,
quintile,necessity_signal,higher,189,,,,,,1.0,0.9894179894179894,0.010582010582010581,0.006633325567880213,,
quintile,necessity_signal,higher,189,,,,,,2.0,0.9047619047619048,0.09523809523809523,0.2426594706935875,,
quintile,necessity_signal,higher,189,,,,,,3.0,0.9417989417989417,0.05820105820105825,0.2714112615267874,,
quintile,necessity_signal,higher,189,,,,,,4.0,0.5767195767195767,0.42328042328042326,0.8020373097488191,,
quintile,necessity_signal,higher,188,,,,,,5.0,0.7393617021276596,0.2606382978723404,0.8545511036458244,,
distribution,profile_relative_width,lower,944,784.0,160.0,0.8594308035714285,6.9976433259435975,45717817819.47505,,,,,,
quintile,profile_relative_width,lower,189,,,,,,1.0,0.9841269841269841,0.015873015873015928,0.008726232296307809,,
quintile,profile_relative_width,lower,189,,,,,,2.0,0.9788359788359788,0.021164021164021163,0.12913585785747933,,
quintile,profile_relative_width,lower,189,,,,,,3.0,0.8994708994708994,0.10052910052910058,0.4352767817572931,,
quintile,profile_relative_width,lower,189,,,,,,4.0,0.8201058201058201,0.17989417989417988,0.6429945336017842,,
quintile,profile_relative_width,lower,188,,,,,,5.0,0.46808510638297873,0.5319148936170213,0.8674591576089875,,
risk_coverage,profile_relative_width,lower,48,,,,,,,,,0.0,0.05,1.0
risk_coverage,profile_relative_width,lower,95,,,,,,,,,0.003526237348529776,0.1,0.9894736842105263
risk_coverage,profile_relative_width,lower,189,,,,,,,,,0.008726232296307809,0.2,0.9841269841269841
risk_coverage,profile_relative_width,lower,378,,,,,,,,,0.03327927247531217,0.4,0.9814814814814815
risk_coverage,profile_relative_width,lower,567,,,,,,,,,0.06968359324530493,0.6,0.9541446208112875
risk_coverage,profile_relative_width,lower,756,,,,,,,,,0.12643487695047606,0.8,0.9206349206349206
risk_coverage,profile_relative_width,lower,944,,,,,,,,,0.30538563586373485,1.0,0.8305084745762712
distribution,global_fragment_cone_residual,higher,944,784.0,160.0,0.44693478954081634,0.11600045834967526,0.1325727812301216,,,,,,
quintile,global_fragment_cone_residual,higher,189,,,,,,1.0,0.8306878306878307,0.1693121693121693,0.2940570338656477,,
quintile,global_fragment_cone_residual,higher,189,,,,,,2.0,0.7883597883597884,0.21164021164021163,0.3948000246656079,,
quintile,global_fragment_cone_residual,higher,189,,,,,,3.0,0.8095238095238095,0.19047619047619047,0.4425286302171516,,
quintile,global_fragment_cone_residual,higher,189,,,,,,4.0,0.8518518518518519,0.14814814814814814,0.306476086359358,,
quintile,global_fragment_cone_residual,higher,188,,,,,,5.0,0.8723404255319149,0.12765957446808507,0.17442366371495457,,
