row_type,case_id,K,residual_ratio,selection_mode,total_false_mass,within_group_false_mass,outside_group_false_mass,within_group_false_mass_fraction,outside_group_false_mass_fraction,member_median_error,group_total_median_error,n_cases
case,0.0,13.0,0.0,random,0.8802716609675969,0.0,0.8802716609675969,0.0,1.0,0.8189665041155869,,
case,3.0,13.0,0.0,hard_competition,0.4441833646924323,0.160900720977224,0.2832826437152083,0.3622394122945985,0.6377605877054014,0.5241518931999829,0.06407276236977442,
case,6.0,13.0,0.1,random,0.6429838565683794,0.0373290894785895,0.6056547670897899,0.058056029085731264,0.9419439709142687,0.6448575538683037,0.3488733539641111,
case,9.0,13.0,0.1,hard_competition,0.6572055038784477,0.4341136814237025,0.22309182245474518,0.6605448050294984,0.3394551949705016,0.3459153271577372,0.1025589197811283,
case,12.0,25.0,0.0,random,0.9325097269912048,0.0511016703094352,0.8814080566817696,0.054800147205238944,0.945199852794761,0.8015781995573777,0.15830490412967022,
case,15.0,25.0,0.0,hard_competition,0.6903460887551753,0.0927747283130882,0.5975713604420871,0.13438872157641768,0.8656112784235823,0.5181907614757927,0.19289730424991575,
case,18.0,25.0,0.1,random,0.9762605290993303,0.12394322567917303,0.8523173034201572,0.12695712054805644,0.8730428794519436,0.7426427655107333,0.6826400753168267,
case,21.0,25.0,0.1,hard_competition,0.6495807642255005,0.17272564037898497,0.4768551238465155,0.2659032562100679,0.7340967437899321,0.6137241729431199,0.08324584639786935,
case,24.0,55.0,0.0,random,0.8762210896678106,0.19444761658087312,0.6817734730869376,0.22191615663415645,0.7780838433658436,0.9999578539520477,0.08107703643703848,
case,27.0,55.0,0.0,hard_competition,0.6495828943920935,0.0,0.6495828943920935,0.0,1.0,1.0,0.3152676952162502,
case,30.0,55.0,0.1,random,0.7998344883589372,0.0627706967383168,0.7370637916206204,0.07847960753368707,0.9215203924663129,0.9720451369238369,3.18259453537459,
case,33.0,55.0,0.1,hard_competition,0.30945098471180454,0.0,0.30945098471180454,0.0,1.0,0.6142369303199517,0.2546052870514999,
case,36.0,103.0,0.0,random,1.0614529129416004,0.0381057391641657,1.0233471737774347,0.03589960392926278,0.9641003960707372,1.0,0.6763358075864262,
case,39.0,103.0,0.0,hard_competition,0.9855472707185939,0.0,0.9855472707185939,0.0,1.0,1.0,0.43949564708133343,
case,42.0,103.0,0.1,random,0.744911247421497,0.09059733993302624,0.6543139074884707,0.12162165660221677,0.8783783433977833,1.0,45.1390533203495,
case,45.0,103.0,0.1,hard_competition,0.7462417494573773,0.0,0.7462417494573773,0.0,1.0,1.0,0.04409079627686883,
overall,,,,,12.046584132847784,1.4588101489765792,10.587773983871202,0.12109741092487768,0.8789025890751221,0.8102723518364823,0.2546052870514999,16.0
