case_id,K,residual_ratio,selection_mode,replicate,n_false_total,n_false_mass90,false_mass90_coverage,total_false_mass
0,13,0.0,random,0,112,54,0.9023471952048462,0.880271660967597
1,13,0.0,random,1,56,29,0.9071119796523603,0.6187057308779884
2,13,0.0,random,2,89,40,0.9019302195656423,0.6127444681824232
3,13,0.0,hard_competition,0,55,21,0.9024814269118633,0.4441833646924323
4,13,0.0,hard_competition,1,43,19,0.9115343620163313,0.7406097693346945
5,13,0.0,hard_competition,2,65,30,0.9026894080850015,0.8649595881688548
6,13,0.1,random,0,122,39,0.9046969365439557,0.6429838565683795
7,13,0.1,random,1,143,47,0.9010143719634154,0.814810794252592
8,13,0.1,random,2,132,51,0.9016904929683992,0.880473118043002
9,13,0.1,hard_competition,0,142,31,0.9001831413364664,0.6572055038784475
10,13,0.1,hard_competition,1,100,23,0.90711273635305,0.4996324371073277
11,13,0.1,hard_competition,2,121,26,0.9016474523342927,0.8101546059128788
12,25,0.0,random,0,116,61,0.9028444944950887,0.9325097269912048
13,25,0.0,random,1,100,46,0.9012837191810175,1.0690611319787378
14,25,0.0,random,2,148,66,0.902008566185375,1.2549344476814135
15,25,0.0,hard_competition,0,44,23,0.9096784522790713,0.6903460887551754
16,25,0.0,hard_competition,1,42,20,0.9072865753013419,0.5191191250023599
17,25,0.0,hard_competition,2,45,21,0.9071386727899428,0.7817463141545865
18,25,0.1,random,0,196,59,0.9007604620250635,0.9762605290993301
19,25,0.1,random,1,120,44,0.902280409735601,1.105037803078743
20,25,0.1,random,2,171,58,0.9039249590871016,1.0123927924124407
21,25,0.1,hard_competition,0,95,27,0.9115745803418926,0.6495807642255007
22,25,0.1,hard_competition,1,100,19,0.9123024804540598,0.4324724565220551
23,25,0.1,hard_competition,2,101,21,0.9031026207210403,0.4633851312687997
24,55,0.0,random,0,110,48,0.9027770389238345,0.8762210896678108
25,55,0.0,random,1,140,71,0.9010993008537674,1.1652887194795702
26,55,0.0,random,2,192,97,0.9012665833471003,1.1152638753839073
27,55,0.0,hard_competition,0,73,28,0.907698052349423,0.6495828943920935
28,55,0.0,hard_competition,1,106,43,0.9017837298906285,0.7282220644528881
29,55,0.0,hard_competition,2,86,43,0.9005789581362579,0.7021151664230235
30,55,0.1,random,0,150,49,0.9023173947168229,0.7998344883589372
31,55,0.1,random,1,238,102,0.9016334120003734,1.5358372580529085
32,55,0.1,random,2,168,58,0.9025692923951081,0.6842668638594456
33,55,0.1,hard_competition,0,117,31,0.9013509971871094,0.30945098471180454
34,55,0.1,hard_competition,1,122,49,0.9018308281825763,0.7773257981845154
35,55,0.1,hard_competition,2,97,30,0.9006795473691674,0.711557753782859
36,103,0.0,random,0,92,37,0.9036501329610674,1.0614529129416002
37,103,0.0,random,1,80,35,0.9040504953219421,0.6800129868688567
38,103,0.0,random,2,153,84,0.9006249119292615,0.7986831063487682
39,103,0.0,hard_competition,0,101,38,0.9061341950820043,0.9855472707185939
40,103,0.0,hard_competition,1,88,43,0.9032361691422748,0.39788737521302725
41,103,0.0,hard_competition,2,71,37,0.9024310940752956,0.7277378309518066
42,103,0.1,random,0,173,49,0.9031826513578494,0.744911247421497
43,103,0.1,random,1,115,36,0.9066900844389367,0.7408012156501436
44,103,0.1,random,2,179,46,0.9010728907677878,1.1345067943121836
45,103,0.1,hard_competition,0,142,39,0.9040577720969579,0.7462417494573773
46,103,0.1,hard_competition,1,160,51,0.9012292518146873,0.5651569090033888
47,103,0.1,hard_competition,2,174,66,0.903762347374988,0.35191303812040764
