row_type,feature,direction,stratum_type,stratum_value,n,n_true,n_false,identity_AUROC,true_p25,true_median,true_p75,false_p25,false_median,false_p75,interpretation,coverage,identity_precision,mass_weighted_false_fraction
distribution,rho_zero,higher,overall,all,4437,2352.0,2085.0,0.8161072162678021,1.0200653690975489e-09,1.4119409026520889e-06,0.0001023236597822,0.0,0.0,2.7963510495924127e-35,,,,
risk_coverage,rho_zero,higher,overall,all,222,,,,,,,,,,,0.05,1.0,0.0
risk_coverage,rho_zero,higher,overall,all,444,,,,,,,,,,,0.1,0.9977477477477478,0.0001722584984904024
risk_coverage,rho_zero,higher,overall,all,888,,,,,,,,,,,0.2,0.9234234234234234,0.04424814250201308
risk_coverage,rho_zero,higher,overall,all,1775,,,,,,,,,,,0.4,0.8259154929577465,0.12228659457514962
risk_coverage,rho_zero,higher,overall,all,2663,,,,,,,,,,,0.6,0.7164851671047691,0.24538561534089173
risk_coverage,rho_zero,higher,overall,all,3550,,,,,,,,,,,0.8,0.5515492957746478,0.3891170653234732
risk_coverage,rho_zero,higher,overall,all,4437,,,,,,,,,,,1.0,0.5300878972278567,0.433969210338712
risk_coverage,rho_zero,higher,K,13,57,,,,,,,,,,,0.1,1.0,0.0
risk_coverage,rho_zero,higher,K,13,114,,,,,,,,,,,0.2,0.9912280701754386,0.0005480898265112784
risk_coverage,rho_zero,higher,K,25,77,,,,,,,,,,,0.1,1.0,0.0
risk_coverage,rho_zero,higher,K,25,153,,,,,,,,,,,0.2,0.9738562091503268,0.01297870427996246
risk_coverage,rho_zero,higher,K,55,131,,,,,,,,,,,0.1,1.0,0.0
risk_coverage,rho_zero,higher,K,55,262,,,,,,,,,,,0.2,0.916030534351145,0.043090482063157735
risk_coverage,rho_zero,higher,K,103,180,,,,,,,,,,,0.1,0.9555555555555556,0.023020178379195438
risk_coverage,rho_zero,higher,K,103,360,,,,,,,,,,,0.2,0.8944444444444445,0.06484483265777048
risk_coverage,rho_zero,higher,residual_ratio,0.0,221,,,,,,,,,,,0.1,1.0,0.0
risk_coverage,rho_zero,higher,residual_ratio,0.0,442,,,,,,,,,,,0.2,1.0,0.0
risk_coverage,rho_zero,higher,residual_ratio,0.1,223,,,,,,,,,,,0.1,1.0,0.0
risk_coverage,rho_zero,higher,residual_ratio,0.1,446,,,,,,,,,,,0.2,0.9080717488789237,0.05336986809407895
risk_coverage,rho_zero,higher,selection_mode,hard_competition,196,,,,,,,,,,,0.1,1.0,0.0
risk_coverage,rho_zero,higher,selection_mode,hard_competition,391,,,,,,,,,,,0.2,0.9437340153452686,0.02600574160467854
risk_coverage,rho_zero,higher,selection_mode,random,249,,,,,,,,,,,0.1,0.9959839357429718,0.000390871616244384
risk_coverage,rho_zero,higher,selection_mode,random,497,,,,,,,,,,,0.2,0.9094567404426559,0.05368403054599464
distribution,necessity_signal,higher,overall,all,4437,2352.0,2085.0,0.8224480619585964,1.0200653690975489e-09,1.4119409026520889e-06,0.0001023236597822,0.0,0.0,2.7963510495924127e-35,,,,
risk_coverage,necessity_signal,higher,overall,all,222,,,,,,,,,,,0.05,1.0,0.0
risk_coverage,necessity_signal,higher,overall,all,444,,,,,,,,,,,0.1,0.9977477477477478,0.0001722584984904024
risk_coverage,necessity_signal,higher,overall,all,888,,,,,,,,,,,0.2,0.9234234234234234,0.04424814250201308
risk_coverage,necessity_signal,higher,overall,all,1775,,,,,,,,,,,0.4,0.8259154929577465,0.12228659457514962
risk_coverage,necessity_signal,higher,overall,all,2663,,,,,,,,,,,0.6,0.7164851671047691,0.24524512936826423
risk_coverage,necessity_signal,higher,overall,all,3550,,,,,,,,,,,0.8,0.5605633802816902,0.37242655702874816
risk_coverage,necessity_signal,higher,overall,all,4437,,,,,,,,,,,1.0,0.5300878972278567,0.433969210338712
risk_coverage,necessity_signal,higher,K,13,57,,,,,,,,,,,0.1,1.0,0.0
risk_coverage,necessity_signal,higher,K,13,114,,,,,,,,,,,0.2,0.9912280701754386,0.0005480898265112784
risk_coverage,necessity_signal,higher,K,25,77,,,,,,,,,,,0.1,1.0,0.0
risk_coverage,necessity_signal,higher,K,25,153,,,,,,,,,,,0.2,0.9738562091503268,0.01297870427996246
risk_coverage,necessity_signal,higher,K,55,131,,,,,,,,,,,0.1,1.0,0.0
risk_coverage,necessity_signal,higher,K,55,262,,,,,,,,,,,0.2,0.916030534351145,0.043090482063157735
risk_coverage,necessity_signal,higher,K,103,180,,,,,,,,,,,0.1,0.9555555555555556,0.023020178379195438
risk_coverage,necessity_signal,higher,K,103,360,,,,,,,,,,,0.2,0.8944444444444445,0.06484483265777048
risk_coverage,necessity_signal,higher,residual_ratio,0.0,221,,,,,,,,,,,0.1,1.0,0.0
risk_coverage,necessity_signal,higher,residual_ratio,0.0,442,,,,,,,,,,,0.2,1.0,0.0
risk_coverage,necessity_signal,higher,residual_ratio,0.1,223,,,,,,,,,,,0.1,1.0,0.0
risk_coverage,necessity_signal,higher,residual_ratio,0.1,446,,,,,,,,,,,0.2,0.9080717488789237,0.05336986809407895
risk_coverage,necessity_signal,higher,selection_mode,hard_competition,196,,,,,,,,,,,0.1,1.0,0.0
risk_coverage,necessity_signal,higher,selection_mode,hard_competition,391,,,,,,,,,,,0.2,0.9437340153452686,0.02600574160467854
risk_coverage,necessity_signal,higher,selection_mode,random,249,,,,,,,,,,,0.1,0.9959839357429718,0.000390871616244384
risk_coverage,necessity_signal,higher,selection_mode,random,497,,,,,,,,,,,0.2,0.9094567404426559,0.05368403054599464
distribution,profile_relative_width,lower,overall,all,4437,2352.0,2085.0,0.8535426760632311,2.08308900664043,7.061333382294782,86.11272879068733,22867514365.26884,35692229328.0108,61823282169.23031,contains a near-zero-reference denominator effect,,,
risk_coverage,profile_relative_width,lower,overall,all,222,,,,,,,,,,,0.05,1.0,0.0
risk_coverage,profile_relative_width,lower,overall,all,444,,,,,,,,,,,0.1,0.9977477477477478,0.0010012541085252084
risk_coverage,profile_relative_width,lower,overall,all,888,,,,,,,,,,,0.2,0.9695945945945946,0.016459646271451925
risk_coverage,profile_relative_width,lower,overall,all,1775,,,,,,,,,,,0.4,0.8687323943661972,0.09880511722884319
risk_coverage,profile_relative_width,lower,overall,all,2663,,,,,,,,,,,0.6,0.7446488922268119,0.1851561004553805
risk_coverage,profile_relative_width,lower,overall,all,3550,,,,,,,,,,,0.8,0.6177464788732394,0.30565533479035856
risk_coverage,profile_relative_width,lower,overall,all,4437,,,,,,,,,,,1.0,0.5300878972278567,0.433969210338712
risk_coverage,profile_relative_width,lower,K,13,57,,,,,,,,,,,0.1,1.0,0.0
risk_coverage,profile_relative_width,lower,K,13,114,,,,,,,,,,,0.2,0.9912280701754386,0.0032097460172169304
risk_coverage,profile_relative_width,lower,K,25,77,,,,,,,,,,,0.1,1.0,0.0
risk_coverage,profile_relative_width,lower,K,25,153,,,,,,,,,,,0.2,0.9934640522875817,0.002875235661402119
risk_coverage,profile_relative_width,lower,K,55,131,,,,,,,,,,,0.1,1.0,0.0
risk_coverage,profile_relative_width,lower,K,55,262,,,,,,,,,,,0.2,0.9732824427480916,0.026296014316979897
risk_coverage,profile_relative_width,lower,K,103,180,,,,,,,,,,,0.1,0.9944444444444445,0.006025836985848167
risk_coverage,profile_relative_width,lower,K,103,360,,,,,,,,,,,0.2,0.95,0.04224561884791864
risk_coverage,profile_relative_width,lower,residual_ratio,0.0,221,,,,,,,,,,,0.1,1.0,0.0
risk_coverage,profile_relative_width,lower,residual_ratio,0.0,442,,,,,,,,,,,0.2,1.0,0.0
risk_coverage,profile_relative_width,lower,residual_ratio,0.1,223,,,,,,,,,,,0.1,0.9955156950672646,0.0018204310399707302
risk_coverage,profile_relative_width,lower,residual_ratio,0.1,446,,,,,,,,,,,0.2,0.9304932735426009,0.04013980812312155
risk_coverage,profile_relative_width,lower,selection_mode,hard_competition,196,,,,,,,,,,,0.1,0.9948979591836735,0.0018099130413357484
risk_coverage,profile_relative_width,lower,selection_mode,hard_competition,391,,,,,,,,,,,0.2,0.9769820971867008,0.00743103262971802
risk_coverage,profile_relative_width,lower,selection_mode,random,249,,,,,,,,,,,0.1,1.0,0.0
risk_coverage,profile_relative_width,lower,selection_mode,random,497,,,,,,,,,,,0.2,0.9496981891348089,0.04299107589850036
distribution,global_fragment_cone_residual,higher,overall,all,4437,2352.0,2085.0,0.4658343733176724,0.0684947957174295,0.1153992550447703,0.1791891068253745,0.0803038698392309,0.123012819141498,0.1727730586100139,,,,
risk_coverage,global_fragment_cone_residual,higher,overall,all,222,,,,,,,,,,,0.05,0.5135135135135135,0.4423014966943957
risk_coverage,global_fragment_cone_residual,higher,overall,all,444,,,,,,,,,,,0.1,0.5945945945945946,0.3257825577313374
risk_coverage,global_fragment_cone_residual,higher,overall,all,888,,,,,,,,,,,0.2,0.5472972972972973,0.39596860833753444
risk_coverage,global_fragment_cone_residual,higher,overall,all,1775,,,,,,,,,,,0.4,0.5138028169014085,0.4483240437582271
risk_coverage,global_fragment_cone_residual,higher,overall,all,2663,,,,,,,,,,,0.6,0.5122042808862185,0.47568897031372587
risk_coverage,global_fragment_cone_residual,higher,overall,all,3550,,,,,,,,,,,0.8,0.5059154929577465,0.48357283536000634
risk_coverage,global_fragment_cone_residual,higher,overall,all,4437,,,,,,,,,,,1.0,0.5300878972278567,0.433969210338712
risk_coverage,global_fragment_cone_residual,higher,K,13,57,,,,,,,,,,,0.1,0.38596491228070173,0.28931189232760146
risk_coverage,global_fragment_cone_residual,higher,K,13,114,,,,,,,,,,,0.2,0.3157894736842105,0.32999942787632336
risk_coverage,global_fragment_cone_residual,higher,K,25,77,,,,,,,,,,,0.1,0.37662337662337664,0.4669847221518538
risk_coverage,global_fragment_cone_residual,higher,K,25,153,,,,,,,,,,,0.2,0.39215686274509803,0.4576350724941342
risk_coverage,global_fragment_cone_residual,higher,K,55,131,,,,,,,,,,,0.1,0.549618320610687,0.3208063502087707
risk_coverage,global_fragment_cone_residual,higher,K,55,262,,,,,,,,,,,0.2,0.5458015267175572,0.3682584162444374
risk_coverage,global_fragment_cone_residual,higher,K,103,180,,,,,,,,,,,0.1,0.75,0.2802253540907948
risk_coverage,global_fragment_cone_residual,higher,K,103,360,,,,,,,,,,,0.2,0.6972222222222222,0.36750166693378494
risk_coverage,global_fragment_cone_residual,higher,residual_ratio,0.0,221,,,,,,,,,,,0.1,0.5656108597285068,0.3710839962107388
risk_coverage,global_fragment_cone_residual,higher,residual_ratio,0.0,442,,,,,,,,,,,0.2,0.5475113122171946,0.4278983201397607
risk_coverage,global_fragment_cone_residual,higher,residual_ratio,0.1,223,,,,,,,,,,,0.1,0.600896860986547,0.29131876845902527
risk_coverage,global_fragment_cone_residual,higher,residual_ratio,0.1,446,,,,,,,,,,,0.2,0.5493273542600897,0.3650070508822965
risk_coverage,global_fragment_cone_residual,higher,selection_mode,hard_competition,196,,,,,,,,,,,0.1,0.6683673469387755,0.23043882982805444
risk_coverage,global_fragment_cone_residual,higher,selection_mode,hard_competition,391,,,,,,,,,,,0.2,0.6368286445012787,0.2734362785585058
risk_coverage,global_fragment_cone_residual,higher,selection_mode,random,249,,,,,,,,,,,0.1,0.5341365461847389,0.38714593888245713
risk_coverage,global_fragment_cone_residual,higher,selection_mode,random,497,,,,,,,,,,,0.2,0.5010060362173038,0.44001977398426334
