row_type,case_id,K,residual_ratio,selection_mode,selected_false_mass,within_group_false_mass,outside_group_false_mass,within_group_false_mass_fraction,outside_group_false_mass_fraction,n_cases,old_top10_within_group_fraction,old_top10_outside_group_fraction
case,0.0,13.0,0.0,random,0.7943106642924225,0.0,0.7943106642924225,0.0,1.0,,,
case,1.0,13.0,0.0,random,0.5612353803589926,0.0787147283554075,0.48252065200358507,0.14025261255813534,0.8597473874418646,,,
case,2.0,13.0,0.0,random,0.5526527527254057,0.0233156085014343,0.5293371442239714,0.04218853228623839,0.9578114677137616,,,
case,3.0,13.0,0.0,hard_competition,0.40086723677813885,0.1541668502613899,0.24670038651674894,0.38458331366879456,0.6154166863312055,,,
case,4.0,13.0,0.0,hard_competition,0.675091253593563,0.31994635146111194,0.3551449021324511,0.47393052384846157,0.5260694761515384,,,
case,5.0,13.0,0.0,hard_competition,0.7807898586615902,0.44358054641634165,0.3372093122452486,0.5681177099004794,0.43188229009952056,,,
case,6.0,13.0,0.1,random,0.5817055252846312,0.0362481446936726,0.5454573805909586,0.0623135643690787,0.9376864356309214,,,
case,7.0,13.0,0.1,random,0.7341562360525108,0.11675793817266791,0.6173982978798429,0.1590369085475108,0.8409630914524893,,,
case,8.0,13.0,0.1,random,0.793914239853618,0.1463103406131265,0.6476038992404914,0.18428985558957,0.81571014441043,,,
case,9.0,13.0,0.1,hard_competition,0.5916053149849161,0.43163809366524153,0.15996722131967456,0.7296048272930862,0.2703951727069139,,,
case,10.0,13.0,0.1,hard_competition,0.4532229471951712,0.15720568690448972,0.2960172602906815,0.3468617109468473,0.6531382890531526,,,
case,11.0,13.0,0.1,hard_competition,0.73047383641824,0.483495017047971,0.24697881937026905,0.6618923128290404,0.3381076871709596,,,
case,12.0,25.0,0.0,random,0.8419112730771275,0.0479786377400157,0.7939326353371119,0.05698776020026088,0.9430122397997391,,,
case,13.0,25.0,0.0,random,0.9635273930616653,0.3109865225851532,0.6525408704765121,0.3227583614379401,0.6772416385620598,,,
case,14.0,25.0,0.0,random,1.1319616218097472,0.0259654037654399,1.1059962180443073,0.022938413516111235,0.9770615864838886,,,
case,15.0,25.0,0.0,hard_competition,0.6279929615557184,0.0927747283130882,0.5352182332426302,0.14773211483653995,0.8522678851634601,,,
case,16.0,25.0,0.0,hard_competition,0.47098981309682036,0.0620084712281822,0.40898134186863816,0.13165565263602685,0.8683443473639731,,,
case,17.0,25.0,0.0,hard_competition,0.7091523138806213,0.1134857414290307,0.5956665724515906,0.16003013627356633,0.8399698637264337,,,
case,18.0,25.0,0.1,random,0.8793768852483456,0.11581728048622578,0.7635596047621198,0.13170380348753166,0.8682961965124684,,,
case,19.0,25.0,0.1,random,0.9970539617352167,0.1443725638091563,0.8526813979260603,0.14479914763880825,0.8552008523611917,,,
case,20.0,25.0,0.1,random,0.915127113461492,0.1052246568724508,0.8099024565890411,0.1149836512595893,0.8850163487404107,,,
case,21.0,25.0,0.1,hard_competition,0.5921413125470267,0.1727248318493364,0.41941648069769033,0.2916952899408094,0.7083047100591906,,,
case,22.0,25.0,0.1,hard_competition,0.39454569481313145,0.0949300653301177,0.29961562948301373,0.24060600984400402,0.759393990155996,,,
case,23.0,25.0,0.1,hard_competition,0.4184843264520163,0.1577131012454627,0.2607712252065536,0.376867402854922,0.6231325971450781,,,
case,24.0,55.0,0.0,random,0.7910322807729219,0.1850692303851243,0.6059630503877975,0.2339591378044549,0.766040862195545,,,
case,25.0,55.0,0.0,random,1.0500408504158227,0.08340047113597349,0.9666403792798492,0.07942593005114647,0.9205740699488535,,,
case,26.0,55.0,0.0,random,1.0051500624977003,0.11790367309004009,0.8872463894076602,0.11729957295835101,0.882700427041649,,,
case,27.0,55.0,0.0,hard_competition,0.5896251280792042,0.0,0.5896251280792042,0.0,1.0,,,
case,28.0,55.0,0.0,hard_competition,0.656698809470979,0.0,0.656698809470979,0.0,1.0,,,
case,29.0,55.0,0.0,hard_competition,0.6323101450689118,0.0,0.6323101450689118,0.0,1.0,,,
case,30.0,55.0,0.1,random,0.7217045717406992,0.058263292070478,0.6634412796702213,0.08073011361137862,0.9192698863886214,,,
case,31.0,55.0,0.1,random,1.3847621872555418,0.2189827149268232,1.1657794723287185,0.15813741662084574,0.8418625833791542,,,
case,32.0,55.0,0.1,random,0.6175982591230396,0.1351788884494449,0.48241937067359464,0.21887835085771218,0.7811216491422878,,,
case,33.0,55.0,0.1,hard_competition,0.278923953650518,0.0,0.278923953650518,0.0,1.0,,,
case,34.0,55.0,0.1,hard_competition,0.7010163683444237,0.0,0.7010163683444237,0.0,1.0,,,
case,35.0,55.0,0.1,hard_competition,0.640885515604167,0.0,0.640885515604167,0.0,1.0,,,
case,36.0,103.0,0.0,random,0.9591820659115893,0.026960358489304604,0.9322217074222847,0.028107654894153976,0.9718923451058461,,,
case,37.0,103.0,0.0,random,0.6147660776041433,0.1332650007680056,0.48150107683613763,0.21677351048282278,0.7832264895171772,,,
case,38.0,103.0,0.0,random,0.7193139023147483,0.0353636280633507,0.6839502742513976,0.049162998170271324,0.9508370018297286,,,
case,39.0,103.0,0.0,hard_competition,0.8930380828678594,0.0,0.8930380828678594,0.0,1.0,,,
case,40.0,103.0,0.0,hard_competition,0.3593862685374896,0.0,0.3593862685374896,0.0,1.0,,,
case,41.0,103.0,0.0,hard_competition,0.6567332469858214,0.0,0.6567332469858214,0.0,1.0,,,
case,42.0,103.0,0.1,random,0.6727909154724305,0.08850841037929048,0.5842825050931401,0.1315541104135455,0.8684458895864545,,,
case,43.0,103.0,0.1,random,0.6716771167702956,0.0517101688310502,0.6199669479392454,0.0769866466192779,0.9230133533807221,,,
case,44.0,103.0,0.1,random,1.0222733167465754,0.35377403721213313,0.6684992795344422,0.3460659995880874,0.6539340004119125,,,
case,45.0,103.0,0.1,hard_competition,0.6746456534601728,0.0,0.6746456534601728,0.0,1.0,,,
case,46.0,103.0,0.1,hard_competition,0.5093359382590253,0.0,0.5093359382590253,0.0,1.0,,,
case,47.0,103.0,0.1,hard_competition,0.3180457534035632,0.0,0.3180457534035632,0.0,1.0,,,
overall,,,,,33.73322638729577,5.323741184547533,28.40948520274824,0.15781891490084388,0.8421810850991561,48.0,0.12109741092487768,0.8789025890751221
