row_type,K,n_cases,n_active,median_relative_error,p25_relative_error,p75_relative_error,fraction_error_gt20,fraction_error_gt50,false_allocation_mass_median,reconstruction_residual_median,residual_ratio,selection_mode,certificate_completed_cases
solver_K,13.0,12,156.0,0.5512341350515859,0.26989143852017605,0.8242797955198082,0.8205128205128205,0.5705128205128205,0.4477408308002785,0.2593453675508499,,,
solver_K,25.0,12,300.0,0.7132657332750596,0.34621796768913193,0.9999712521867543,0.8533333333333334,0.6766666666666666,0.48481007852005764,0.23799504339694977,,,
solver_K,55.0,12,660.0,0.9708477804375235,0.5735554076671561,1.0,0.9045454545454545,0.7878787878787878,0.43197034226999065,0.23085599392652512,,,
solver_K,103.0,12,1236.0,1.0,0.8489658164831579,1.0,0.9571197411003236,0.8729773462783171,0.4403883504424546,0.2290135994553566,,,
solver_residual,,24,1176.0,1.0,0.6277439560989544,1.0,0.9209183673469388,0.8069727891156463,0.46667304446883984,0.2332588881254196,0.0,,
solver_residual,,24,1176.0,0.990457665670456,0.6019696648149293,1.0,0.91921768707483,0.8010204081632653,0.41695344775011756,0.23830533027648926,0.1,,
solver_selection,,24,1176.0,1.0,0.5681920128810878,1.0,0.9098639455782312,0.782312925170068,0.37285602261743267,0.23657406121492386,,hard_competition,
solver_selection,,24,1176.0,0.9979338708678549,0.6639644143390382,1.0,0.9302721088435374,0.8256802721088435,0.5450745886955854,0.23672754317522043,,random,
scenario_coverage,13.0,3,,,,,,,,,0.0,hard_competition,3.0
scenario_coverage,13.0,3,,,,,,,,,0.0,random,3.0
scenario_coverage,13.0,3,,,,,,,,,0.1,hard_competition,3.0
scenario_coverage,13.0,3,,,,,,,,,0.1,random,3.0
scenario_coverage,25.0,3,,,,,,,,,0.0,hard_competition,3.0
scenario_coverage,25.0,3,,,,,,,,,0.0,random,3.0
scenario_coverage,25.0,3,,,,,,,,,0.1,hard_competition,3.0
scenario_coverage,25.0,3,,,,,,,,,0.1,random,3.0
scenario_coverage,55.0,3,,,,,,,,,0.0,hard_competition,3.0
scenario_coverage,55.0,3,,,,,,,,,0.0,random,3.0
scenario_coverage,55.0,3,,,,,,,,,0.1,hard_competition,3.0
scenario_coverage,55.0,3,,,,,,,,,0.1,random,3.0
scenario_coverage,103.0,3,,,,,,,,,0.0,hard_competition,0.0
scenario_coverage,103.0,3,,,,,,,,,0.0,random,3.0
scenario_coverage,103.0,3,,,,,,,,,0.1,hard_competition,0.0
scenario_coverage,103.0,3,,,,,,,,,0.1,random,0.0
