candidate_index,candidate_id,lipid_name,X_hat,X_hat_foreground_mean,molecular_truth,candidate_truth,same_lipid_alternative_candidate,rho_zero
1,PA-H__0076,PA 16:0_24:1,0.0024860550245289965,0.0024860550245289965,True,True,False,2.849674656622e-07
2,PA-H__0079,PA 16:0_24:4,0.010294482106263131,0.010294482106263131,True,True,False,4.313074773808447e-06
6,PA-H__0118,PA 18:0_22:1,0.021290820114906177,0.021290820114906177,True,True,False,4.654071620643304e-05
7,PA-H__0119,PA 18:0_22:2,0.0016461283935293607,0.0016461283935293607,False,False,False,1.226303417240409e-15
8,PA-H__0120,PA 18:0_22:3,0.0051135869786732005,0.0051135869786732005,False,False,False,7.763714507978093e-16
9,PA-H__0121,PA 18:0_22:4,0.025033649057582985,0.025033649057582985,True,True,False,7.42099298214198e-06
10,PA-H__0122,PA 18:0_22:5,0.016295668218999405,0.016295668218999405,True,True,False,1.2827974970645724e-05
13,PA-H__0128,PA 18:0_24:4,0.0015131269618476502,0.0015131269618476502,False,False,False,5.592629849458311e-16
14,PA-H__0129,PA 18:0_24:5,0.0011758657681120335,0.0011758657681120335,True,True,False,5.898900793444232e-08
15,PA-H__0130,PA 18:0_24:6,0.0038719430649448265,0.0038719430649448265,True,True,False,4.943756432345841e-07
16,PA-H__0140,PA 22:0_18:1,0.011599649514470296,0.011599649514470296,False,False,False,6.739444695068357e-16
18,PA-H__0142,PA 18:1_22:2,0.06865247954228462,0.06865247954228462,True,True,False,0.0009810649248321718
23,PA-H__0151,PA 18:1_24:4,0.0014534440300403952,0.0014534440300403952,True,True,False,2.734471608041817e-07
24,PA-H__0152,PA 18:1_24:5,0.004374526784038004,0.004374526784038004,True,True,False,4.531539447292232e-07
32,PA-H__0173,PA 18:2_24:4,0.0010769958720250243,0.0010769958720250243,False,False,False,0.0
35,PA-H__0197,PA 20:0_20:0,0.0011045567715613992,0.0011045567715613992,True,True,False,5.488260388781787e-07
36,PA-H__0198,PA 20:0_20:1,0.0019101644690261359,0.0019101644690261359,False,False,False,4.18730446991567e-16
38,PA-H__0200,PA 20:0_20:3,0.004155794194141189,0.004155794194141189,True,True,False,1.8109810516930165e-07
40,PA-H__0202,PA 20:0_20:5,0.0014331234113439807,0.0014331234113439807,True,True,False,1.1071322963973995e-07
50,PA-H__0220,PA 20:1_20:4,0.0013955316790022574,0.0013955316790022574,False,False,False,0.0
57,PA-H__0228,PA 20:1_22:6,0.003574105072164142,0.003574105072164142,True,True,False,7.73688751517562e-07
59,PA-H__0237,PA 20:2_20:3,0.0018207421989277835,0.0018207421989277835,False,False,False,1.8886207796441365e-16
60,PA-H__0241,PA 22:1_20:2,0.011141141409917014,0.011141141409917014,False,False,False,5.606479545294633e-24
62,PA-H__0246,PA 20:2_22:6,0.07573776161037347,0.07573776161037347,True,True,False,0.001576425977926672
63,PA-H__0257,PA 22:0_20:3,0.017010577482944732,0.017010577482944732,True,True,False,6.792593142036831e-05
67,PA-H__0263,PA 20:3_22:6,0.002900397947544029,0.002900397947544029,False,False,False,9.473988848455898e-19
74,PA-H__0279,PA 20:4_22:6,0.03582544191507507,0.03582544191507507,True,True,False,0.0004709100386399922
81,PA-H__0371,PA 22:6_22:6,0.0021775061217536354,0.0021775061217536354,False,False,False,6.030171939676753e-15
94,PS-H__0064,PS 16:0_20:2,0.006314072986911118,0.006314072986911118,True,True,False,9.846705012533547e-06
95,PS-H__0065,PS 16:0_20:3,0.016120056663755787,0.016120056663755787,True,True,False,4.9783544684845175e-05
96,PS-H__0066,PS 16:0_20:4,0.08074451237775811,0.08074451237775811,True,True,False,0.0012872291153754071
101,PS-H__0088,PS 16:1_20:1,0.0010363416525512334,0.0010363416525512334,False,False,False,0.0
102,PS-H__0089,PS 16:1_20:2,0.009039904826820454,0.009039904826820454,False,False,False,3.2525065901256175e-25
103,PS-H__0090,PS 16:1_20:3,0.04549972510818009,0.04549972510818009,True,True,False,0.0008014325434466117
105,PS-H__0107,PS 18:0_18:0,0.004318318049195692,0.004318318049195692,True,True,False,2.1241503877629684e-06
107,PS-H__0109,PS 18:0_18:2,0.0023412270303095313,0.0023412270303095313,True,True,False,1.786735641666348e-07
109,PS-H__0131,PS 18:1_18:1,0.004915197847975764,0.004915197847975764,False,False,False,1.4432244288202416e-26
118,PE-H__0071,PE 16:0_22:3,0.0016120308981693965,0.0016120308981693965,False,False,False,1.3766475375929916e-15
127,PE-H__0095,PE 16:1_22:2,0.0010796476145771778,0.0010796476145771778,False,False,False,1.0177580321828892e-16
131,PE-H__0099,PE 16:1_22:6,0.0011609806890185313,0.0011609806890185313,False,False,False,1.08895774041124e-15
135,PE-H__0114,PE 18:0_20:3,0.0035259221031950314,0.0035259221031950314,False,False,False,8.096532251679951e-16
136,PE-H__0115,PE 18:0_20:4,0.002794151474029567,0.002794151474029567,False,False,False,0.0
141,PE-H__0123,PE 18:0_22:6,0.0022960107382558317,0.0022960107382558317,True,True,False,5.323746993821853e-07
150,PE-H__0144,PE 18:1_22:4,0.0012213261501959301,0.0012213261501959301,False,False,False,0.0
155,PE-H__0158,PE 18:2_20:2,0.004682473192626784,0.004682473192626784,True,True,False,1.9768748571868384e-06
158,PE-H__0161,PE 18:2_20:5,0.003701361763724442,0.003701361763724442,True,True,False,1.0465327662043383e-05
160,PE-H__0164,PE 18:2_22:2,0.0014600498001397062,0.0014600498001397062,True,True,False,4.167353732004888e-09
162,PE-H__0166,PE 18:2_22:4,0.007452808009855814,0.007452808009855814,False,False,False,1.0015105520284319e-16
165,PE-H__0177,PE 20:0_18:3,0.00266681338182934,0.00266681338182934,False,False,False,3.576162311090157e-25
177,PE-H__0236,PE 20:2_20:2,0.007897266927804182,0.007897266927804182,True,True,False,1.766655328772009e-08
181,PE-H__0254,PE 20:3_20:3,0.0011902199363432887,0.0011902199363432887,False,False,False,4.15461911045827e-26
187,PE-H__0460,PE 17:0_20:1,0.001741883808550754,0.001741883808550754,False,False,False,1.993400253531958e-24
201,PE-H__0484,PE 17:1_20:3,0.0013121121635665763,0.0013121121635665763,False,False,False,3.3058348712902096e-16
213,PEO-H__0077,PE O-16:0_22:6,0.009733325366370163,0.009733325366370163,True,True,False,1.9012330427674107e-05
216,PEO-H__0101,PE O-16:1_22:2,0.0015452160860361835,0.0015452160860361835,False,False,False,0.0
217,PEO-H__0102,PE O-16:1_22:3,0.006374022167834682,0.006374022167834682,False,False,False,9.794767897649733e-18
218,PEO-H__0103,PE O-16:1_22:4,0.042802569160130054,0.042802569160130054,True,True,False,7.528771920981192e-05
222,PEO-H__0110,PE O-16:1_24:4,0.0024814259411232637,0.0024814259411232637,False,False,False,5.013240729098185e-16
224,PEO-H__0112,PE O-16:1_24:6,0.0011104441717825451,0.0011104441717825451,False,False,False,0.0
243,PEO-H__0158,PE O-18:1_22:3,0.003191127927562223,0.003191127927562223,True,True,False,3.566335132387388e-08
259,PEO-H__0208,PE O-18:3_20:3,0.0012689664045483916,0.0012689664045483916,False,False,False,4.6861510561866215e-17
260,PEO-H__0211,PE O-18:3_22:0,0.0032875438503533337,0.0032875438503533337,True,True,False,2.4478406782836125e-06
277,PG-H__0044,PG 14:0_20:0,0.03656422408753536,0.03656422408753536,True,True,False,0.0002539897969916991
278,PG-H__0045,PG 16:0_18:0,0.0025005740362818787,0.0025005740362818787,False,False,False,6.955716269230166e-16
281,PG-H__0053,PG 16:1_20:4,0.001220551216892742,0.001220551216892742,False,False,False,3.7458661954438045e-19
282,PG-H__0054,PG 18:2_18:3,0.0012905852573506524,0.0012905852573506524,False,False,False,0.0
290,PG-H__0064,PG 16:1_20:2,0.004159904410408442,0.004159904410408442,False,False,False,2.466030261065346e-15
293,PG-H__0068,PG 14:0_22:2,0.006694471429339863,0.006694471429339863,False,False,False,4.650427328893213e-17
294,PG-H__0069,PG 16:0_20:2,0.020580265945599852,0.020580265945599852,True,True,False,3.736768480715151e-07
