mapping_slot,template_original_candidate_index,template_original_candidate_id_provenance_only,template_original_lipid_name_discarded,template_foreground_mean,truth_selection_position,synthetic_truth_candidate_index,synthetic_truth_candidate_id,synthetic_truth_lipid_name,synthetic_truth_lipid_class,difficulty_stratum,geometry_design_score_only,cone_isolation,max_parent_cosine,max_fragment_cosine,max_full_cosine
0,47,PA-H__0217,PA 20:1_20:1,0.0012204861544833515,11,318,PG-H__0099,PG 14:0_24:4,PG,Q2_moderate_low_competition,0.5156649616368287,0.2364766144017557,0.9999999999999998,0.9336814199983869,0.7637798863769096
1,84,PS-H__0042,PS 14:0_22:0,0.004943039691070102,28,332,PG-H__0463,PG 17:0_20:4,PG,Q2_moderate_low_competition,0.5137468030690537,0.333380957182523,0.9999999999999994,0.9887826418894832,0.7722623353641875
2,85,PS-H__0043,PS 14:0_22:1,0.007469897935364135,45,314,PG-H__0095,PG 18:0_20:5,PG,Q2_moderate_low_competition,0.5115089514066495,0.3912132251385195,0.9999999999999999,0.9850297730134422,0.6681402735052041
3,86,PS-H__0044,PS 14:0_22:2,0.0035910531830547748,62,105,PS-H__0107,PS 18:0_18:0,PS,Q2_moderate_low_competition,0.4360613810741688,0.4331045541325963,1.0,0.7822407069839156,0.7805572307978421
4,90,PS-H__0059,PS 16:0_18:1,0.018849844165172713,3,295,PG-H__0070,PG 16:1_20:1,PG,Q4_highest_competition,0.8443094629156009,0.09626468926765062,1.0,0.9360510343034749,0.9917278076514663
5,94,PS-H__0064,PS 16:0_20:2,0.003465598543634408,20,129,PE-H__0097,PE 16:1_22:4,PE,Q4_highest_competition,0.8935421994884911,0.11707440620301834,1.0,0.9872300880237134,0.9606032362588356
6,101,PS-H__0088,PS 16:1_20:1,0.003767493836187643,37,243,PEO-H__0158,PE O-18:1_22:3,PE,Q4_highest_competition,0.8932225063938619,0.13284776908049512,1.0,0.9842916841755988,0.984242653129889
7,106,PS-H__0108,PS 18:0_18:1,0.07104063590718107,54,218,PEO-H__0103,PE O-16:1_22:4,PE,Q4_highest_competition,0.8791560102301791,0.12973055438059183,1.0,0.9809547878114457,0.9808689663219521
8,107,PS-H__0109,PS 18:0_18:2,0.004019268843843552,71,288,PG-H__0062,PG 14:0_22:3,PG,Q4_highest_competition,0.7285805626598465,0.08672432217020402,0.9999999999999997,0.9402021823761977,0.9838117810560387
9,109,PS-H__0131,PS 18:1_18:1,0.07337007264323502,12,96,PS-H__0066,PS 16:0_20:4,PS,Q2_moderate_low_competition,0.5083120204603581,0.28261631942641324,1.0,0.543623575220217,0.9003462122557829
10,119,PE-H__0072,PE 16:0_22:4,0.02052518620541731,29,95,PS-H__0065,PS 16:0_20:3,PS,Q2_moderate_low_competition,0.4804987212276215,0.31718607034211305,1.0,0.6379581944357362,0.8388893290291434
11,121,PE-H__0074,PE 16:0_22:6,0.056662870395508505,46,103,PS-H__0090,PS 16:1_20:3,PS,Q2_moderate_low_competition,0.4603580562659847,0.34984059386853866,1.0,0.5074650921831881,0.8789619070758706
12,133,PE-H__0112,PE 18:0_20:1,0.002910685452931968,63,1,PA-H__0076,PA 16:0_24:1,PA,Q1_lowest_competition,0.3375959079283887,0.5504804076642431,0.9999999999999999,0.883487638633687,0.6654546118919494
13,136,PE-H__0115,PE 18:0_20:4,0.10008111490599345,4,62,PA-H__0246,PA 20:2_22:6,PA,Q3_moderate_high_competition,0.6633631713554987,0.2611282723143124,1.0,0.9505388151236878,0.8852934172669955
14,137,PE-H__0116,PE 18:0_20:5,0.0011026387225491967,21,289,PG-H__0063,PG 16:0_20:3,PG,Q4_highest_competition,0.8388746803069054,0.08072333624957098,1.0,0.945604719735853,0.9733932857889159
15,139,PE-H__0121,PE 18:0_22:4,0.0224243672740242,38,294,PG-H__0069,PG 16:0_20:2,PG,Q4_highest_competition,0.8203324808184143,0.06404391649487126,1.0,0.9219327136957365,0.9793705984567973
16,141,PE-H__0123,PE 18:0_22:6,0.2430186358557401,55,299,PG-H__0075,PG 16:0_20:1,PG,Q4_highest_competition,0.7874040920716112,0.10277086760820646,1.0,0.9061811884274051,0.9631691173504493
17,143,PE-H__0135,PE 18:1_20:1,0.004431943002525114,72,24,PA-H__0152,PA 18:1_24:5,PA,Q3_moderate_high_competition,0.5617007672634271,0.2403872498285696,1.0,0.8248123478924629,0.8214327614182942
18,145,PE-H__0137,PE 18:1_20:3,0.003302428208099872,13,38,PA-H__0200,PA 20:0_20:3,PA,Q1_lowest_competition,0.34175191815856776,0.28594755195446475,0.9999999999999994,0.8048190171061798,0.7203920412647556
19,146,PE-H__0138,PE 18:1_20:4,0.02906358388086082,30,63,PA-H__0257,PA 22:0_20:3,PA,Q1_lowest_competition,0.3407928388746803,0.4070101497165706,1.0,0.700138513759436,0.6042594435163927
20,152,PE-H__0146,PE 18:1_22:6,0.042849456658358986,47,74,PA-H__0279,PA 20:4_22:6,PA,Q1_lowest_competition,0.33951406649616367,0.27117341147389906,0.9878215570202153,0.8204180243532724,0.7982095721390224
21,154,PE-H__0157,PE 20:1_18:2,0.001110697252484861,64,388,PC+Cl__0657,PC 17:0_17:0,PC,Q1_lowest_competition,0.30338874680306904,0.3349749352720744,0.9999998208026367,0.807407271036795,0.7788483732494292
22,164,PE-H__0168,PE 18:2_22:6,0.00235098424323507,5,367,PC+Cl__0167,PC 14:0_18:0,PC,Q3_moderate_high_competition,0.5735294117647058,0.06684283090386553,0.9999999999999988,0.9037536858220203,0.9037530307776178
23,166,PE-H__0178,PE 20:1_18:3,0.0022194340215394427,22,14,PA-H__0129,PA 18:0_24:5,PA,Q3_moderate_high_competition,0.6445012787723785,0.1609179673339711,0.9999999999999998,0.923167578011941,0.919680283971754
24,171,PE-H__0201,PE 20:0_20:4,0.014489468912776554,39,2,PA-H__0079,PA 16:0_24:4,PA,Q3_moderate_high_competition,0.5869565217391304,0.2223063465458067,0.9999999999999998,0.9171280506076233,0.9158818256178151
25,175,PE-H__0220,PE 20:1_20:4,0.02055197359367885,56,9,PA-H__0121,PA 18:0_22:4,PA,Q3_moderate_high_competition,0.5805626598465473,0.18925162859522815,0.9999999999999999,0.8691673191165914,0.8645836840369737
26,179,PE-H__0238,PE 20:2_20:4,0.0030435813548569195,73,200,PE-H__0483,PE 17:1_20:2,PE,Q3_moderate_high_competition,0.6550511508951407,0.18976008058885643,0.9999999999999988,0.9965803996234099,0.9135491254421633
27,182,PE-H__0255,PE 20:3_20:4,0.012733364138250759,14,350,PCO+HCOO__0083,PC O-16:1_18:0,PC,Q1_lowest_competition,0.33024296675191817,0.578408761742055,0.9999999999999998,0.8511856151913196,0.7773785184240168
28,197,PE-H__0471,PE 17:0_22:6,0.0011542058237190786,31,378,PC+Cl__0231,PC 14:1_20:1,PC,Q1_lowest_competition,0.3164961636828645,0.4158486366407816,0.9999999999999999,0.6900215947371616,0.6898906281562027
29,211,PEO-H__0075,PE O-16:0_22:4,0.0017796236226615485,48,372,PC+Cl__0178,PC 14:0_20:2,PC,Q1_lowest_competition,0.30754475703324813,0.3254331442131747,0.9999999999999999,0.6041425983942957,0.6039971767841417
30,212,PEO-H__0076,PE O-16:0_22:5,0.004328126221311399,65,260,PEO-H__0211,PE O-18:3_22:0,PE,Q1_lowest_competition,0.32672634271099743,0.6471690508908507,0.9999999999999994,0.9909569381714911,0.4799427523048661
31,215,PEO-H__0100,PE O-16:1_22:1,0.0015122085889088548,6,204,PE-H__0490,PE 17:1_22:3,PE,Q3_moderate_high_competition,0.6643222506393862,0.10570325194754038,0.9999999999999987,0.9599558000648393,0.9599528994369606
32,216,PEO-H__0101,PE O-16:1_22:2,0.0011527609331009674,23,236,PEO-H__0150,PE O-18:1_20:1,PE,Q3_moderate_high_competition,0.6614450127877238,0.39089349908072424,1.0,0.9853143544809311,0.8646103224644689
33,218,PEO-H__0103,PE O-16:1_22:4,0.006355509415755673,40,144,PE-H__0136,PE 18:1_20:2,PE,Q3_moderate_high_competition,0.6611253196930946,0.23433578314102768,1.0,0.9251187567839819,0.8989316145711029
34,220,PEO-H__0106,PE O-16:1_24:0,0.0011994730470494266,57,160,PE-H__0164,PE 18:2_22:2,PE,Q3_moderate_high_competition,0.6579283887468031,0.1271355008514916,0.9999999999999999,0.9008257061441529,0.9005744438179483
