dataset_id,split,replicate,complexity_condition,global_truth_K,candidate_index,candidate_id,lipid_name,X_hat,candidate_truth,molecular_truth,same_lipid_alternative_candidate,rho_zero
CAL_R2_HIGH129,CAL,R2,HIGH129,129,0,PA-H__0075,PA 16:0_24:0,0.0011193570088571202,False,False,False,3.5847618172289226e-22
CAL_R2_HIGH129,CAL,R2,HIGH129,129,2,PA-H__0079,PA 16:0_24:4,0.001450612648147272,False,False,False,0.0
CAL_R2_HIGH129,CAL,R2,HIGH129,129,5,PA-H__0117,PA 18:0_22:0,0.023604260880722462,True,True,False,8.577861811319065e-05
CAL_R2_HIGH129,CAL,R2,HIGH129,129,9,PA-H__0121,PA 18:0_22:4,0.0016802581728200638,False,False,False,0.0
CAL_R2_HIGH129,CAL,R2,HIGH129,129,17,PA-H__0141,PA 18:1_22:1,0.0034210604253783468,False,False,False,0.0
CAL_R2_HIGH129,CAL,R2,HIGH129,129,19,PA-H__0143,PA 18:1_22:3,0.004617806396115736,True,True,False,5.347891154842818e-07
CAL_R2_HIGH129,CAL,R2,HIGH129,129,23,PA-H__0151,PA 18:1_24:4,0.0014549662177466489,True,True,False,1.3937003073799478e-07
CAL_R2_HIGH129,CAL,R2,HIGH129,129,25,PA-H__0153,PA 18:1_24:6,0.003927083241674946,False,False,False,0.0
CAL_R2_HIGH129,CAL,R2,HIGH129,129,32,PA-H__0173,PA 18:2_24:4,0.004081675231284792,False,False,False,2.187334373608149e-28
CAL_R2_HIGH129,CAL,R2,HIGH129,129,33,PA-H__0174,PA 18:2_24:5,0.002002193348360093,False,False,False,0.0
CAL_R2_HIGH129,CAL,R2,HIGH129,129,35,PA-H__0197,PA 20:0_20:0,0.006880807633537012,True,True,False,2.1719337650391538e-07
CAL_R2_HIGH129,CAL,R2,HIGH129,129,36,PA-H__0198,PA 20:0_20:1,0.003078754397790541,True,True,False,6.829469738280443e-08
CAL_R2_HIGH129,CAL,R2,HIGH129,129,37,PA-H__0199,PA 20:0_20:2,0.0017050176925614536,True,True,False,1.1055633504279024e-07
CAL_R2_HIGH129,CAL,R2,HIGH129,129,41,PA-H__0204,PA 20:0_22:1,0.0016856056155335555,False,False,False,2.1997449198146282e-29
CAL_R2_HIGH129,CAL,R2,HIGH129,129,43,PA-H__0206,PA 20:0_22:3,0.002157574779568557,False,False,False,7.620857164600565e-21
CAL_R2_HIGH129,CAL,R2,HIGH129,129,44,PA-H__0207,PA 20:0_22:4,0.008137652563981333,True,True,False,3.15212338640154e-06
CAL_R2_HIGH129,CAL,R2,HIGH129,129,45,PA-H__0208,PA 20:0_22:5,0.004770700869416545,False,False,False,2.837493822015298e-28
CAL_R2_HIGH129,CAL,R2,HIGH129,129,46,PA-H__0209,PA 20:0_22:6,0.004601271156173216,False,False,False,0.0
CAL_R2_HIGH129,CAL,R2,HIGH129,129,49,PA-H__0219,PA 20:1_20:3,0.003453061805111727,True,True,False,3.082495072154382e-07
CAL_R2_HIGH129,CAL,R2,HIGH129,129,51,PA-H__0222,PA 22:0_20:1,0.002018712091167927,False,False,False,7.46916008845673e-23
CAL_R2_HIGH129,CAL,R2,HIGH129,129,54,PA-H__0225,PA 20:1_22:3,0.0010748672136265238,False,False,False,0.0
