dataset_id,split,replicate,complexity_condition,global_truth_K,candidate_index,candidate_id,lipid_name,X_hat,candidate_truth,molecular_truth,same_lipid_alternative_candidate,rho_zero
HOLD_R1_BASE76,HOLD,R1,BASE76,76,1,PA-H__0076,PA 16:0_24:1,0.004677480727879276,True,True,False,5.643897116841425e-07
HOLD_R1_BASE76,HOLD,R1,BASE76,76,8,PA-H__0120,PA 18:0_22:3,0.0021611694399417828,True,True,False,1.9095966700195135e-07
HOLD_R1_BASE76,HOLD,R1,BASE76,76,10,PA-H__0122,PA 18:0_22:5,0.0030405045786479445,False,False,False,0.0
HOLD_R1_BASE76,HOLD,R1,BASE76,76,14,PA-H__0129,PA 18:0_24:5,0.0015581721107558583,False,False,False,3.2141988743304896e-28
HOLD_R1_BASE76,HOLD,R1,BASE76,76,15,PA-H__0130,PA 18:0_24:6,0.0016577141887004676,True,True,False,2.3036988285545155e-08
HOLD_R1_BASE76,HOLD,R1,BASE76,76,20,PA-H__0144,PA 18:1_22:4,0.0012112681129336981,True,True,False,5.421749844640584e-07
HOLD_R1_BASE76,HOLD,R1,BASE76,76,23,PA-H__0151,PA 18:1_24:4,0.0020596224569206303,False,False,False,0.0
HOLD_R1_BASE76,HOLD,R1,BASE76,76,24,PA-H__0152,PA 18:1_24:5,0.001417368492004021,True,True,False,4.5755354120238656e-07
HOLD_R1_BASE76,HOLD,R1,BASE76,76,25,PA-H__0153,PA 18:1_24:6,0.0013240449960782873,False,False,False,7.4894987581288715e-22
HOLD_R1_BASE76,HOLD,R1,BASE76,76,38,PA-H__0200,PA 20:0_20:3,0.0019035479408030108,True,True,False,1.4554330315971432e-08
HOLD_R1_BASE76,HOLD,R1,BASE76,76,43,PA-H__0206,PA 20:0_22:3,0.03793969184754865,True,True,False,0.00032467971184627894
HOLD_R1_BASE76,HOLD,R1,BASE76,76,45,PA-H__0208,PA 20:0_22:5,0.013573667370104542,False,False,False,3.9978205027704985e-22
HOLD_R1_BASE76,HOLD,R1,BASE76,76,46,PA-H__0209,PA 20:0_22:6,0.012740199781182508,False,False,False,0.0
HOLD_R1_BASE76,HOLD,R1,BASE76,76,48,PA-H__0218,PA 20:1_20:2,0.0013326204566416412,False,False,False,4.955696663994536e-24
HOLD_R1_BASE76,HOLD,R1,BASE76,76,50,PA-H__0220,PA 20:1_20:4,0.0028194422495298036,True,True,False,1.891698942809415e-07
HOLD_R1_BASE76,HOLD,R1,BASE76,76,59,PA-H__0237,PA 20:2_20:3,0.001304221879650877,False,False,False,0.0
HOLD_R1_BASE76,HOLD,R1,BASE76,76,60,PA-H__0241,PA 22:1_20:2,0.009458275128070508,False,False,False,4.697168437168053e-28
HOLD_R1_BASE76,HOLD,R1,BASE76,76,61,PA-H__0244,PA 20:2_22:4,0.013148953728704183,True,True,False,2.409301575265553e-05
HOLD_R1_BASE76,HOLD,R1,BASE76,76,62,PA-H__0246,PA 20:2_22:6,0.041183408762405393,True,True,False,0.00047473848609313
