base_subset_order,selected_pair_order,matched_pair_id,pair_ambiguity_score,rank_feature_distance,matched_within_lipid_class,cal_candidate_index,cal_candidate_id,cal_lipid_name,cal_lipid_class,hold_candidate_index,hold_candidate_id,hold_lipid_name,hold_lipid_class
0,0,0,0.03423913043478262,0.1524163441563061,True,351,PCO+HCOO__0084,PC O-16:1_18:1,PC,352,PCO+HCOO__0085,PC O-16:1_18:2,PC
1,1,1,0.06168478260869566,0.3255089986821599,True,375,PC+Cl__0219,PC 14:1_17:1,PC,362,PCO+CH3COO__0453,PC O-16:0_17:0,PC
2,3,4,0.1533967391304348,0.12717420336273072,True,336,PG-H__0479,PG 17:1_18:2,PG,328,PG-H__0459,PG 17:0_20:0,PG
3,5,7,0.18641304347826088,0.16007257038068629,True,374,PC+Cl__0180,PC 14:0_20:4,PC,365,PCO+CH3COO__0476,PC O-16:1_17:1,PC
4,6,8,0.19307065217391306,0.23543102515167738,True,221,PEO-H__0107,PE O-16:1_24:1,PE,220,PEO-H__0106,PE O-16:1_24:0,PE
5,8,11,0.21970108695652174,0.16007833657979773,True,97,PS-H__0067,PS 16:0_20:5,PS,115,PS-H__0477,PS 18:0_17:1,PS
6,10,14,0.23478260869565218,0.05677332178200051,True,98,PS-H__0083,PS 18:0_16:1,PS,106,PS-H__0108,PS 18:0_18:1,PS
7,11,15,0.24361413043478264,0.058360683681832955,True,84,PS-H__0042,PS 14:0_22:0,PS,85,PS-H__0043,PS 14:0_22:1,PS
8,13,18,0.26154891304347827,0.22448102956001684,True,387,PC+Cl__0444,PC 16:1_18:2,PC,376,PC+Cl__0793,PC 18:0_14:1,PC
9,15,21,0.29470108695652175,0.018279380498741466,True,389,PC+Cl__0658,PC 17:0_17:1,PC,385,PC+Cl__0797,PC 18:0_16:1,PC
10,17,24,0.3088315217391305,0.12956144444827578,True,92,PS-H__0062,PS 16:0_20:0,PS,111,PS-H__0133,PS 18:1_18:3,PS
11,18,25,0.31277173913043477,0.13410539456916706,True,110,PS-H__0132,PS 18:1_18:2,PS,100,PS-H__0087,PS 20:0_16:1,PS
12,20,28,0.3300271739130435,0.6550900045847176,True,384,PC+Cl__0435,PC 16:1_16:1,PC,372,PC+Cl__0178,PC 14:0_20:2,PC
13,22,31,0.34850543478260865,0.1968983936801858,True,71,PA-H__0276,PA 22:3_20:4,PA,1,PA-H__0076,PA 16:0_24:1,PA
14,23,32,0.3510869565217391,0.07321844339841022,True,101,PS-H__0088,PS 16:1_20:1,PS,102,PS-H__0089,PS 16:1_20:2,PS
15,25,35,0.35706521739130437,0.11838598321082587,True,383,PC+Cl__0392,PC 16:0_18:2,PC,390,PC+Cl__0706,PC 17:1_17:1,PC
16,27,38,0.38315217391304346,0.19022709602572885,True,124,PE-H__0081,PE 16:0_24:6,PE,258,PEO-H__0189,PE O-18:2_22:6,PE
17,29,41,0.3857336956521739,0.2622704967112762,True,166,PE-H__0178,PE 20:1_18:3,PE,213,PEO-H__0077,PE O-16:0_22:6,PE
18,30,42,0.3896739130434782,0.22120466545037706,True,93,PS-H__0063,PS 16:0_20:1,PS,107,PS-H__0109,PS 18:0_18:2,PS
19,32,45,0.3974184782608696,0.08823156573399031,True,333,PG-H__0464,PG 17:0_20:5,PG,341,PG-H__0485,PG 17:1_20:4,PG
20,34,48,0.40720108695652174,0.09892386765906187,True,235,PEO-H__0133,PE O-18:0_22:6,PE,159,PE-H__0163,PE 22:1_18:2,PE
21,35,50,0.41032608695652173,0.12122123925649711,True,5,PA-H__0117,PA 18:0_22:0,PA,61,PA-H__0244,PA 20:2_22:4,PA
22,37,52,0.41874999999999996,0.2079292710467529,True,197,PE-H__0471,PE 17:0_22:6,PE,141,PE-H__0123,PE 18:0_22:6,PE
23,39,55,0.43396739130434786,0.1677755330481862,True,55,PA-H__0226,PA 20:1_22:4,PA,38,PA-H__0200,PA 20:0_20:3,PA
24,40,57,0.4407608695652174,0.09499216463558989,True,164,PE-H__0168,PE 18:2_22:6,PE,207,PE-H__0493,PE 17:1_22:6,PE
