selected_pair_order,matched_pair_id,pair_ambiguity_score,rank_feature_distance,matched_within_lipid_class,cal_candidate_index,cal_candidate_id,cal_lipid_name,cal_lipid_class,hold_candidate_index,hold_candidate_id,hold_lipid_name,hold_lipid_class
0,0,0.03423913043478262,0.1524163441563061,True,351,PCO+HCOO__0084,PC O-16:1_18:1,PC,352,PCO+HCOO__0085,PC O-16:1_18:2,PC
1,1,0.06168478260869566,0.3255089986821599,True,375,PC+Cl__0219,PC 14:1_17:1,PC,362,PCO+CH3COO__0453,PC O-16:0_17:0,PC
2,2,0.12853260869565214,0.07426983896041547,True,91,PS-H__0060,PS 16:0_18:2,PS,113,PS-H__0456,PS 17:0_18:1,PS
3,4,0.1533967391304348,0.12717420336273072,True,336,PG-H__0479,PG 17:1_18:2,PG,328,PG-H__0459,PG 17:0_20:0,PG
4,5,0.17146739130434785,0.28795373909729566,True,81,PA-H__0371,PA 22:6_22:6,PA,0,PA-H__0075,PA 16:0_24:0,PA
5,7,0.18641304347826088,0.16007257038068629,True,374,PC+Cl__0180,PC 14:0_20:4,PC,365,PCO+CH3COO__0476,PC O-16:1_17:1,PC
6,8,0.19307065217391306,0.23543102515167738,True,221,PEO-H__0107,PE O-16:1_24:1,PE,220,PEO-H__0106,PE O-16:1_24:0,PE
7,10,0.19999999999999998,0.9102956678889094,True,88,PS-H__0046,PS 14:0_22:4,PS,114,PS-H__0457,PS 17:0_18:2,PS
8,11,0.21970108695652174,0.16007833657979773,True,97,PS-H__0067,PS 16:0_20:5,PS,115,PS-H__0477,PS 18:0_17:1,PS
9,12,0.2237771739130435,0.08984872618133392,True,381,PC+Cl__0390,PC 16:0_18:0,PC,370,PC+Cl__0176,PC 14:0_20:0,PC
10,14,0.23478260869565218,0.05677332178200051,True,98,PS-H__0083,PS 18:0_16:1,PS,106,PS-H__0108,PS 18:0_18:1,PS
11,15,0.24361413043478264,0.058360683681832955,True,84,PS-H__0042,PS 14:0_22:0,PS,85,PS-H__0043,PS 14:0_22:1,PS
12,17,0.26032608695652176,0.131800481660628,True,89,PS-H__0058,PS 16:0_18:0,PS,108,PS-H__0110,PS 18:0_18:3,PS
13,18,0.26154891304347827,0.22448102956001684,True,387,PC+Cl__0444,PC 16:1_18:2,PC,376,PC+Cl__0793,PC 18:0_14:1,PC
14,20,0.28682065217391306,0.21589584131205772,True,329,PG-H__0460,PG 17:0_20:1,PG,335,PG-H__0478,PG 17:1_18:1,PG
15,21,0.29470108695652175,0.018279380498741466,True,389,PC+Cl__0658,PC 17:0_17:1,PC,385,PC+Cl__0797,PC 18:0_16:1,PC
16,22,0.297554347826087,0.04481636549584414,True,371,PC+Cl__0177,PC 14:0_20:1,PC,382,PC+Cl__0391,PC 16:0_18:1,PC
17,24,0.3088315217391305,0.12956144444827578,True,92,PS-H__0062,PS 16:0_20:0,PS,111,PS-H__0133,PS 18:1_18:3,PS
18,25,0.31277173913043477,0.13410539456916706,True,110,PS-H__0132,PS 18:1_18:2,PS,100,PS-H__0087,PS 20:0_16:1,PS
19,27,0.32785326086956523,0.8783428835334611,False,350,PCO+HCOO__0083,PC O-16:1_18:0,PC,260,PEO-H__0211,PE O-18:3_22:0,PE
20,28,0.3300271739130435,0.6550900045847176,True,384,PC+Cl__0435,PC 16:1_16:1,PC,372,PC+Cl__0178,PC 14:0_20:2,PC
21,30,0.33165760869565214,0.35775000924703987,True,90,PS-H__0059,PS 16:0_18:1,PS,94,PS-H__0064,PS 16:0_20:2,PS
22,31,0.34850543478260865,0.1968983936801858,True,71,PA-H__0276,PA 22:3_20:4,PA,1,PA-H__0076,PA 16:0_24:1,PA
23,32,0.3510869565217391,0.07321844339841022,True,101,PS-H__0088,PS 16:1_20:1,PS,102,PS-H__0089,PS 16:1_20:2,PS
24,34,0.3558423913043478,0.13103490791988512,True,66,PA-H__0261,PA 20:3_22:4,PA,21,PA-H__0147,PA 24:0_18:1,PA
25,35,0.35706521739130437,0.11838598321082587,True,383,PC+Cl__0392,PC 16:0_18:2,PC,390,PC+Cl__0706,PC 17:1_17:1,PC
26,37,0.37894021739130435,0.33127942409531336,True,48,PA-H__0218,PA 20:1_20:2,PA,64,PA-H__0258,PA 22:1_20:3,PA
27,38,0.38315217391304346,0.19022709602572885,True,124,PE-H__0081,PE 16:0_24:6,PE,258,PEO-H__0189,PE O-18:2_22:6,PE
28,40,0.3845108695652174,0.2169152396029903,True,69,PA-H__0274,PA 22:1_20:4,PA,59,PA-H__0237,PA 20:2_20:3,PA
29,41,0.3857336956521739,0.2622704967112762,True,166,PE-H__0178,PE 20:1_18:3,PE,213,PEO-H__0077,PE O-16:0_22:6,PE
30,42,0.3896739130434782,0.22120466545037706,True,93,PS-H__0063,PS 16:0_20:1,PS,107,PS-H__0109,PS 18:0_18:2,PS
31,44,0.39660326086956527,0.40138592383577326,True,186,PE-H__0459,PE 17:0_20:0,PE,264,PEO-H__0217,PE O-18:3_22:6,PE
