member_a_index,member_a_lipid_name,member_a_class,member_b_index,member_b_lipid_name,member_b_class,rank_feature_distance,matched_within_lipid_class,pair_ambiguity_score,matched_pair_id,selected_for_high129,selected_for_base76
351,PC O-16:1_18:1,PC,352,PC O-16:1_18:2,PC,0.1524163441563061,True,0.03423913043478262,0,True,True
362,PC O-16:0_17:0,PC,375,PC 14:1_17:1,PC,0.3255089986821599,True,0.06168478260869566,1,True,True
91,PS 16:0_18:2,PS,113,PS 17:0_18:1,PS,0.07426983896041547,True,0.12853260869565214,2,True,False
82,PS 14:0_20:0,PS,83,PS 14:0_20:1,PS,0.1721794969861965,True,0.14959239130434782,3,False,False
328,PG 17:0_20:0,PG,336,PG 17:1_18:2,PG,0.12717420336273072,True,0.1533967391304348,4,True,True
0,PA 16:0_24:0,PA,81,PA 22:6_22:6,PA,0.28795373909729566,True,0.17146739130434785,5,True,False
99,PS 16:1_18:1,PS,104,PS 16:1_20:4,PS,0.2574683448617715,True,0.18192934782608694,6,False,False
365,PC O-16:1_17:1,PC,374,PC 14:0_20:4,PC,0.16007257038068629,True,0.18641304347826088,7,True,True
220,PE O-16:1_24:0,PE,221,PE O-16:1_24:1,PE,0.23543102515167738,True,0.19307065217391306,8,True,True
369,PC 14:0_18:2,PC,377,PC 20:0_14:1,PC,0.1435916979930044,True,0.19986413043478263,9,False,False
88,PS 14:0_22:4,PS,114,PS 17:0_18:2,PS,0.9102956678889094,True,0.19999999999999998,10,True,False
97,PS 16:0_20:5,PS,115,PS 18:0_17:1,PS,0.16007833657979773,True,0.21970108695652174,11,True,True
370,PC 14:0_20:0,PC,381,PC 16:0_18:0,PC,0.08984872618133392,True,0.2237771739130435,12,True,False
11,PA 18:0_24:0,PA,72,PA 20:4_22:4,PA,0.16399743567604216,True,0.22975543478260868,13,False,False
98,PS 18:0_16:1,PS,106,PS 18:0_18:1,PS,0.05677332178200051,True,0.23478260869565218,14,True,True
84,PS 14:0_22:0,PS,85,PS 14:0_22:1,PS,0.058360683681832955,True,0.24361413043478264,15,True,True
277,PG 14:0_20:0,PG,326,PG 17:0_18:1,PG,0.7806034659353274,True,0.24673913043478257,16,False,False
89,PS 16:0_18:0,PS,108,PS 18:0_18:3,PS,0.131800481660628,True,0.26032608695652176,17,True,False
376,PC 18:0_14:1,PC,387,PC 16:1_18:2,PC,0.22448102956001684,True,0.26154891304347827,18,True,True
325,PG 17:0_18:0,PG,334,PG 18:0_17:1,PG,0.4003428498774708,True,0.2703804347826087,19,False,False
329,PG 17:0_20:1,PG,335,PG 17:1_18:1,PG,0.21589584131205772,True,0.28682065217391306,20,True,False
385,PC 18:0_16:1,PC,389,PC 17:0_17:1,PC,0.018279380498741466,True,0.29470108695652175,21,True,True
371,PC 14:0_20:1,PC,382,PC 16:0_18:1,PC,0.04481636549584414,True,0.297554347826087,22,True,False
125,PE 22:0_16:1,PE,132,PE 18:0_20:0,PE,0.22694691696318023,True,0.30597826086956526,23,False,False
92,PS 16:0_20:0,PS,111,PS 18:1_18:3,PS,0.12956144444827578,True,0.3088315217391305,24,True,True
100,PS 20:0_16:1,PS,110,PS 18:1_18:2,PS,0.13410539456916706,True,0.31277173913043477,25,True,True
86,PS 14:0_22:2,PS,112,PS 18:2_18:2,PS,0.3000687883880132,True,0.31372282608695645,26,False,False
260,PE O-18:3_22:0,PE,350,PC O-16:1_18:0,PC,0.8783428835334611,False,0.32785326086956523,27,True,False
372,PC 14:0_20:2,PC,384,PC 16:1_16:1,PC,0.6550900045847176,True,0.3300271739130435,28,True,True
214,PE O-16:1_22:0,PE,240,PE O-18:1_20:5,PE,0.3901184096940705,True,0.33097826086956517,29,False,False
90,PS 16:0_18:1,PS,94,PS 16:0_20:2,PS,0.35775000924703987,True,0.33165760869565214,30,True,False
1,PA 16:0_24:1,PA,71,PA 22:3_20:4,PA,0.1968983936801858,True,0.34850543478260865,31,True,True
101,PS 16:1_20:1,PS,102,PS 16:1_20:2,PS,0.07321844339841022,True,0.3510869565217391,32,True,True
65,PA 20:3_22:3,PA,68,PA 22:0_20:4,PA,0.21343634057771432,True,0.35203804347826084,33,False,False
21,PA 24:0_18:1,PA,66,PA 20:3_22:4,PA,0.13103490791988512,True,0.3558423913043478,34,True,False
383,PC 16:0_18:2,PC,390,PC 17:1_17:1,PC,0.11838598321082587,True,0.35706521739130437,35,True,True
386,PC 16:1_18:1,PC,388,PC 17:0_17:0,PC,0.29159457374839554,True,0.3724184782608696,36,False,False
48,PA 20:1_20:2,PA,64,PA 22:1_20:3,PA,0.33127942409531336,True,0.37894021739130435,37,True,False
124,PE 16:0_24:6,PE,258,PE O-18:2_22:6,PE,0.19022709602572885,True,0.38315217391304346,38,True,True
229,PE O-18:0_20:5,PE,246,PE O-18:1_22:6,PE,0.34199478851781634,True,0.38410326086956526,39,False,False
59,PA 20:2_20:3,PA,69,PA 22:1_20:4,PA,0.2169152396029903,True,0.3845108695652174,40,True,False
166,PE 20:1_18:3,PE,213,PE O-16:0_22:6,PE,0.2622704967112762,True,0.3857336956521739,41,True,True
93,PS 16:0_20:1,PS,107,PS 18:0_18:2,PS,0.22120466545037706,True,0.3896739130434782,42,True,True
228,PE O-18:0_20:4,PE,234,PE O-18:0_22:5,PE,0.3830943527139044,True,0.3964673913043478,43,False,False
186,PE 17:0_20:0,PE,264,PE O-18:3_22:6,PE,0.40138592383577326,True,0.39660326086956527,44,True,False
333,PG 17:0_20:5,PG,341,PG 17:1_20:4,PG,0.08823156573399031,True,0.3974184782608696,45,True,True
12,PA 18:0_24:1,PA,77,PA 22:4_22:5,PA,0.1491535961700977,True,0.3998641304347826,46,False,False
176,PE 20:1_20:5,PE,180,PE 20:2_20:5,PE,0.22053601836655937,True,0.4070652173913043,47,True,False
159,PE 22:1_18:2,PE,235,PE O-18:0_22:6,PE,0.09892386765906187,True,0.40720108695652174,48,True,True
87,PS 14:0_22:3,PS,103,PS 16:1_20:3,PS,0.15740358655236003,True,0.4096467391304348,49,False,False
5,PA 18:0_22:0,PA,61,PA 20:2_22:4,PA,0.12122123925649711,True,0.41032608695652173,50,True,True
373,PC 14:0_20:3,PC,378,PC 14:1_20:1,PC,0.14974034315647883,True,0.41630434782608694,51,True,False
141,PE 18:0_22:6,PE,197,PE 17:0_22:6,PE,0.2079292710467529,True,0.41874999999999996,52,True,True
29,PA 18:2_22:3,PA,51,PA 22:0_20:1,PA,0.10531425203845708,True,0.4190217391304348,53,False,False
308,PG 16:0_22:6,PG,340,PG 17:1_20:3,PG,0.24619400253790366,True,0.4245923913043478,54,True,False
38,PA 20:0_20:3,PA,55,PA 20:1_22:4,PA,0.1677755330481862,True,0.43396739130434786,55,True,True
4,PA 24:0_16:1,PA,22,PA 18:1_24:1,PA,0.08393176745369833,True,0.435054347826087,56,False,False
