scope,score,threshold,n_retained,TP,FP,precision,FDR,all_truth_recall,reportable_truth_recall,coverage
POOLED,rho_zero,0.05971575661568722,1,1,0,1.0,0.0,0.0024390243902439024,0.003105590062111801,0.001976284584980237
POOLED,rho_zero,0.05809274226801307,2,2,0,1.0,0.0,0.004878048780487805,0.006211180124223602,0.003952569169960474
POOLED,rho_zero,0.010021334388667629,3,3,0,1.0,0.0,0.007317073170731708,0.009316770186335404,0.005928853754940711
POOLED,rho_zero,0.009869227206309663,4,4,0,1.0,0.0,0.00975609756097561,0.012422360248447204,0.007905138339920948
POOLED,rho_zero,0.007818445383608772,5,5,0,1.0,0.0,0.012195121951219513,0.015527950310559006,0.009881422924901186
POOLED,rho_zero,0.007574103716302297,6,6,0,1.0,0.0,0.014634146341463415,0.018633540372670808,0.011857707509881422
POOLED,rho_zero,0.0036791314737836616,7,7,0,1.0,0.0,0.01707317073170732,0.021739130434782608,0.01383399209486166
POOLED,rho_zero,0.0035838759969830073,8,8,0,1.0,0.0,0.01951219512195122,0.024844720496894408,0.015810276679841896
POOLED,rho_zero,0.0016533991898770388,9,9,0,1.0,0.0,0.02195121951219512,0.027950310559006212,0.017786561264822136
POOLED,rho_zero,0.0014748030475582668,10,10,0,1.0,0.0,0.024390243902439025,0.031055900621118012,0.019762845849802372
POOLED,rho_zero,0.0013891101366585857,11,11,0,1.0,0.0,0.026829268292682926,0.034161490683229816,0.021739130434782608
POOLED,rho_zero,0.001303127799673064,12,12,0,1.0,0.0,0.02926829268292683,0.037267080745341616,0.023715415019762844
POOLED,rho_zero,0.0012109049473836894,13,13,0,1.0,0.0,0.03170731707317073,0.040372670807453416,0.025691699604743084
POOLED,rho_zero,0.0012011823588048056,14,14,0,1.0,0.0,0.03414634146341464,0.043478260869565216,0.02766798418972332
POOLED,rho_zero,0.00117832242384916,15,15,0,1.0,0.0,0.036585365853658534,0.046583850931677016,0.029644268774703556
POOLED,rho_zero,0.0011398495543246707,16,16,0,1.0,0.0,0.03902439024390244,0.049689440993788817,0.03162055335968379
POOLED,rho_zero,0.001029216489143678,17,17,0,1.0,0.0,0.041463414634146344,0.052795031055900624,0.03359683794466403
POOLED,rho_zero,0.0009445255114859571,18,18,0,1.0,0.0,0.04390243902439024,0.055900621118012424,0.03557312252964427
POOLED,rho_zero,0.0005462481015569757,19,19,0,1.0,0.0,0.046341463414634146,0.059006211180124224,0.037549407114624504
POOLED,rho_zero,0.000523109296258578,20,20,0,1.0,0.0,0.04878048780487805,0.062111801242236024,0.039525691699604744
POOLED,rho_zero,0.0004838996511257891,21,21,0,1.0,0.0,0.05121951219512195,0.06521739130434782,0.041501976284584984
POOLED,rho_zero,0.00045951012563958906,22,22,0,1.0,0.0,0.05365853658536585,0.06832298136645963,0.043478260869565216
POOLED,rho_zero,0.00041544516684888233,23,23,0,1.0,0.0,0.05609756097560976,0.07142857142857142,0.045454545454545456
POOLED,rho_zero,0.00040983269998887546,24,24,0,1.0,0.0,0.05853658536585366,0.07453416149068323,0.04743083003952569
POOLED,rho_zero,0.00027138598732622714,25,25,0,1.0,0.0,0.06097560975609756,0.07763975155279502,0.04940711462450593
POOLED,rho_zero,0.0002511567685928988,26,26,0,1.0,0.0,0.06341463414634146,0.08074534161490683,0.05138339920948617
POOLED,rho_zero,0.0002449157383171467,27,27,0,1.0,0.0,0.06585365853658537,0.08385093167701864,0.0533596837944664
POOLED,rho_zero,0.00022529543371096637,28,28,0,1.0,0.0,0.06829268292682927,0.08695652173913043,0.05533596837944664
POOLED,rho_zero,0.0001899068548780252,29,29,0,1.0,0.0,0.07073170731707316,0.09006211180124224,0.05731225296442688
POOLED,rho_zero,0.00017013503398421637,30,30,0,1.0,0.0,0.07317073170731707,0.09316770186335403,0.05928853754940711
POOLED,rho_zero,0.000154043247271481,31,31,0,1.0,0.0,0.07560975609756097,0.09627329192546584,0.06126482213438735
POOLED,rho_zero,0.00014561060348072628,32,32,0,1.0,0.0,0.07804878048780488,0.09937888198757763,0.06324110671936758
POOLED,rho_zero,0.00014188288185843317,33,33,0,1.0,0.0,0.08048780487804878,0.10248447204968944,0.06521739130434782
POOLED,rho_zero,0.000139726010517359,34,34,0,1.0,0.0,0.08292682926829269,0.10559006211180125,0.06719367588932806
POOLED,rho_zero,0.0001329307122610076,35,35,0,1.0,0.0,0.08536585365853659,0.10869565217391304,0.0691699604743083
POOLED,rho_zero,0.00012997975914951372,36,36,0,1.0,0.0,0.08780487804878048,0.11180124223602485,0.07114624505928854
POOLED,rho_zero,0.00012031321236432216,37,37,0,1.0,0.0,0.09024390243902439,0.11490683229813664,0.07312252964426877
POOLED,rho_zero,0.00011998000867765111,38,38,0,1.0,0.0,0.09268292682926829,0.11801242236024845,0.07509881422924901
POOLED,rho_zero,0.00011984726902451257,39,39,0,1.0,0.0,0.0951219512195122,0.12111801242236025,0.07707509881422925
POOLED,rho_zero,0.00011897198429829227,40,40,0,1.0,0.0,0.0975609756097561,0.12422360248447205,0.07905138339920949
POOLED,rho_zero,0.00011392796162901885,41,41,0,1.0,0.0,0.1,0.12732919254658384,0.08102766798418973
POOLED,rho_zero,0.0001064191979846969,42,42,0,1.0,0.0,0.1024390243902439,0.13043478260869565,0.08300395256916997
POOLED,rho_zero,0.00010505835928125877,43,43,0,1.0,0.0,0.1048780487804878,0.13354037267080746,0.08498023715415019
POOLED,rho_zero,9.51355166229104e-05,44,44,0,1.0,0.0,0.1073170731707317,0.13664596273291926,0.08695652173913043
POOLED,rho_zero,9.413568587334008e-05,45,45,0,1.0,0.0,0.10975609756097561,0.13975155279503104,0.08893280632411067
POOLED,rho_zero,8.577861811319065e-05,46,46,0,1.0,0.0,0.11219512195121951,0.14285714285714285,0.09090909090909091
POOLED,rho_zero,7.875133427126076e-05,47,47,0,1.0,0.0,0.11463414634146342,0.14596273291925466,0.09288537549407115
POOLED,rho_zero,7.77562333639712e-05,48,48,0,1.0,0.0,0.11707317073170732,0.14906832298136646,0.09486166007905138
POOLED,rho_zero,7.273824170909933e-05,49,49,0,1.0,0.0,0.11951219512195121,0.15217391304347827,0.09683794466403162
POOLED,rho_zero,6.955490843552702e-05,50,50,0,1.0,0.0,0.12195121951219512,0.15527950310559005,0.09881422924901186
POOLED,rho_zero,6.756130423643719e-05,51,51,0,1.0,0.0,0.12439024390243902,0.15838509316770186,0.1007905138339921
POOLED,rho_zero,5.440389976868739e-05,52,52,0,1.0,0.0,0.12682926829268293,0.16149068322981366,0.10276679841897234
POOLED,rho_zero,5.120210074172809e-05,53,53,0,1.0,0.0,0.12926829268292683,0.16459627329192547,0.10474308300395258
POOLED,rho_zero,5.046024284217639e-05,54,54,0,1.0,0.0,0.13170731707317074,0.16770186335403728,0.1067193675889328
POOLED,rho_zero,4.9615193466138406e-05,55,55,0,1.0,0.0,0.13414634146341464,0.17080745341614906,0.10869565217391304
POOLED,rho_zero,4.7215572027817645e-05,56,56,0,1.0,0.0,0.13658536585365855,0.17391304347826086,0.11067193675889328
POOLED,rho_zero,4.5497318667257954e-05,57,57,0,1.0,0.0,0.13902439024390245,0.17701863354037267,0.11264822134387352
POOLED,rho_zero,4.398983113635418e-05,58,58,0,1.0,0.0,0.14146341463414633,0.18012422360248448,0.11462450592885376
POOLED,rho_zero,4.262810473993342e-05,59,59,0,1.0,0.0,0.14390243902439023,0.18322981366459629,0.116600790513834
POOLED,rho_zero,3.43623259480309e-05,60,60,0,1.0,0.0,0.14634146341463414,0.18633540372670807,0.11857707509881422
POOLED,rho_zero,3.3565959751575795e-05,61,61,0,1.0,0.0,0.14878048780487804,0.18944099378881987,0.12055335968379446
POOLED,rho_zero,3.0751632318322306e-05,62,62,0,1.0,0.0,0.15121951219512195,0.19254658385093168,0.1225296442687747
POOLED,rho_zero,2.8766651567348658e-05,63,63,0,1.0,0.0,0.15365853658536585,0.1956521739130435,0.12450592885375494
