template_original_candidate_index,foreground_mean,template_bank,used_as_spatial_amplitude_only,original_identity_discarded
28,0.00019298471843409116,WEAK_EXTRA,True,True
47,0.0012204861544833515,BASE,True,True
70,0.0002766531480450124,WEAK_EXTRA,True,True
81,0.0005828910463076359,WEAK_EXTRA,True,True
83,0.00012466062742097448,WEAK_EXTRA,True,True
84,0.004943039691070102,BASE,True,True
85,0.007469897935364135,BASE,True,True
86,0.0035910531830547748,BASE,True,True
90,0.018849844165172713,BASE,True,True
93,0.0009133262048150343,WEAK_EXTRA,True,True
94,0.003465598543634408,BASE,True,True
95,0.00020441490999468156,WEAK_EXTRA,True,True
100,0.00034560978002170936,WEAK_EXTRA,True,True
101,0.003767493836187643,BASE,True,True
102,0.00010446412278531561,WEAK_EXTRA,True,True
106,0.07104063590718107,BASE,True,True
107,0.004019268843843552,BASE,True,True
109,0.07337007264323502,BASE,True,True
112,0.00020891635591381217,WEAK_EXTRA,True,True
119,0.02052518620541731,BASE,True,True
121,0.056662870395508505,BASE,True,True
133,0.002910685452931968,BASE,True,True
136,0.10008111490599345,BASE,True,True
137,0.0011026387225491967,BASE,True,True
139,0.0224243672740242,BASE,True,True
141,0.2430186358557401,BASE,True,True
143,0.004431943002525114,BASE,True,True
144,0.00011461121928420428,WEAK_EXTRA,True,True
145,0.003302428208099872,BASE,True,True
146,0.02906358388086082,BASE,True,True
152,0.042849456658358986,BASE,True,True
154,0.001110697252484861,BASE,True,True
155,0.000336562545089106,WEAK_EXTRA,True,True
159,0.00014888336600465032,WEAK_EXTRA,True,True
163,0.00016782430882945716,WEAK_EXTRA,True,True
164,0.00235098424323507,BASE,True,True
166,0.0022194340215394427,BASE,True,True
171,0.014489468912776554,BASE,True,True
175,0.02055197359367885,BASE,True,True
179,0.0030435813548569195,BASE,True,True
180,0.00024682903434567247,WEAK_EXTRA,True,True
181,0.00011653856938781842,WEAK_EXTRA,True,True
182,0.012733364138250759,BASE,True,True
184,0.00047126244045106415,WEAK_EXTRA,True,True
195,0.00010166563682168735,WEAK_EXTRA,True,True
197,0.0011542058237190786,BASE,True,True
210,0.0003860047944341988,WEAK_EXTRA,True,True
211,0.0017796236226615485,BASE,True,True
212,0.004328126221311399,BASE,True,True
213,0.0009474994093928155,WEAK_EXTRA,True,True
215,0.0015122085889088548,BASE,True,True
216,0.0011527609331009674,BASE,True,True
217,0.0001948762153901351,WEAK_EXTRA,True,True
218,0.006355509415755673,BASE,True,True
219,0.00014748128807229237,WEAK_EXTRA,True,True
220,0.0011994730470494266,BASE,True,True
221,0.0008107108044965733,WEAK_EXTRA,True,True
222,0.0008874047156349323,WEAK_EXTRA,True,True
223,0.0006133827737390984,WEAK_EXTRA,True,True
224,0.0012682269332131278,BASE,True,True
227,0.0030493404632940427,BASE,True,True
228,0.008688431049173717,BASE,True,True
229,0.0030317644321426504,BASE,True,True
234,0.000861131244722505,WEAK_EXTRA,True,True
235,0.0016766063349577076,BASE,True,True
236,0.01143571348543155,BASE,True,True
237,0.0036867645692421785,BASE,True,True
239,0.0616082453322032,BASE,True,True
244,0.014933578264642325,BASE,True,True
245,0.00021440577341842103,WEAK_EXTRA,True,True
246,0.08362738739149775,BASE,True,True
247,0.0003120585453104667,WEAK_EXTRA,True,True
248,0.0020214254411057542,BASE,True,True
253,0.0002011803328361874,WEAK_EXTRA,True,True
255,0.0002266024120461379,WEAK_EXTRA,True,True
256,0.004230347797652717,BASE,True,True
257,0.00014340052878777712,WEAK_EXTRA,True,True
258,0.03957136601458654,BASE,True,True
260,0.0009546409426094432,WEAK_EXTRA,True,True
266,0.001070504924346424,BASE,True,True
267,0.004121898148795869,BASE,True,True
271,0.03507887626589133,BASE,True,True
274,0.00041928088512172365,WEAK_EXTRA,True,True
276,0.00014535654204186118,WEAK_EXTRA,True,True
277,0.0029034017160741643,BASE,True,True
281,0.00022038298644851324,WEAK_EXTRA,True,True
283,0.0015217893129586188,BASE,True,True
284,0.006965233251819613,BASE,True,True
285,0.0024990073350468845,BASE,True,True
287,0.00015116586893526305,WEAK_EXTRA,True,True
290,0.0005585769624929957,WEAK_EXTRA,True,True
293,0.0013766143633431771,BASE,True,True
294,0.00015521378133051393,WEAK_EXTRA,True,True
295,0.01088759997649656,BASE,True,True
298,0.027349346025652994,BASE,True,True
299,0.002688533754090185,BASE,True,True
302,0.0077394994338569065,BASE,True,True
308,0.004921008444491788,BASE,True,True
313,0.004930928360130924,BASE,True,True
316,0.0008898126469400928,WEAK_EXTRA,True,True
318,0.00011464203031913555,WEAK_EXTRA,True,True
319,0.01505433904952393,BASE,True,True
320,0.00031960020182543724,WEAK_EXTRA,True,True
321,0.0027067653831285873,BASE,True,True
323,0.0021282280458019428,BASE,True,True
327,0.000246995145258423,WEAK_EXTRA,True,True
329,0.004877012592005975,BASE,True,True
330,0.0008545740559731959,WEAK_EXTRA,True,True
331,0.0006150128669024416,WEAK_EXTRA,True,True
336,0.00014707252780820287,WEAK_EXTRA,True,True
338,0.0025246432852639067,BASE,True,True
339,0.001027884660910343,BASE,True,True
346,0.00047548410963250525,WEAK_EXTRA,True,True
348,0.0003787058110304037,WEAK_EXTRA,True,True
349,0.005480474190915677,BASE,True,True
352,0.0002820332506612909,WEAK_EXTRA,True,True
355,0.013064874170262345,BASE,True,True
361,0.00016665021246367798,WEAK_EXTRA,True,True
371,0.0008943196437131804,WEAK_EXTRA,True,True
375,0.0014836530613080638,BASE,True,True
376,0.00010222836766585937,WEAK_EXTRA,True,True
378,0.0010918874494828912,BASE,True,True
379,0.00022025515788821187,WEAK_EXTRA,True,True
381,0.0029140906919341543,BASE,True,True
382,0.04736858283734614,BASE,True,True
383,0.0007008890517956318,WEAK_EXTRA,True,True
385,0.0010720296356095517,BASE,True,True
389,0.0010813103441311062,BASE,True,True
390,0.00019123220818741032,WEAK_EXTRA,True,True
