dataset_id,split,replicate,complexity_condition,global_truth_K,candidate_index,candidate_id,lipid_name,X_hat,candidate_truth,molecular_truth,same_lipid_alternative_candidate,rho_zero,cone_isolation,max_fragment_cosine,max_full_cosine,lipid_class,collective_gain,pair_id,unit_id,role,spectral_score_CAL,spectral_score_HOLD,joint_hard_score,joint_easy_score,fragment_cosine,fragment_support_jaccard,full_cosine,parent_cosine,base_template_id,realized_spatial_correlation,abundance_multiplier,K,base_dataset_id,severity,rho_zero_status,raw_solver_reported,reportable_truth
MILD__CAL_R1_K175,CAL,R1,K175,175,0,PA-H__0075,PA 16:0_24:0,0.018381194596079144,True,True,False,1.6215419913835125e-05,0.729606198131629,0.7748217721703936,0.44170172724713597,PA,0.16755576280234685,B2_U7_U22,7,spectral_easy_spatial_high,0.16836124794745483,0.15682101806239737,0.15682101806239737,0.16836124794745483,0.0,0.0,0.0,0.0,175,0.9908210921260467,2.0,175,CAL_R1_K175,MILD,COMPUTED,True,True
MILD__CAL_R1_K175,CAL,R1,K175,175,1,PA-H__0076,PA 16:0_24:1,0.0029700483777230966,False,False,False,3.4178502734822995e-19,0.5504804076642431,0.883487638633687,0.6654546118919494,PA,0.19595790828137805,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,CAL_R1_K175,MILD,COMPUTED,True,False
MILD__CAL_R1_K175,CAL,R1,K175,175,2,PA-H__0079,PA 16:0_24:4,0.0013332489038558454,False,False,False,0.0,0.2223063465458067,0.9171280506076233,0.9158818256178151,PA,0.17914163452145218,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,CAL_R1_K175,MILD,COMPUTED,True,False
MILD__CAL_R1_K175,CAL,R1,K175,175,3,PA-H__0080,PA 16:0_24:5,0.013064996776231257,True,True,False,1.868273561868919e-06,0.22923411741411742,0.9171280506076233,0.9158818256178151,PA,0.17221386365314145,B6_U16_U150,150,spectral_hard_spatial_high,0.8016518883415436,0.8704121510673235,0.8016518883415436,0.8704121510673235,0.6012836678060572,0.3106796116504854,0.6004958373364375,0.0,267,0.9952910414028423,2.0,175,CAL_R1_K175,MILD,COMPUTED,True,True
MILD__CAL_R1_K175,CAL,R1,K175,175,4,PA-H__0100,PA 24:0_16:1,0.0077145136041996114,True,True,False,8.810821803604076e-07,0.47172636833494863,0.7350890401757907,0.6635490105932277,PA,0.2764064477750978,B6_U39_U54,54,spectral_easy_spatial_low,0.1792183908045977,0.5071083743842364,0.1792183908045977,0.5071083743842364,0.0,0.0,0.0,0.0,287,-0.12485182569342557,0.5,175,CAL_R1_K175,MILD,COMPUTED,True,True
MILD__CAL_R1_K175,CAL,R1,K175,175,5,PA-H__0117,PA 18:0_22:0,0.005455414736453913,False,False,False,5.508319446207585e-07,0.3381799302246325,0.7789494468002593,0.6213615663357793,PA,0.44534403487199864,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,CAL_R1_K175,MILD,COMPUTED,True,False
MILD__CAL_R1_K175,CAL,R1,K175,175,6,PA-H__0118,PA 18:0_22:1,0.008076567577273444,True,True,False,6.4901344934723145e-06,0.3291126428847987,0.854010491337717,0.7758194394971382,PA,0.30184234544507127,B5_U81_U105,105,spectral_hard_spatial_high,0.7206288998357964,0.7457405582922824,0.7206288998357964,0.7457405582922824,0.052767460600135624,0.16153846153846155,0.047451137602932195,0.0,349,0.996704226409377,0.5,175,CAL_R1_K175,MILD,COMPUTED,True,True
MILD__CAL_R1_K175,CAL,R1,K175,175,7,PA-H__0119,PA 18:0_22:2,0.0026892645941704496,False,False,False,0.0,0.27393752390511106,0.8394493239810369,0.7712444256096473,PA,0.36260158405766385,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,CAL_R1_K175,MILD,COMPUTED,True,False
MILD__CAL_R1_K175,CAL,R1,K175,175,8,PA-H__0120,PA 18:0_22:3,0.004829851232685289,True,True,False,0.0,0.26685411549166754,0.7994055605507371,0.7822770241404187,PA,0.35607658490927657,B1_U95_U125,125,spectral_hard_spatial_low,0.7451149425287357,0.8009901477832513,0.7451149425287357,0.8009901477832513,0.05022587307821144,0.0661764705882353,0.05302766559774588,0.11301892928657031,133,-0.2514853335695852,0.6170676298438253,175,CAL_R1_K175,MILD,COMPUTED,True,True
MILD__CAL_R1_K175,CAL,R1,K175,175,10,PA-H__0122,PA 18:0_22:5,0.010188280968035878,True,True,False,0.0,0.13936661280823676,0.9374908882297373,0.9345818680853585,PA,0.21638151697754526,B4_U64_U141,141,spectral_hard_spatial_high,0.7657668308702792,0.7451904761904762,0.7451904761904762,0.7657668308702792,0.07496740643032661,0.23423423423423423,0.07025785758396863,0.0,223,0.9958667516089417,0.5,175,CAL_R1_K175,MILD,COMPUTED,True,True
MILD__CAL_R1_K175,CAL,R1,K175,175,11,PA-H__0124,PA 18:0_24:0,0.005180515339338523,True,True,False,2.101360722319035e-05,0.5363596171784565,0.7271532361366108,0.6313329291237251,PA,0.239152299302559,B3_U13_U90,13,spectral_hard_spatial_high,0.7239244663382594,0.6166551724137932,0.6166551724137932,0.7239244663382594,0.17572525850461496,0.11711711711711711,0.1511902006158474,0.0,81,0.9972117040223596,0.5,175,CAL_R1_K175,MILD,COMPUTED,True,True
MILD__CAL_R1_K175,CAL,R1,K175,175,15,PA-H__0130,PA 18:0_24:6,0.002563486868245013,False,False,False,0.0,0.1641748706562144,0.9374908882297373,0.9345818680853585,PA,0.19157325912956763,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,CAL_R1_K175,MILD,COMPUTED,True,False
MILD__CAL_R1_K175,CAL,R1,K175,175,16,PA-H__0140,PA 22:0_18:1,0.002976261727997933,True,True,False,2.5913542851005046e-06,0.3671639070922606,0.7050099452951126,0.6113032030767289,PA,0.42423257628894034,B4_U64_U141,64,spectral_hard_spatial_high,0.7657668308702792,0.7451904761904762,0.7451904761904762,0.7657668308702792,0.07496740643032661,0.23423423423423423,0.07025785758396863,0.0,223,0.9958667516089417,0.689110922829001,175,CAL_R1_K175,MILD,COMPUTED,True,True
MILD__CAL_R1_K175,CAL,R1,K175,175,18,PA-H__0142,PA 18:1_22:2,0.020649972410072444,True,True,False,1.5278764390910637e-06,0.40366716929733215,0.9248799886279087,0.7196223801768364,PA,0.2906984620156129,B2_U60_U84,84,spectral_hard_spatial_low,0.8323037766830871,0.8063054187192118,0.8063054187192118,0.8323037766830871,0.8432257966252498,0.7037037037037037,0.39242033148640376,0.11301891386763883,86,-0.21416269310173836,2.0,175,CAL_R1_K175,MILD,COMPUTED,True,True
MILD__CAL_R1_K175,CAL,R1,K175,175,19,PA-H__0143,PA 18:1_22:3,0.003086019577699943,False,False,False,1.2925920265669257e-06,0.26035456632127724,0.8639124793194024,0.8037028144235677,PA,0.33467634555443054,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,CAL_R1_K175,MILD,COMPUTED,True,False
MILD__CAL_R1_K175,CAL,R1,K175,175,20,PA-H__0144,PA 18:1_22:4,0.009480070229736596,False,False,False,0.0,0.23118051955905902,0.7349039762795926,0.7251473077432745,PA,0.45741325188581883,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,CAL_R1_K175,MILD,COMPUTED,True,False
MILD__CAL_R1_K175,CAL,R1,K175,175,21,PA-H__0147,PA 24:0_18:1,0.0039727387743543905,True,True,False,6.699643685796619e-07,0.43680623844895256,0.7371891580184492,0.6602623564184665,PA,0.3142287944867514,,32,singleton_control,,,,,,,,,339,,0.5,175,CAL_R1_K175,MILD,COMPUTED,True,True
MILD__CAL_R1_K175,CAL,R1,K175,175,24,PA-H__0152,PA 18:1_24:5,0.004951470246180173,True,True,False,0.0,0.2403872498285696,0.8248123478924629,0.8214327614182942,PA,0.3299181231679643,,135,singleton_control,,,,,,,,,329,,0.5,175,CAL_R1_K175,MILD,COMPUTED,True,True
MILD__CAL_R1_K175,CAL,R1,K175,175,25,PA-H__0153,PA 18:1_24:6,0.0032567956781307758,False,False,False,1.2106158714067297e-07,0.25854770171004793,0.8317569743542244,0.8214327614182942,PA,0.311757671286486,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,CAL_R1_K175,MILD,COMPUTED,True,False
MILD__CAL_R1_K175,CAL,R1,K175,175,28,PA-H__0164,PA 18:2_22:2,0.010703927892906197,True,True,False,1.727920073479533e-06,0.47866516502254414,0.8685597534716455,0.7219248581633445,PA,0.21330629332370504,B2_U60_U84,60,spectral_hard_spatial_low,0.8323037766830871,0.8063054187192118,0.8063054187192118,0.8323037766830871,0.8432257966252498,0.7037037037037037,0.39242033148640376,0.11301891386763883,244,-0.21416269310173836,0.7802037075442214,175,CAL_R1_K175,MILD,COMPUTED,True,True
MILD__CAL_R1_K175,CAL,R1,K175,175,29,PA-H__0165,PA 18:2_22:3,0.005168482029159864,True,True,False,0.0,0.40654814292933356,0.8361365785941115,0.722889225295104,PA,0.2844157982081504,,51,singleton_control,,,,,,,,,313,,1.0760213163243861,175,CAL_R1_K175,MILD,COMPUTED,True,True
MILD__CAL_R1_K175,CAL,R1,K175,175,30,PA-H__0169,PA 24:0_18:2,0.005584402136588124,True,True,False,8.161526906556393e-07,0.4349361980895777,0.674205896426856,0.5485397946470075,PA,0.4011882505953169,,57,singleton_control,,,,,,,,,244,,0.5,175,CAL_R1_K175,MILD,COMPUTED,True,True
MILD__CAL_R1_K175,CAL,R1,K175,175,32,PA-H__0173,PA 18:2_24:4,0.001698917224539099,False,False,False,6.331692494548682e-08,0.33277246997096527,0.6495701338678831,0.6430180714358019,PA,0.4330785336890039,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,CAL_R1_K175,MILD,COMPUTED,True,False
MILD__CAL_R1_K175,CAL,R1,K175,175,33,PA-H__0174,PA 18:2_24:5,0.004577534449338882,False,False,False,5.760211501504428e-07,0.30902833514416345,0.8083196183923326,0.8030418220184925,PA,0.2868943377666932,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,CAL_R1_K175,MILD,COMPUTED,True,False
MILD__CAL_R1_K175,CAL,R1,K175,175,34,PA-H__0175,PA 18:2_24:6,0.015107132556333207,True,True,False,6.636664952664119e-06,0.29491975880184035,0.8083196183923326,0.8030418220184925,PA,0.3010029141090163,,113,singleton_control,,,,,,,,,293,,2.0,175,CAL_R1_K175,MILD,COMPUTED,True,True
MILD__CAL_R1_K175,CAL,R1,K175,175,35,PA-H__0197,PA 20:0_20:0,0.008140938825105668,True,True,False,0.0,0.30857219638826255,0.9341726466812952,0.8971732152464247,PA,0.13310667094001766,,65,singleton_control,,,,,,,,,220,,0.8939526432607221,175,CAL_R1_K175,MILD,COMPUTED,True,True
MILD__CAL_R1_K175,CAL,R1,K175,175,36,PA-H__0198,PA 20:0_20:1,0.010273771214371454,True,True,False,3.4178502734822995e-19,0.2700502904887188,0.7565930817931681,0.6960378383676507,PA,0.447954812251149,B3_U62_U111,111,spectral_hard_spatial_low,0.6664384236453202,0.7616584564860427,0.6664384236453202,0.7616584564860427,0.07934268832688471,0.06349206349206349,0.06222121571833724,0.0,234,-0.19504475027495594,2.0,175,CAL_R1_K175,MILD,COMPUTED,True,True
MILD__CAL_R1_K175,CAL,R1,K175,175,38,PA-H__0200,PA 20:0_20:3,0.00466937253505986,False,False,False,0.0,0.28594755195446475,0.8048190171061798,0.7203920412647556,PA,0.4076195370011738,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,CAL_R1_K175,MILD,COMPUTED,True,False
MILD__CAL_R1_K175,CAL,R1,K175,175,39,PA-H__0201,PA 20:0_20:4,0.008759716285953153,False,False,False,0.0,0.1645114953783594,0.8957566529041909,0.8619613486853611,PA,0.3424625013635971,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,CAL_R1_K175,MILD,COMPUTED,True,False
MILD__CAL_R1_K175,CAL,R1,K175,175,40,PA-H__0202,PA 20:0_20:5,0.001291670137359286,True,True,False,0.0,0.18367672004065808,0.9361340206999159,0.9175683792240663,PA,0.2139012841901092,B7_U134_U159,159,spectral_hard_spatial_low,0.667512315270936,0.6009211822660099,0.6009211822660099,0.667512315270936,0.0009925553667304824,0.1171875,0.0009787894940145214,0.0,166,-0.17794431856725149,0.5,175,CAL_R1_K175,MILD,COMPUTED,True,True
MILD__CAL_R1_K175,CAL,R1,K175,175,42,PA-H__0205,PA 20:0_22:2,0.004958159359845658,True,True,False,6.835700546964599e-19,0.3285634366810597,0.6941352616525697,0.6532726123926598,PA,0.4285593366507624,B6_U26_U82,82,spectral_easy_spatial_high,0.19121839080459768,0.41874220032840725,0.19121839080459768,0.41874220032840725,0.0,0.0,0.0,0.0,180,0.9964852610604907,0.7802037075442214,175,CAL_R1_K175,MILD,COMPUTED,True,True
MILD__CAL_R1_K175,CAL,R1,K175,175,43,PA-H__0206,PA 20:0_22:3,0.0056418905561572835,True,True,False,8.551968640655458e-06,0.3047114646464892,0.6917588469202741,0.6545603952551788,PA,0.45129825021396425,B7_U69_U83,69,spectral_hard_spatial_high,0.7420279146141214,0.7909720853858784,0.7420279146141214,0.7909720853858784,0.07932992725041206,0.12295081967213115,0.07443819613192362,0.0,222,0.9963062276148869,0.5,175,CAL_R1_K175,MILD,COMPUTED,True,True
MILD__CAL_R1_K175,CAL,R1,K175,175,44,PA-H__0207,PA 20:0_22:4,0.0013016716110260931,False,False,False,0.0,0.241048023112079,0.8303328039494347,0.811768772008992,PA,0.3429309669132585,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,CAL_R1_K175,MILD,COMPUTED,True,False
MILD__CAL_R1_K175,CAL,R1,K175,175,45,PA-H__0208,PA 20:0_22:5,0.0011199082065765273,True,True,False,0.0,0.18797776572568772,0.9337578006589683,0.9226232034454928,PA,0.19772474199752751,B7_U47_U115,115,spectral_hard_spatial_high,0.7173612479474549,0.7259195402298851,0.7173612479474549,0.7259195402298851,0.09627294846157408,0.10606060606060606,0.03831324704124254,0.0,139,0.9927947904947065,0.6170676298438253,175,CAL_R1_K175,MILD,COMPUTED,True,True
MILD__CAL_R1_K175,CAL,R1,K175,175,46,PA-H__0209,PA 20:0_22:6,0.00326561166516337,False,False,False,8.92622287535203e-06,0.18342642508946627,0.9361340206999159,0.9226232034454928,PA,0.20227608263374897,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,CAL_R1_K175,MILD,COMPUTED,True,False
MILD__CAL_R1_K175,CAL,R1,K175,175,48,PA-H__0218,PA 20:1_20:2,0.00819822708133933,True,True,False,6.719491748769031e-07,0.4799544894237642,0.9253440230489325,0.6127851649721114,PA,0.31029505444836114,B1_U9_U37,37,spectral_easy_spatial_high,0.15578981937602626,0.15053530377668312,0.15053530377668312,0.15578981937602626,0.0,0.0,0.0,0.0,316,0.9965864187130227,0.5340342571614348,175,CAL_R1_K175,MILD,COMPUTED,True,True
