dataset_id,split,replicate,complexity_condition,global_truth_K,candidate_index,candidate_id,lipid_name,X_hat,candidate_truth,molecular_truth,same_lipid_alternative_candidate,rho_zero,cone_isolation,max_fragment_cosine,max_full_cosine,lipid_class,collective_gain,pair_id,unit_id,role,spectral_score_CAL,spectral_score_HOLD,joint_hard_score,joint_easy_score,fragment_cosine,fragment_support_jaccard,full_cosine,parent_cosine,base_template_id,realized_spatial_correlation,abundance_multiplier,K,base_dataset_id,severity,rho_zero_status,raw_solver_reported,reportable_truth
MODERATE__HOLD_R1_K050,HOLD,R1,K050,50,3,PA-H__0080,PA 16:0_24:5,0.003885644687306485,False,False,False,0.0,0.22923411741411742,0.9171280506076233,0.9158818256178151,PA,0.17221386365314145,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R1_K050,MODERATE,COMPUTED,True,False
MODERATE__HOLD_R1_K050,HOLD,R1,K050,50,7,PA-H__0119,PA 18:0_22:2,0.012983670768991292,True,True,False,7.437592517031283e-06,0.27393752390511106,0.8394493239810369,0.7712444256096473,PA,0.36260158405766385,B1_U95_U125,125,spectral_hard_spatial_low,0.7451149425287357,0.8009901477832513,0.7451149425287357,0.8009901477832513,0.0753246954491252,0.3018867924528302,0.08214312893707955,0.11319967071044161,133,-0.2514853335695852,0.6170676298438253,50,HOLD_R1_K050,MODERATE,COMPUTED,True,True
MODERATE__HOLD_R1_K050,HOLD,R1,K050,50,8,PA-H__0120,PA 18:0_22:3,0.004298346276022651,False,False,False,2.791017381852514e-06,0.26685411549166754,0.7994055605507371,0.7822770241404187,PA,0.35607658490927657,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R1_K050,MODERATE,COMPUTED,True,False
MODERATE__HOLD_R1_K050,HOLD,R1,K050,50,9,PA-H__0121,PA 18:0_22:4,0.004858510293073762,True,True,False,1.6052317855342068e-18,0.18925162859522815,0.8691673191165914,0.8645836840369737,PA,0.31323723028330897,B2_U43_U133,133,spectral_hard_spatial_high,0.896121510673235,0.8493119868637111,0.8493119868637111,0.896121510673235,0.7986035117425145,0.41,0.7525372430626872,0.0,321,0.9964097830464953,0.5,50,HOLD_R1_K050,MODERATE,COMPUTED,True,True
MODERATE__HOLD_R1_K050,HOLD,R1,K050,50,10,PA-H__0122,PA 18:0_22:5,0.0033691148277381084,False,False,False,0.0,0.13936661280823676,0.9374908882297373,0.9345818680853585,PA,0.21638151697754526,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R1_K050,MODERATE,COMPUTED,True,False
MODERATE__HOLD_R1_K050,HOLD,R1,K050,50,12,PA-H__0125,PA 18:0_24:1,0.016113480688562318,True,True,False,2.5428301941298137e-05,0.3334734584306543,0.8793255202210899,0.8305304488322932,PA,0.22349976674487387,B2_U43_U133,43,spectral_hard_spatial_high,0.896121510673235,0.8493119868637111,0.8493119868637111,0.896121510673235,0.7986035117425145,0.41,0.7525372430626872,0.0,321,0.9964097830464953,0.689110922829001,50,HOLD_R1_K050,MODERATE,COMPUTED,True,True
MODERATE__HOLD_R1_K050,HOLD,R1,K050,50,17,PA-H__0141,PA 18:1_22:1,0.03199189207213926,True,True,False,8.389481942782802e-05,0.46175873097333114,0.9022714644699661,0.6587714343940032,PA,0.2905844069806663,B1_U59_U80,59,spectral_hard_spatial_low,0.679983579638752,0.7071789819376026,0.679983579638752,0.7071789819376026,0.031175949260026654,0.07692307692307693,0.6587714343940032,0.9999999999999994,302,-0.29199834044192785,0.7303443264893795,50,HOLD_R1_K050,MODERATE,COMPUTED,True,True
MODERATE__HOLD_R1_K050,HOLD,R1,K050,50,27,PA-H__0163,PA 22:1_18:2,0.043859425466567625,True,True,False,0.00032657113096049424,0.3672416022212644,0.8804726866933393,0.607232220086111,PA,0.42728280324989093,B1_U95_U125,95,spectral_hard_spatial_low,0.7451149425287357,0.8009901477832513,0.7451149425287357,0.8009901477832513,0.0753246954491252,0.3018867924528302,0.08214312893707955,0.11319967071044161,246,-0.2514853335695852,2.0,50,HOLD_R1_K050,MODERATE,COMPUTED,True,True
MODERATE__HOLD_R1_K050,HOLD,R1,K050,50,28,PA-H__0164,PA 18:2_22:2,0.0031405734934927695,False,False,False,2.344732206141462e-05,0.47866516502254414,0.8685597534716455,0.7219248581633445,PA,0.21330629332370504,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R1_K050,MODERATE,COMPUTED,True,False
MODERATE__HOLD_R1_K050,HOLD,R1,K050,50,31,PA-H__0170,PA 24:1_18:2,0.005570351438276,False,False,False,8.721014012595551e-06,0.416531063009088,0.7481851339902038,0.6386711778861706,PA,0.35294871355264307,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R1_K050,MODERATE,COMPUTED,True,False
MODERATE__HOLD_R1_K050,HOLD,R1,K050,50,35,PA-H__0197,PA 20:0_20:0,0.0014259510481269735,False,False,False,0.0,0.30857219638826255,0.9341726466812952,0.8971732152464247,PA,0.13310667094001766,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R1_K050,MODERATE,COMPUTED,True,False
MODERATE__HOLD_R1_K050,HOLD,R1,K050,50,39,PA-H__0201,PA 20:0_20:4,0.005878738849748727,True,True,False,8.330494678684527e-06,0.1645114953783594,0.8957566529041909,0.8619613486853611,PA,0.3424625013635971,B2_U23_U146,146,spectral_hard_spatial_low,0.6574581280788178,0.6583152709359607,0.6574581280788178,0.6583152709359607,0.03686160437306331,0.05925925925925926,0.03539255213324386,0.0,213,-0.36975084900206073,0.7303443264893795,50,HOLD_R1_K050,MODERATE,COMPUTED,True,True
MODERATE__HOLD_R1_K050,HOLD,R1,K050,50,41,PA-H__0204,PA 20:0_22:1,0.0010486921849006587,False,False,False,1.6052317855342068e-18,0.3017443733307278,0.7600275012777736,0.7258338470317759,PA,0.3861256918000734,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R1_K050,MODERATE,COMPUTED,True,False
MODERATE__HOLD_R1_K050,HOLD,R1,K050,50,45,PA-H__0208,PA 20:0_22:5,0.0022103301742470095,False,False,False,0.0,0.18797776572568772,0.9337578006589683,0.9226232034454928,PA,0.19772474199752751,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R1_K050,MODERATE,COMPUTED,True,False
MODERATE__HOLD_R1_K050,HOLD,R1,K050,50,47,PA-H__0217,PA 20:1_20:1,0.005560339496290911,True,True,False,2.638696503292152e-05,0.4231895167566119,0.9753576763078726,0.6587714343940032,PA,0.3291536211973855,B1_U59_U80,80,spectral_hard_spatial_low,0.679983579638752,0.7071789819376026,0.679983579638752,0.7071789819376026,0.031175949260026654,0.07692307692307693,0.6587714343940032,0.9999999999999994,102,-0.29199834044192785,0.5,50,HOLD_R1_K050,MODERATE,COMPUTED,True,True
MODERATE__HOLD_R1_K050,HOLD,R1,K050,50,49,PA-H__0219,PA 20:1_20:3,0.0026530315872733364,False,False,False,0.0,0.2950230689775499,0.8311619582958673,0.670144021014576,PA,0.44720802111394947,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R1_K050,MODERATE,COMPUTED,True,False
MODERATE__HOLD_R1_K050,HOLD,R1,K050,50,51,PA-H__0222,PA 22:0_20:1,0.0012262889051504894,False,False,False,0.0,0.4020166500263304,0.8495611434984474,0.7558192210470013,PA,0.2527636987135384,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R1_K050,MODERATE,COMPUTED,True,False
MODERATE__HOLD_R1_K050,HOLD,R1,K050,50,52,PA-H__0223,PA 20:1_22:1,0.017650693713007547,True,True,False,0.00011990133375871583,0.48292710886676304,0.8982874947005188,0.7105340184716673,PA,0.22073574264275386,B2_U60_U84,60,spectral_hard_spatial_low,0.8323037766830871,0.8063054187192118,0.8063054187192118,0.8323037766830871,0.42933444305322455,0.6511627906976745,0.3192878691885012,0.1211489568896669,244,-0.21416269310173836,0.7802037075442214,50,HOLD_R1_K050,MODERATE,COMPUTED,True,True
MODERATE__HOLD_R1_K050,HOLD,R1,K050,50,53,PA-H__0224,PA 20:1_22:2,0.0031254602604131386,False,False,False,5.477127568830089e-07,0.34352237197995034,0.9019786006016902,0.8163714083818836,PA,0.2340048772270285,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R1_K050,MODERATE,COMPUTED,True,False
MODERATE__HOLD_R1_K050,HOLD,R1,K050,50,55,PA-H__0226,PA 20:1_22:4,0.0013400439216227284,False,False,False,0.0,0.34668458838690386,0.780619943822926,0.7254488250437023,PA,0.3415915206294644,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R1_K050,MODERATE,COMPUTED,True,False
