dataset_id,split,replicate,complexity_condition,global_truth_K,candidate_index,candidate_id,lipid_name,X_hat,candidate_truth,molecular_truth,same_lipid_alternative_candidate,rho_zero,cone_isolation,max_fragment_cosine,max_full_cosine,lipid_class,collective_gain,pair_id,unit_id,role,spectral_score_CAL,spectral_score_HOLD,joint_hard_score,joint_easy_score,fragment_cosine,fragment_support_jaccard,full_cosine,parent_cosine,base_template_id,realized_spatial_correlation,abundance_multiplier,K,base_dataset_id,severity,rho_zero_status,raw_solver_reported,reportable_truth
MILD__HOLD_R1_K050,HOLD,R1,K050,50,3,PA-H__0080,PA 16:0_24:5,0.001728113907126952,False,False,False,0.0,0.22923411741411742,0.9171280506076233,0.9158818256178151,PA,0.17221386365314145,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R1_K050,MILD,COMPUTED,True,False
MILD__HOLD_R1_K050,HOLD,R1,K050,50,5,PA-H__0117,PA 18:0_22:0,0.0014143091745086505,False,False,False,0.0,0.3381799302246325,0.7789494468002593,0.6213615663357793,PA,0.44534403487199864,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R1_K050,MILD,COMPUTED,True,False
MILD__HOLD_R1_K050,HOLD,R1,K050,50,7,PA-H__0119,PA 18:0_22:2,0.016280349617732195,True,True,False,0.0,0.27393752390511106,0.8394493239810369,0.7712444256096473,PA,0.36260158405766385,B1_U95_U125,125,spectral_hard_spatial_low,0.7451149425287357,0.8009901477832513,0.7451149425287357,0.8009901477832513,0.0753246954491252,0.3018867924528302,0.08214312893707955,0.11319967071044161,133,-0.2514853335695852,0.6170676298438253,50,HOLD_R1_K050,MILD,COMPUTED,True,True
MILD__HOLD_R1_K050,HOLD,R1,K050,50,8,PA-H__0120,PA 18:0_22:3,0.0032817658844452664,False,False,False,2.5177972332729114e-07,0.26685411549166754,0.7994055605507371,0.7822770241404187,PA,0.35607658490927657,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R1_K050,MILD,COMPUTED,True,False
MILD__HOLD_R1_K050,HOLD,R1,K050,50,9,PA-H__0121,PA 18:0_22:4,0.011082224707146012,True,True,False,2.2384048409275023e-05,0.18925162859522815,0.8691673191165914,0.8645836840369737,PA,0.31323723028330897,B2_U43_U133,133,spectral_hard_spatial_high,0.896121510673235,0.8493119868637111,0.8493119868637111,0.896121510673235,0.7986035117425145,0.41,0.7525372430626872,0.0,321,0.9964097830464953,0.5,50,HOLD_R1_K050,MILD,COMPUTED,True,True
MILD__HOLD_R1_K050,HOLD,R1,K050,50,10,PA-H__0122,PA 18:0_22:5,0.002136949491829887,False,False,False,5.6210746873705047e-08,0.13936661280823676,0.9374908882297373,0.9345818680853585,PA,0.21638151697754526,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R1_K050,MILD,COMPUTED,True,False
MILD__HOLD_R1_K050,HOLD,R1,K050,50,12,PA-H__0125,PA 18:0_24:1,0.014230274139888786,True,True,False,2.066023636131461e-05,0.3334734584306543,0.8793255202210899,0.8305304488322932,PA,0.22349976674487387,B2_U43_U133,43,spectral_hard_spatial_high,0.896121510673235,0.8493119868637111,0.8493119868637111,0.896121510673235,0.7986035117425145,0.41,0.7525372430626872,0.0,321,0.9964097830464953,0.689110922829001,50,HOLD_R1_K050,MILD,COMPUTED,True,True
MILD__HOLD_R1_K050,HOLD,R1,K050,50,14,PA-H__0129,PA 18:0_24:5,0.00417157433386783,False,False,False,9.82582577750137e-07,0.1609179673339711,0.923167578011941,0.919680283971754,PA,0.23175005437601462,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R1_K050,MILD,COMPUTED,True,False
MILD__HOLD_R1_K050,HOLD,R1,K050,50,17,PA-H__0141,PA 18:1_22:1,0.027037651458308068,True,True,False,9.688742215438164e-05,0.46175873097333114,0.9022714644699661,0.6587714343940032,PA,0.2905844069806663,B1_U59_U80,59,spectral_hard_spatial_low,0.679983579638752,0.7071789819376026,0.679983579638752,0.7071789819376026,0.031175949260026654,0.07692307692307693,0.6587714343940032,0.9999999999999994,302,-0.29199834044192785,0.7303443264893795,50,HOLD_R1_K050,MILD,COMPUTED,True,True
MILD__HOLD_R1_K050,HOLD,R1,K050,50,27,PA-H__0163,PA 22:1_18:2,0.049611011517268794,True,True,False,0.00032287513521275134,0.3672416022212644,0.8804726866933393,0.607232220086111,PA,0.42728280324989093,B1_U95_U125,95,spectral_hard_spatial_low,0.7451149425287357,0.8009901477832513,0.7451149425287357,0.8009901477832513,0.0753246954491252,0.3018867924528302,0.08214312893707955,0.11319967071044161,246,-0.2514853335695852,2.0,50,HOLD_R1_K050,MILD,COMPUTED,True,True
