severity,score,threshold,N_retained,TP,FP,FN,FDR,FDR_lower95,FDR_upper95,precision,raw_solver_TP,raw_solver_FP,raw_solver_FN,filtered_TP,filtered_FP,filtered_FN,true_positive_retention,TP_retention,filter_induced_true_loss,filter_induced_true_loss_fraction,all_truth_recall,reportable_truth_recall,coverage
MILD,rho_zero,0.010111808517866649,1,1,0,1749,0.0,0.0,0.7934506856227626,1.0,1697,1489,53,1,0,1749,0.0005892751915144372,0.0005892751915144372,1696,0.9994107248084856,0.0005714285714285715,0.0005714285714285715,0.00031387319522912746
MILD,rho_zero,0.010111808510488972,2,2,0,1748,0.0,0.0,0.6576197724933469,1.0,1697,1489,53,2,0,1748,0.0011785503830288745,0.0011785503830288745,1695,0.9988214496169712,0.001142857142857143,0.001142857142857143,0.0006277463904582549
MILD,rho_zero,0.01011180851026886,3,3,0,1747,0.0,5.551115123125783e-17,0.5614970317550454,1.0,1697,1489,53,3,0,1747,0.0017678255745433118,0.0017678255745433118,1694,0.9982321744254566,0.0017142857142857142,0.0017142857142857142,0.0009416195856873823
MILD,rho_zero,0.010111808503234803,4,4,0,1746,0.0,0.0,0.4898908364545973,1.0,1697,1489,53,4,0,1746,0.002357100766057749,0.002357100766057749,1693,0.9976428992339422,0.002285714285714286,0.002285714285714286,0.0012554927809165098
MILD,rho_zero,0.010111808482227676,5,5,0,1745,0.0,0.0,0.43448246478317476,1.0,1697,1489,53,5,0,1745,0.0029463759575721863,0.0029463759575721863,1692,0.9970536240424278,0.002857142857142857,0.002857142857142857,0.001569365976145637
MILD,rho_zero,0.00433832597759703,6,6,0,1744,0.0,2.7755575615628914e-17,0.3903342879021653,1.0,1697,1489,53,6,0,1744,0.0035356511490866236,0.0035356511490866236,1691,0.9964643488509134,0.0034285714285714284,0.0034285714285714284,0.0018832391713747645
MILD,rho_zero,0.0043383259738287135,7,7,0,1743,0.0,5.551115123125783e-17,0.35433043506668743,1.0,1697,1489,53,7,0,1743,0.0041249263406010605,0.0041249263406010605,1690,0.995875073659399,0.004,0.004,0.002197112366603892
MILD,rho_zero,0.0043383259732459,8,8,0,1742,0.0,0.0,0.32440756488388023,1.0,1697,1489,53,8,0,1742,0.004714201532115498,0.004714201532115498,1689,0.9952857984678845,0.004571428571428572,0.004571428571428572,0.0025109855618330196
MILD,rho_zero,0.00433832596828785,9,9,0,1741,0.0,0.0,0.2991450484195441,1.0,1697,1489,53,9,0,1741,0.005303476723629935,0.005303476723629935,1688,0.99469652327637,0.005142857142857143,0.005142857142857143,0.002824858757062147
MILD,rho_zero,0.0043383259655542065,10,10,0,1740,0.0,0.0,0.2775327998628892,1.0,1697,1489,53,10,0,1740,0.0058927519151443725,0.0058927519151443725,1687,0.9941072480848556,0.005714285714285714,0.005714285714285714,0.003138731952291274
MILD,rho_zero,0.002070645187778572,11,11,0,1739,0.0,0.0,0.2588329669680317,1.0,1697,1489,53,11,0,1739,0.00648202710665881,0.00648202710665881,1686,0.9935179728933412,0.006285714285714286,0.006285714285714286,0.003452605147520402
MILD,rho_zero,0.0020706451858209353,12,12,0,1738,0.0,2.7755575615628914e-17,0.24249400665524085,1.0,1697,1489,53,12,0,1738,0.007071302298173247,0.007071302298173247,1685,0.9929286977018268,0.006857142857142857,0.006857142857142857,0.003766478342749529
MILD,rho_zero,0.0020706451839297597,13,13,0,1737,0.0,0.0,0.22809537235419838,1.0,1697,1489,53,13,0,1737,0.0076605774896876845,0.0076605774896876845,1684,0.9923394225103123,0.0074285714285714285,0.0074285714285714285,0.004080351537978657
MILD,rho_zero,0.002070645182677436,14,14,0,1736,0.0,1.3877787807814457e-17,0.2153108027376358,1.0,1697,1489,53,14,0,1736,0.008249852681202121,0.008249852681202121,1683,0.9917501473187978,0.008,0.008,0.004394224733207784
MILD,rho_zero,0.0020706451773676985,15,15,0,1735,0.0,0.0,0.20388330103584862,1.0,1697,1489,53,15,0,1735,0.00883912787271656,0.00883912787271656,1682,0.9911608721272834,0.008571428571428572,0.008571428571428572,0.004708097928436911
MILD,rho_zero,0.0020650022731246633,16,16,0,1734,0.0,0.0,0.1936076805344365,1.0,1697,1489,53,16,0,1734,0.009428403064230996,0.009428403064230996,1681,0.990571596935769,0.009142857142857144,0.009142857142857144,0.005021971123666039
MILD,rho_zero,0.002065002265534308,17,17,0,1733,0.0,0.0,0.1843181350088518,1.0,1697,1489,53,17,0,1733,0.010017678255745434,0.010017678255745434,1680,0.9899823217442546,0.009714285714285713,0.009714285714285713,0.0053358443188951665
MILD,rho_zero,0.002065002265164302,18,18,0,1732,0.0,0.0,0.17587922364665765,1.0,1697,1489,53,18,0,1732,0.01060695344725987,0.01060695344725987,1679,0.9893930465527401,0.010285714285714285,0.010285714285714285,0.005649717514124294
MILD,rho_zero,0.002065002255718497,19,19,0,1731,0.0,0.0,0.16817922405261626,1.0,1697,1489,53,19,0,1731,0.011196228638774307,0.011196228638774307,1678,0.9888037713612257,0.010857142857142857,0.010857142857142857,0.005963590709353421
MILD,rho_zero,0.0020650022544184076,20,20,0,1730,0.0,0.0,0.16112515805281938,1.0,1697,1489,53,20,0,1730,0.011785503830288745,0.011785503830288745,1677,0.9882144961697112,0.011428571428571429,0.011428571428571429,0.006277463904582548
MILD,rho_zero,0.0015808966316609998,21,21,0,1729,0.0,0.0,0.154639018924847,1.0,1697,1489,53,21,0,1729,0.012374779021803181,0.012374779021803181,1676,0.9876252209781968,0.012,0.012,0.006591337099811676
MILD,rho_zero,0.0015808966295934024,22,22,0,1728,0.0,0.0,0.14865487460862087,1.0,1697,1489,53,22,0,1728,0.01296405421331762,0.01296405421331762,1675,0.9870359457866824,0.012571428571428572,0.012571428571428572,0.006905210295040804
MILD,rho_zero,0.0015808966277790588,23,23,0,1727,0.0,0.0,0.14311661845042686,1.0,1697,1489,53,23,0,1727,0.013553329404832056,0.013553329404832056,1674,0.986446670595168,0.013142857142857144,0.013142857142857144,0.007219083490269931
