severity,score,threshold,N_retained,TP,FP,FN,FDR,FDR_lower95,FDR_upper95,precision,raw_solver_TP,raw_solver_FP,raw_solver_FN,filtered_TP,filtered_FP,filtered_FN,true_positive_retention,TP_retention,filter_induced_true_loss,filter_induced_true_loss_fraction,all_truth_recall,reportable_truth_recall,coverage
MILD,X_hat,0.06499968157379639,1,1,0,1749,0.0,0.0,0.7934506856227626,1.0,1697,1489,53,1,0,1749,0.0005892751915144372,0.0005892751915144372,1696,0.9994107248084856,0.0005714285714285715,0.0005714285714285715,0.00031387319522912746
MILD,X_hat,0.06308253281155396,2,2,0,1748,0.0,0.0,0.6576197724933469,1.0,1697,1489,53,2,0,1748,0.0011785503830288745,0.0011785503830288745,1695,0.9988214496169712,0.001142857142857143,0.001142857142857143,0.0006277463904582549
MILD,X_hat,0.06272241292992511,3,3,0,1747,0.0,5.551115123125783e-17,0.5614970317550454,1.0,1697,1489,53,3,0,1747,0.0017678255745433118,0.0017678255745433118,1694,0.9982321744254566,0.0017142857142857142,0.0017142857142857142,0.0009416195856873823
MILD,X_hat,0.0613241434787674,4,4,0,1746,0.0,0.0,0.4898908364545973,1.0,1697,1489,53,4,0,1746,0.002357100766057749,0.002357100766057749,1693,0.9976428992339422,0.002285714285714286,0.002285714285714286,0.0012554927809165098
MILD,X_hat,0.06010070744641212,5,5,0,1745,0.0,0.0,0.43448246478317476,1.0,1697,1489,53,5,0,1745,0.0029463759575721863,0.0029463759575721863,1692,0.9970536240424278,0.002857142857142857,0.002857142857142857,0.001569365976145637
MILD,X_hat,0.0598109056015695,6,6,0,1744,0.0,2.7755575615628914e-17,0.3903342879021653,1.0,1697,1489,53,6,0,1744,0.0035356511490866236,0.0035356511490866236,1691,0.9964643488509134,0.0034285714285714284,0.0034285714285714284,0.0018832391713747645
MILD,X_hat,0.059327890230273975,7,7,0,1743,0.0,5.551115123125783e-17,0.35433043506668743,1.0,1697,1489,53,7,0,1743,0.0041249263406010605,0.0041249263406010605,1690,0.995875073659399,0.004,0.004,0.002197112366603892
MILD,X_hat,0.05915721638696721,8,8,0,1742,0.0,0.0,0.32440756488388023,1.0,1697,1489,53,8,0,1742,0.004714201532115498,0.004714201532115498,1689,0.9952857984678845,0.004571428571428572,0.004571428571428572,0.0025109855618330196
MILD,X_hat,0.05893246464024324,9,9,0,1741,0.0,0.0,0.2991450484195441,1.0,1697,1489,53,9,0,1741,0.005303476723629935,0.005303476723629935,1688,0.99469652327637,0.005142857142857143,0.005142857142857143,0.002824858757062147
MILD,X_hat,0.05840931304577217,10,10,0,1740,0.0,0.0,0.2775327998628892,1.0,1697,1489,53,10,0,1740,0.0058927519151443725,0.0058927519151443725,1687,0.9941072480848556,0.005714285714285714,0.005714285714285714,0.003138731952291274
MILD,X_hat,0.058217559044247136,11,11,0,1739,0.0,0.0,0.2588329669680317,1.0,1697,1489,53,11,0,1739,0.00648202710665881,0.00648202710665881,1686,0.9935179728933412,0.006285714285714286,0.006285714285714286,0.003452605147520402
MILD,X_hat,0.05752335498412192,12,12,0,1738,0.0,2.7755575615628914e-17,0.24249400665524085,1.0,1697,1489,53,12,0,1738,0.007071302298173247,0.007071302298173247,1685,0.9929286977018268,0.006857142857142857,0.006857142857142857,0.003766478342749529
MILD,X_hat,0.05692300244127798,13,13,0,1737,0.0,0.0,0.22809537235419838,1.0,1697,1489,53,13,0,1737,0.0076605774896876845,0.0076605774896876845,1684,0.9923394225103123,0.0074285714285714285,0.0074285714285714285,0.004080351537978657
