dataset_id,split,replicate,complexity_condition,global_truth_K,candidate_index,candidate_id,lipid_name,X_hat,candidate_truth,molecular_truth,same_lipid_alternative_candidate,rho_zero,cone_isolation,max_fragment_cosine,max_full_cosine,lipid_class,collective_gain,pair_id,unit_id,role,spectral_score_CAL,spectral_score_HOLD,joint_hard_score,joint_easy_score,fragment_cosine,fragment_support_jaccard,full_cosine,parent_cosine,base_template_id,realized_spatial_correlation,abundance_multiplier,K,base_dataset_id,severity,rho_zero_status,raw_solver_reported,reportable_truth
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,3,PA-H__0080,PA 16:0_24:5,0.0038027610146146116,False,False,False,0.0,0.22923411741411742,0.9171280506076233,0.9158818256178151,PA,0.17221386365314145,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R2_K050,MODERATE,COMPUTED,True,False
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,7,PA-H__0119,PA 18:0_22:2,0.012084643113044798,True,True,False,7.437592385380157e-06,0.27393752390511106,0.8394493239810369,0.7712444256096473,PA,0.36260158405766385,B1_U95_U125,125,spectral_hard_spatial_low,0.7451149425287357,0.8009901477832513,0.7451149425287357,0.8009901477832513,0.0753246954491252,0.3018867924528302,0.08214312893707955,0.11319967071044161,102,-0.22838524714375422,0.6170676298438253,50,HOLD_R2_K050,MODERATE,COMPUTED,True,True
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,8,PA-H__0120,PA 18:0_22:3,0.0021144904379556233,False,False,False,2.791017490764806e-06,0.26685411549166754,0.7994055605507371,0.7822770241404187,PA,0.35607658490927657,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R2_K050,MODERATE,COMPUTED,True,False
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,9,PA-H__0121,PA 18:0_22:4,0.007621886979106009,True,True,False,0.0,0.18925162859522815,0.8691673191165914,0.8645836840369737,PA,0.31323723028330897,B2_U43_U133,133,spectral_hard_spatial_high,0.896121510673235,0.8493119868637111,0.8493119868637111,0.896121510673235,0.7986035117425145,0.41,0.7525372430626872,0.0,316,0.996582436906362,0.5,50,HOLD_R2_K050,MODERATE,COMPUTED,True,True
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,10,PA-H__0122,PA 18:0_22:5,0.0034731917625982927,False,False,False,0.0,0.13936661280823676,0.9374908882297373,0.9345818680853585,PA,0.21638151697754526,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R2_K050,MODERATE,COMPUTED,True,False
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,12,PA-H__0125,PA 18:0_24:1,0.014893425789909596,True,True,False,2.5428301605335302e-05,0.3334734584306543,0.8793255202210899,0.8305304488322932,PA,0.22349976674487387,B2_U43_U133,43,spectral_hard_spatial_high,0.896121510673235,0.8493119868637111,0.8493119868637111,0.896121510673235,0.7986035117425145,0.41,0.7525372430626872,0.0,316,0.996582436906362,0.689110922829001,50,HOLD_R2_K050,MODERATE,COMPUTED,True,True
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,14,PA-H__0129,PA 18:0_24:5,0.004318098448124453,False,False,False,0.0,0.1609179673339711,0.923167578011941,0.919680283971754,PA,0.23175005437601462,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R2_K050,MODERATE,COMPUTED,True,False
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,17,PA-H__0141,PA 18:1_22:1,0.028397729412292037,True,True,False,8.389481990099704e-05,0.46175873097333114,0.9022714644699661,0.6587714343940032,PA,0.2905844069806663,B1_U59_U80,59,spectral_hard_spatial_low,0.679983579638752,0.7071789819376026,0.679983579638752,0.7071789819376026,0.031175949260026654,0.07692307692307693,0.6587714343940032,0.9999999999999994,229,-0.20829698475144195,0.7303443264893795,50,HOLD_R2_K050,MODERATE,COMPUTED,True,True
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,27,PA-H__0163,PA 22:1_18:2,0.04652890133910366,True,True,False,0.00032657112986363997,0.3672416022212644,0.8804726866933393,0.607232220086111,PA,0.42728280324989093,B1_U95_U125,95,spectral_hard_spatial_low,0.7451149425287357,0.8009901477832513,0.7451149425287357,0.8009901477832513,0.0753246954491252,0.3018867924528302,0.08214312893707955,0.11319967071044161,248,-0.22838524714375422,2.0,50,HOLD_R2_K050,MODERATE,COMPUTED,True,True
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,28,PA-H__0164,PA 18:2_22:2,0.004810863106526119,False,False,False,2.3447322317742308e-05,0.47866516502254414,0.8685597534716455,0.7219248581633445,PA,0.21330629332370504,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R2_K050,MODERATE,COMPUTED,True,False
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,31,PA-H__0170,PA 24:1_18:2,0.003782768910076433,False,False,False,8.721013976033243e-06,0.416531063009088,0.7481851339902038,0.6386711778861706,PA,0.35294871355264307,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R2_K050,MODERATE,COMPUTED,True,False
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,35,PA-H__0197,PA 20:0_20:0,0.005777687983428744,False,False,False,0.0,0.30857219638826255,0.9341726466812952,0.8971732152464247,PA,0.13310667094001766,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R2_K050,MODERATE,COMPUTED,True,False
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,39,PA-H__0201,PA 20:0_20:4,0.0022112070278836873,True,True,False,8.33049443812404e-06,0.1645114953783594,0.8957566529041909,0.8619613486853611,PA,0.3424625013635971,B2_U23_U146,146,spectral_hard_spatial_low,0.6574581280788178,0.6583152709359607,0.6574581280788178,0.6583152709359607,0.03686160437306331,0.05925925925925926,0.03539255213324386,0.0,141,-0.4025547907021363,0.7303443264893795,50,HOLD_R2_K050,MODERATE,COMPUTED,True,True
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,41,PA-H__0204,PA 20:0_22:1,0.005199706217066049,False,False,False,0.0,0.3017443733307278,0.7600275012777736,0.7258338470317759,PA,0.3861256918000734,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R2_K050,MODERATE,COMPUTED,True,False
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,46,PA-H__0209,PA 20:0_22:6,0.001921501901644732,False,False,False,0.0,0.18342642508946627,0.9361340206999159,0.9226232034454928,PA,0.20227608263374897,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R2_K050,MODERATE,COMPUTED,True,False
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,47,PA-H__0217,PA 20:1_20:1,0.013205271168243415,True,True,False,2.6386965056567467e-05,0.4231895167566119,0.9753576763078726,0.6587714343940032,PA,0.3291536211973855,B1_U59_U80,80,spectral_hard_spatial_low,0.679983579638752,0.7071789819376026,0.679983579638752,0.7071789819376026,0.031175949260026654,0.07692307692307693,0.6587714343940032,0.9999999999999994,86,-0.20829698475144195,0.5,50,HOLD_R2_K050,MODERATE,COMPUTED,True,True
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,52,PA-H__0223,PA 20:1_22:1,0.01764132287236404,True,True,False,0.00011990133395801963,0.48292710886676304,0.8982874947005188,0.7105340184716673,PA,0.22073574264275386,B2_U60_U84,60,spectral_hard_spatial_low,0.8323037766830871,0.8063054187192118,0.8063054187192118,0.8323037766830871,0.42933444305322455,0.6511627906976745,0.3192878691885012,0.1211489568896669,390,-0.2325639304394289,0.7802037075442214,50,HOLD_R2_K050,MODERATE,COMPUTED,True,True
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,53,PA-H__0224,PA 20:1_22:2,0.0012656377666441895,False,False,False,5.47712758767921e-07,0.34352237197995034,0.9019786006016902,0.8163714083818836,PA,0.2340048772270285,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R2_K050,MODERATE,COMPUTED,True,False
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,54,PA-H__0225,PA 20:1_22:3,0.0017940524982791653,False,False,False,0.0,0.33476954438953394,0.8781031661032047,0.8136488404920164,PA,0.24658711409645712,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R2_K050,MODERATE,COMPUTED,True,False
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,60,PA-H__0241,PA 22:1_20:2,0.046549326983799835,True,True,False,0.00037966300281909964,0.43337633237958284,0.8789327040599717,0.709852279634953,PA,0.27097424872123554,B2_U60_U84,84,spectral_hard_spatial_low,0.8323037766830871,0.8063054187192118,0.8063054187192118,0.8323037766830871,0.42933444305322455,0.6511627906976745,0.3192878691885012,0.1211489568896669,145,-0.2325639304394289,2.0,50,HOLD_R2_K050,MODERATE,COMPUTED,True,True
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,64,PA-H__0258,PA 22:1_20:3,0.01641947100587246,True,True,False,0.0001406981919662108,0.47201880717776407,0.8266719825061805,0.6924512402766023,PA,0.24944586960093668,B1_U9_U37,37,spectral_easy_spatial_high,0.15578981937602626,0.15053530377668312,0.15053530377668312,0.15578981937602626,0.0,0.0,0.0,0.0,159,0.9959390505017323,0.5340342571614348,50,HOLD_R2_K050,MODERATE,COMPUTED,True,True
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,69,PA-H__0274,PA 22:1_20:4,0.0019077692308636814,False,False,False,2.3534901824724224e-05,0.4982506449670433,0.7912873858859593,0.6692801545595407,PA,0.24475949945411957,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R2_K050,MODERATE,COMPUTED,True,False
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,75,PA-H__0289,PA 22:1_20:5,0.0015994267298808846,False,False,False,7.225990808838782e-06,0.35373566324826666,0.8941830868357824,0.811451302003605,PA,0.2306843778836697,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R2_K050,MODERATE,COMPUTED,True,False
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,81,PA-H__0371,PA 22:6_22:6,0.056021071692806707,True,True,False,0.0026651612241346567,0.5618631902016936,0.691000163096786,0.6634502848656465,PA,0.18635717808006635,B2_U7_U22,7,spectral_easy_spatial_high,0.16836124794745483,0.15682101806239737,0.15682101806239737,0.16836124794745483,0.0,0.0,0.0,0.0,136,0.9833781955801629,2.0,50,HOLD_R2_K050,MODERATE,COMPUTED,True,True
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,87,PS-H__0045,PS 14:0_22:3,0.0012421618680588577,False,False,False,0.0,0.41601375018608094,0.6266366484273417,0.8392569801595195,PS,0.12772122317274553,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R2_K050,MODERATE,COMPUTED,True,False
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,95,PS-H__0065,PS 16:0_20:3,0.011816854296479412,True,True,False,0.00014037265703441062,0.31718607034211305,0.6379581944357362,0.8388893290291434,PS,0.2271159539431486,B2_U4_U74,74,spectral_hard_spatial_high,0.753344827586207,0.5892348111658455,0.5892348111658455,0.753344827586207,0.01665433679041212,0.07518796992481203,0.011413113317677605,0.0,237,0.9961806289925322,0.5,50,HOLD_R2_K050,MODERATE,COMPUTED,True,True
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,104,PS-H__0091,PS 16:1_20:4,0.06419514667276593,True,True,False,0.005092964346691863,0.6316414058973379,0.55604981646135,0.6553924750820541,PS,0.12364708441998395,B1_U3_U136,3,spectral_easy_spatial_high,0.20836124794745484,0.2082495894909688,0.2082495894909688,0.20836124794745484,0.0,0.0,0.0,0.0,141,0.9819920928165091,2.0,50,HOLD_R2_K050,MODERATE,COMPUTED,True,True
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,108,PS-H__0110,PS 18:0_18:3,0.06205966100208159,True,True,False,0.002429665485674171,0.5738266720137706,0.6379581944357362,0.5450127737114232,PS,0.264601068755451,B1_U18_U144,18,spectral_easy_spatial_low,0.20493267651888342,0.2025353037766831,0.2025353037766831,0.20493267651888342,0.0,0.0,0.0,0.0,260,-0.22266067809064802,2.0,50,HOLD_R2_K050,MODERATE,COMPUTED,True,True
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,111,PS-H__0133,PS 18:1_18:3,0.018233092199210637,True,True,False,0.00029456923270485046,0.6381277857367744,0.5253007492314473,0.484962105391494,PS,0.23640738012806917,B2_U23_U146,23,spectral_hard_spatial_low,0.6574581280788178,0.6583152709359607,0.6574581280788178,0.6583152709359607,0.03686160437306331,0.05925925925925926,0.03539255213324386,0.0,236,-0.4025547907021363,0.5340342571614348,50,HOLD_R2_K050,MODERATE,COMPUTED,True,True
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,113,PS-H__0456,PS 17:0_18:1,0.01694089482342507,True,True,False,0.0004637211098939021,0.6537549379034493,0.5358578664393875,0.5369671105815844,PS,0.1898482402281083,B2_U4_U74,4,spectral_hard_spatial_high,0.753344827586207,0.5892348111658455,0.5892348111658455,0.753344827586207,0.01665433679041212,0.07518796992481203,0.011413113317677605,0.0,237,0.9961806289925322,0.5,50,HOLD_R2_K050,MODERATE,COMPUTED,True,True
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,116,PE-H__0069,PE 16:0_22:1,0.026550227017171392,True,True,False,2.772576724012895e-05,0.20454583643989277,0.8508967724619106,0.8469294720807093,PE,0.32715941021570594,,151,singleton_control,,,,,,,,,109,,1.4538436095675817,50,HOLD_R2_K050,MODERATE,COMPUTED,True,True
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,117,PE-H__0070,PE 16:0_22:2,0.014716621056792006,True,True,False,1.680395416010232e-05,0.1886425381510025,0.8572487991575071,0.8549196417105,PE,0.3301179135196991,,112,singleton_control,,,,,,,,,133,,2.0,50,HOLD_R2_K050,MODERATE,COMPUTED,True,True
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,118,PE-H__0071,PE 16:0_22:3,0.0035346560779419937,False,False,False,0.0,0.17057139729731954,0.8795843067259717,0.8777723219286147,PE,0.3085066243818726,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R2_K050,MODERATE,COMPUTED,True,False
MODERATE__HOLD_R2_K050,HOLD,R2,K050,50,119,PE-H__0072,PE 16:0_22:4,0.0011708138360094675,False,False,False,0.0,0.15895469448868532,0.9923755383909935,0.9175531099957062,PE,0.2386585476665622,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,HOLD_R2_K050,MODERATE,COMPUTED,True,False
