severity,score,threshold,N_retained,TP,FP,FN,FDR,FDR_lower95,FDR_upper95,precision,raw_solver_TP,raw_solver_FP,raw_solver_FN,filtered_TP,filtered_FP,filtered_FN,true_positive_retention,TP_retention,filter_induced_true_loss,filter_induced_true_loss_fraction,all_truth_recall,reportable_truth_recall,coverage
MODERATE,rho_zero,0.010147782018410637,1,1,0,1749,0.0,0.0,0.7934506856227626,1.0,1694,1507,56,1,0,1749,0.0005903187721369539,0.0005903187721369539,1693,0.999409681227863,0.0005714285714285715,0.0005714285714285715,0.00031240237425804435
MODERATE,rho_zero,0.010147782016337708,2,2,0,1748,0.0,0.0,0.6576197724933469,1.0,1694,1507,56,2,0,1748,0.0011806375442739079,0.0011806375442739079,1692,0.9988193624557261,0.001142857142857143,0.001142857142857143,0.0006248047485160887
MODERATE,rho_zero,0.010147782016204128,3,3,0,1747,0.0,5.551115123125783e-17,0.5614970317550454,1.0,1694,1507,56,3,0,1747,0.0017709563164108619,0.0017709563164108619,1691,0.9982290436835891,0.0017142857142857142,0.0017142857142857142,0.0009372071227741331
MODERATE,rho_zero,0.010147782015070947,4,4,0,1746,0.0,0.0,0.4898908364545973,1.0,1694,1507,56,4,0,1746,0.0023612750885478157,0.0023612750885478157,1690,0.9976387249114522,0.002285714285714286,0.002285714285714286,0.0012496094970321774
MODERATE,rho_zero,0.010147781987287302,5,5,0,1745,0.0,0.0,0.43448246478317476,1.0,1694,1507,56,5,0,1745,0.0029515938606847697,0.0029515938606847697,1689,0.9970484061393152,0.002857142857142857,0.002857142857142857,0.001562011871290222
MODERATE,rho_zero,0.00418901259086114,6,6,0,1744,0.0,2.7755575615628914e-17,0.3903342879021653,1.0,1694,1507,56,6,0,1744,0.0035419126328217238,0.0035419126328217238,1688,0.9964580873671782,0.0034285714285714284,0.0034285714285714284,0.0018744142455482662
MODERATE,rho_zero,0.0041890125900486165,7,7,0,1743,0.0,5.551115123125783e-17,0.35433043506668743,1.0,1694,1507,56,7,0,1743,0.004132231404958678,0.004132231404958678,1687,0.9958677685950413,0.004,0.004,0.0021868166198063107
MODERATE,rho_zero,0.00418901258390897,8,8,0,1742,0.0,0.0,0.32440756488388023,1.0,1694,1507,56,8,0,1742,0.004722550177095631,0.004722550177095631,1686,0.9952774498229043,0.004571428571428572,0.004571428571428572,0.002499218994064355
MODERATE,rho_zero,0.004189012580354188,9,9,0,1741,0.0,0.0,0.2991450484195441,1.0,1694,1507,56,9,0,1741,0.005312868949232586,0.005312868949232586,1685,0.9946871310507674,0.005142857142857143,0.005142857142857143,0.0028116213683223993
MODERATE,rho_zero,0.004189012566274765,10,10,0,1740,0.0,0.0,0.2775327998628892,1.0,1694,1507,56,10,0,1740,0.0059031877213695395,0.0059031877213695395,1684,0.9940968122786304,0.005714285714285714,0.005714285714285714,0.003124023742580444
