severity,score,threshold,N_retained,TP,FP,FN,FDR,FDR_lower95,FDR_upper95,precision,raw_solver_TP,raw_solver_FP,raw_solver_FN,filtered_TP,filtered_FP,filtered_FN,true_positive_retention,TP_retention,filter_induced_true_loss,filter_induced_true_loss_fraction,all_truth_recall,reportable_truth_recall,coverage
MODERATE,X_hat,0.0647327778886764,1,1,0,1749,0.0,0.0,0.7934506856227626,1.0,1694,1507,56,1,0,1749,0.0005903187721369539,0.0005903187721369539,1693,0.999409681227863,0.0005714285714285715,0.0005714285714285715,0.00031240237425804435
MODERATE,X_hat,0.06365951684065674,2,2,0,1748,0.0,0.0,0.6576197724933469,1.0,1694,1507,56,2,0,1748,0.0011806375442739079,0.0011806375442739079,1692,0.9988193624557261,0.001142857142857143,0.001142857142857143,0.0006248047485160887
MODERATE,X_hat,0.06183136456836315,3,3,0,1747,0.0,5.551115123125783e-17,0.5614970317550454,1.0,1694,1507,56,3,0,1747,0.0017709563164108619,0.0017709563164108619,1691,0.9982290436835891,0.0017142857142857142,0.0017142857142857142,0.0009372071227741331
MODERATE,X_hat,0.06174425621225768,4,4,0,1746,0.0,0.0,0.4898908364545973,1.0,1694,1507,56,4,0,1746,0.0023612750885478157,0.0023612750885478157,1690,0.9976387249114522,0.002285714285714286,0.002285714285714286,0.0012496094970321774
MODERATE,X_hat,0.06155242634964483,5,5,0,1745,0.0,0.0,0.43448246478317476,1.0,1694,1507,56,5,0,1745,0.0029515938606847697,0.0029515938606847697,1689,0.9970484061393152,0.002857142857142857,0.002857142857142857,0.001562011871290222
MODERATE,X_hat,0.06125188302119648,6,6,0,1744,0.0,2.7755575615628914e-17,0.3903342879021653,1.0,1694,1507,56,6,0,1744,0.0035419126328217238,0.0035419126328217238,1688,0.9964580873671782,0.0034285714285714284,0.0034285714285714284,0.0018744142455482662
MODERATE,X_hat,0.06059760454872143,7,7,0,1743,0.0,5.551115123125783e-17,0.35433043506668743,1.0,1694,1507,56,7,0,1743,0.004132231404958678,0.004132231404958678,1687,0.9958677685950413,0.004,0.004,0.0021868166198063107
MODERATE,X_hat,0.060273292906167876,8,8,0,1742,0.0,0.0,0.32440756488388023,1.0,1694,1507,56,8,0,1742,0.004722550177095631,0.004722550177095631,1686,0.9952774498229043,0.004571428571428572,0.004571428571428572,0.002499218994064355
MODERATE,X_hat,0.06023549295903552,9,9,0,1741,0.0,0.0,0.2991450484195441,1.0,1694,1507,56,9,0,1741,0.005312868949232586,0.005312868949232586,1685,0.9946871310507674,0.005142857142857143,0.005142857142857143,0.0028116213683223993
MODERATE,X_hat,0.05897834932949012,10,10,0,1740,0.0,0.0,0.2775327998628892,1.0,1694,1507,56,10,0,1740,0.0059031877213695395,0.0059031877213695395,1684,0.9940968122786304,0.005714285714285714,0.005714285714285714,0.003124023742580444
MODERATE,X_hat,0.05855380271292134,11,11,0,1739,0.0,0.0,0.2588329669680317,1.0,1694,1507,56,11,0,1739,0.006493506493506494,0.006493506493506494,1683,0.9935064935064936,0.006285714285714286,0.006285714285714286,0.003436426116838488
MODERATE,X_hat,0.05810883375504096,12,12,0,1738,0.0,2.7755575615628914e-17,0.24249400665524085,1.0,1694,1507,56,12,0,1738,0.0070838252656434475,0.0070838252656434475,1682,0.9929161747343566,0.006857142857142857,0.006857142857142857,0.0037488284910965324
MODERATE,X_hat,0.05657709847612278,13,13,0,1737,0.0,0.0,0.22809537235419838,1.0,1694,1507,56,13,0,1737,0.007674144037780401,0.007674144037780401,1681,0.9923258559622196,0.0074285714285714285,0.0074285714285714285,0.004061230865354577
MODERATE,X_hat,0.05622465168423406,14,14,0,1736,0.0,1.3877787807814457e-17,0.2153108027376358,1.0,1694,1507,56,14,0,1736,0.008264462809917356,0.008264462809917356,1680,0.9917355371900827,0.008,0.008,0.0043736332396126214
