severity,protocol,score,target,threshold,threshold_available,calibration_status,primary_rho_result,K,N_retained,TP,FP,FN,raw_solver_TP,raw_solver_FP,raw_solver_FN,filtered_TP,filtered_FP,filtered_FN,true_positive_retention,TP_retention,filter_induced_true_loss,filter_induced_true_loss_fraction,precision,FDR,FDR_lower95,FDR_upper95,coverage,all_truth_recall,reportable_truth_recall
MILD,CLEAN_FIXED,rho_zero,FDR5,1.272651000158792e-20,True,AVAILABLE,True,50,464,235,229,15,247,410,3,235,229,15,0.951417004048583,0.951417004048583,12,0.048582995951417005,0.5064655172413793,0.49353448275862066,0.4482839698062857,0.5388911727834187,0.7062404870624048,0.94,0.94
MILD,CLEAN_FIXED,rho_zero,FDR5,1.272651000158792e-20,True,AVAILABLE,True,125,839,529,310,96,606,595,19,529,310,96,0.8729372937293729,0.8729372937293729,77,0.12706270627062707,0.6305125148986889,0.3694874851013111,0.33749158843908067,0.4026730680238023,0.6985845129059117,0.8464,0.8464
MILD,CLEAN_FIXED,rho_zero,FDR5,1.272651000158792e-20,True,AVAILABLE,True,175,944,648,296,227,827,509,48,648,296,227,0.7835550181378477,0.7835550181378477,179,0.21644498186215236,0.6864406779661016,0.3135593220338983,0.2847699591474845,0.34385991695230245,0.7065868263473054,0.7405714285714285,0.7405714285714285
MILD,CLEAN_FIXED,rho_zero,FDR1,6.683949277609072e-20,True,AVAILABLE,True,50,464,235,229,15,247,410,3,235,229,15,0.951417004048583,0.951417004048583,12,0.048582995951417005,0.5064655172413793,0.49353448275862066,0.4482839698062857,0.5388911727834187,0.7062404870624048,0.94,0.94
MILD,CLEAN_FIXED,rho_zero,FDR1,6.683949277609072e-20,True,AVAILABLE,True,125,839,529,310,96,606,595,19,529,310,96,0.8729372937293729,0.8729372937293729,77,0.12706270627062707,0.6305125148986889,0.3694874851013111,0.33749158843908067,0.4026730680238023,0.6985845129059117,0.8464,0.8464
MILD,CLEAN_FIXED,rho_zero,FDR1,6.683949277609072e-20,True,AVAILABLE,True,175,944,648,296,227,827,509,48,648,296,227,0.7835550181378477,0.7835550181378477,179,0.21644498186215236,0.6864406779661016,0.3135593220338983,0.2847699591474845,0.34385991695230245,0.7065868263473054,0.7405714285714285,0.7405714285714285
MILD,LOCAL_CAL_RECALIBRATION,rho_zero,FDR5,1.7543740552697457e-05,True,AVAILABLE,True,50,150,135,15,115,247,410,3,135,15,115,0.5465587044534413,0.5465587044534413,112,0.4534412955465587,0.9,0.1,0.061541383826314106,0.15843481166814719,0.228310502283105,0.54,0.54
MILD,LOCAL_CAL_RECALIBRATION,rho_zero,FDR5,1.7543740552697457e-05,True,AVAILABLE,True,125,125,125,0,500,606,595,19,125,0,500,0.20627062706270627,0.20627062706270627,481,0.7937293729372937,1.0,0.0,1.734723475976807e-18,0.029815393708326456,0.10407993338884262,0.2,0.2
MILD,LOCAL_CAL_RECALIBRATION,rho_zero,FDR5,1.7543740552697457e-05,True,AVAILABLE,True,175,110,110,0,765,827,509,48,110,0,765,0.13301088270858524,0.13301088270858524,717,0.8669891172914147,1.0,0.0,0.0,0.033743935298164184,0.08233532934131736,0.12571428571428572,0.12571428571428572
MILD,LOCAL_CAL_RECALIBRATION,rho_zero,FDR1,3.855433800025021e-05,True,AVAILABLE,True,50,110,105,5,145,247,410,3,105,5,145,0.4251012145748988,0.4251012145748988,142,0.5748987854251012,0.9545454545454546,0.045454545454545456,0.019569460659234733,0.10201593506636907,0.167427701674277,0.42,0.42
MILD,LOCAL_CAL_RECALIBRATION,rho_zero,FDR1,3.855433800025021e-05,True,AVAILABLE,True,125,80,80,0,545,606,595,19,80,0,545,0.132013201320132,0.132013201320132,526,0.8679867986798679,1.0,0.0,0.0,0.0458181295355271,0.06661115736885928,0.128,0.128
MILD,LOCAL_CAL_RECALIBRATION,rho_zero,FDR1,3.855433800025021e-05,True,AVAILABLE,True,175,75,75,0,800,827,509,48,75,0,800,0.09068923821039904,0.09068923821039904,752,0.909310761789601,1.0,0.0,3.469446951953614e-18,0.04872384248280587,0.0561377245508982,0.08571428571428572,0.08571428571428572
MILD,LOCAL_CAL_RECALIBRATION,X_hat,FDR5,0.017037398650412646,True,AVAILABLE,False,50,176,159,17,91,247,410,3,159,17,91,0.6437246963562753,0.6437246963562753,88,0.3562753036437247,0.9034090909090909,0.09659090909090909,0.06118317119797047,0.14923248639755032,0.2678843226788432,0.636,0.636
MILD,LOCAL_CAL_RECALIBRATION,X_hat,FDR5,0.017037398650412646,True,AVAILABLE,False,125,213,205,8,420,606,595,19,205,8,420,0.33828382838283827,0.33828382838283827,401,0.6617161716171617,0.9624413145539906,0.03755868544600939,0.019152270212671907,0.07234987577270906,0.17735220649458786,0.328,0.328
MILD,LOCAL_CAL_RECALIBRATION,X_hat,FDR5,0.017037398650412646,True,AVAILABLE,False,175,160,156,4,719,827,509,48,156,4,719,0.18863361547763,0.18863361547763,671,0.81136638452237,0.975,0.025,0.009763992546262524,0.06250989286666742,0.11976047904191617,0.1782857142857143,0.1782857142857143
MILD,LOCAL_CAL_RECALIBRATION,X_hat,FDR1,0.041894897668548994,True,AVAILABLE,False,50,61,61,0,189,247,410,3,61,0,189,0.24696356275303644,0.24696356275303644,186,0.7530364372469636,1.0,0.0,0.0,0.05924386789811283,0.0928462709284627,0.244,0.244
MILD,LOCAL_CAL_RECALIBRATION,X_hat,FDR1,0.041894897668548994,True,AVAILABLE,False,125,0,0,0,625,606,595,19,0,0,625,0.0,0.0,606,1.0,,,,,0.0,0.0,0.0
MILD,LOCAL_CAL_RECALIBRATION,X_hat,FDR1,0.041894897668548994,True,AVAILABLE,False,175,0,0,0,875,827,509,48,0,0,875,0.0,0.0,827,1.0,,,,,0.0,0.0,0.0
MODERATE,CLEAN_FIXED,rho_zero,FDR5,1.272651000158792e-20,True,AVAILABLE,True,50,422,217,205,33,248,397,2,217,205,33,0.875,0.875,31,0.125,0.514218009478673,0.48578199052132703,0.43844015959418864,0.5333803389706242,0.6542635658914728,0.868,0.868
MODERATE,CLEAN_FIXED,rho_zero,FDR5,1.272651000158792e-20,True,AVAILABLE,True,125,781,472,309,153,602,559,23,472,309,153,0.7840531561461794,0.7840531561461794,130,0.2159468438538206,0.6043533930857875,0.39564660691421255,0.3619433025553517,0.4303714405458545,0.6726959517657192,0.7552,0.7552
MODERATE,CLEAN_FIXED,rho_zero,FDR5,1.272651000158792e-20,True,AVAILABLE,True,175,894,607,287,268,824,517,51,607,287,268,0.7366504854368932,0.7366504854368932,217,0.2633495145631068,0.6789709172259508,0.32102908277404923,0.29124683685662633,0.3523428004270909,0.6666666666666666,0.6937142857142857,0.6937142857142857
MODERATE,CLEAN_FIXED,rho_zero,FDR1,6.683949277609072e-20,True,AVAILABLE,True,50,422,217,205,33,248,397,2,217,205,33,0.875,0.875,31,0.125,0.514218009478673,0.48578199052132703,0.43844015959418864,0.5333803389706242,0.6542635658914728,0.868,0.868
MODERATE,CLEAN_FIXED,rho_zero,FDR1,6.683949277609072e-20,True,AVAILABLE,True,125,781,472,309,153,602,559,23,472,309,153,0.7840531561461794,0.7840531561461794,130,0.2159468438538206,0.6043533930857875,0.39564660691421255,0.3619433025553517,0.4303714405458545,0.6726959517657192,0.7552,0.7552
MODERATE,CLEAN_FIXED,rho_zero,FDR1,6.683949277609072e-20,True,AVAILABLE,True,175,894,607,287,268,824,517,51,607,287,268,0.7366504854368932,0.7366504854368932,217,0.2633495145631068,0.6789709172259508,0.32102908277404923,0.29124683685662633,0.3523428004270909,0.6666666666666666,0.6937142857142857,0.6937142857142857
MODERATE,LOCAL_CAL_RECALIBRATION,rho_zero,FDR5,4.478954306205769e-05,True,AVAILABLE,True,50,125,105,20,145,248,397,2,105,20,145,0.42338709677419356,0.42338709677419356,143,0.5766129032258065,0.84,0.16,0.10602832321068616,0.2342461445109758,0.1937984496124031,0.42,0.42
MODERATE,LOCAL_CAL_RECALIBRATION,rho_zero,FDR5,4.478954306205769e-05,True,AVAILABLE,True,125,91,80,11,545,602,559,23,80,11,545,0.132890365448505,0.132890365448505,522,0.867109634551495,0.8791208791208791,0.12087912087912088,0.06885508485107264,0.20361498406203435,0.07838070628768304,0.128,0.128
MODERATE,LOCAL_CAL_RECALIBRATION,rho_zero,FDR5,4.478954306205769e-05,True,AVAILABLE,True,175,90,85,5,790,824,517,51,85,5,790,0.10315533980582524,0.10315533980582524,739,0.8968446601941747,0.9444444444444444,0.05555555555555555,0.023960971616961965,0.12353736221799518,0.06711409395973154,0.09714285714285714,0.09714285714285714
MODERATE,LOCAL_CAL_RECALIBRATION,rho_zero,FDR1,0.0001306209674573362,True,AVAILABLE,True,50,80,80,0,170,248,397,2,80,0,170,0.3225806451612903,0.3225806451612903,168,0.6774193548387096,1.0,0.0,0.0,0.0458181295355271,0.12403100775193798,0.32,0.32
MODERATE,LOCAL_CAL_RECALIBRATION,rho_zero,FDR1,0.0001306209674573362,True,AVAILABLE,True,125,40,35,5,590,602,559,23,35,5,590,0.05813953488372093,0.05813953488372093,567,0.9418604651162791,0.875,0.125,0.05459500250945401,0.261121198388511,0.034453057708871665,0.056,0.056
MODERATE,LOCAL_CAL_RECALIBRATION,rho_zero,FDR1,0.0001306209674573362,True,AVAILABLE,True,175,30,30,0,845,824,517,51,30,0,845,0.03640776699029126,0.03640776699029126,794,0.9635922330097088,1.0,0.0,0.0,0.11351339317396876,0.02237136465324385,0.03428571428571429,0.03428571428571429
MODERATE,LOCAL_CAL_RECALIBRATION,X_hat,FDR5,0.020781507786842852,True,AVAILABLE,False,50,137,130,7,120,248,397,2,130,7,120,0.5241935483870968,0.5241935483870968,118,0.47580645161290325,0.948905109489051,0.051094890510948905,0.02496794443140947,0.10170966150995021,0.2124031007751938,0.52,0.52
MODERATE,LOCAL_CAL_RECALIBRATION,X_hat,FDR5,0.020781507786842852,True,AVAILABLE,False,125,134,129,5,496,602,559,23,129,5,496,0.21428571428571427,0.21428571428571427,473,0.7857142857142857,0.9626865671641791,0.03731343283582089,0.016041511340777796,0.08437427748730814,0.11541774332472007,0.2064,0.2064
MODERATE,LOCAL_CAL_RECALIBRATION,X_hat,FDR5,0.020781507786842852,True,AVAILABLE,False,175,66,66,0,809,824,517,51,66,0,809,0.08009708737864078,0.08009708737864078,758,0.9199029126213593,1.0,0.0,0.0,0.05500255701354129,0.049217002237136466,0.07542857142857143,0.07542857142857143
MODERATE,LOCAL_CAL_RECALIBRATION,X_hat,FDR1,0.04340107645825854,True,AVAILABLE,False,50,50,50,0,200,248,397,2,50,0,200,0.20161290322580644,0.20161290322580644,198,0.7983870967741935,1.0,0.0,6.938893903907228e-18,0.07134759913335872,0.07751937984496124,0.2,0.2
MODERATE,LOCAL_CAL_RECALIBRATION,X_hat,FDR1,0.04340107645825854,True,AVAILABLE,False,125,0,0,0,625,602,559,23,0,0,625,0.0,0.0,602,1.0,,,,,0.0,0.0,0.0
MODERATE,LOCAL_CAL_RECALIBRATION,X_hat,FDR1,0.04340107645825854,True,AVAILABLE,False,175,0,0,0,875,824,517,51,0,0,875,0.0,0.0,824,1.0,,,,,0.0,0.0,0.0
