severity,protocol,score,target,threshold,threshold_available,calibration_status,primary_rho_result,replicate,N_retained,TP,FP,FN,raw_solver_TP,raw_solver_FP,raw_solver_FN,filtered_TP,filtered_FP,filtered_FN,true_positive_retention,TP_retention,filter_induced_true_loss,filter_induced_true_loss_fraction,precision,FDR,FDR_lower95,FDR_upper95,coverage,all_truth_recall,reportable_truth_recall
MILD,CLEAN_FIXED,rho_zero,FDR5,1.272651000158792e-20,True,AVAILABLE,True,R1,476,289,187,61,334,312,16,289,187,61,0.8652694610778443,0.8652694610778443,45,0.1347305389221557,0.6071428571428571,0.39285714285714285,0.35000843495009115,0.43742135435847496,0.7368421052631579,0.8257142857142857,0.8257142857142857
MILD,CLEAN_FIXED,rho_zero,FDR5,1.272651000158792e-20,True,AVAILABLE,True,R2,442,286,156,64,341,310,9,286,156,64,0.8387096774193549,0.8387096774193549,55,0.16129032258064516,0.6470588235294118,0.35294117647058826,0.3098312567536728,0.3985852724227164,0.6789554531490015,0.8171428571428572,0.8171428571428572
MILD,CLEAN_FIXED,rho_zero,FDR5,1.272651000158792e-20,True,AVAILABLE,True,R3,433,274,159,76,331,307,19,274,159,76,0.8277945619335347,0.8277945619335347,57,0.17220543806646527,0.6327944572748267,0.3672055427251732,0.32315471285272934,0.41359188553457504,0.6786833855799373,0.7828571428571428,0.7828571428571428
MILD,CLEAN_FIXED,rho_zero,FDR5,1.272651000158792e-20,True,AVAILABLE,True,R4,435,276,159,74,337,290,13,276,159,74,0.8189910979228486,0.8189910979228486,61,0.18100890207715134,0.6344827586206897,0.36551724137931035,0.32162251002842446,0.4117663992272872,0.69377990430622,0.7885714285714286,0.7885714285714286
MILD,CLEAN_FIXED,rho_zero,FDR5,1.272651000158792e-20,True,AVAILABLE,True,R5,461,287,174,63,337,295,13,287,174,63,0.8516320474777448,0.8516320474777448,50,0.14836795252225518,0.6225596529284165,0.3774403470715835,0.3343748665468824,0.42253149828838477,0.7294303797468354,0.82,0.82
MILD,CLEAN_FIXED,rho_zero,FDR1,6.683949277609072e-20,True,AVAILABLE,True,R1,476,289,187,61,334,312,16,289,187,61,0.8652694610778443,0.8652694610778443,45,0.1347305389221557,0.6071428571428571,0.39285714285714285,0.35000843495009115,0.43742135435847496,0.7368421052631579,0.8257142857142857,0.8257142857142857
MILD,CLEAN_FIXED,rho_zero,FDR1,6.683949277609072e-20,True,AVAILABLE,True,R2,442,286,156,64,341,310,9,286,156,64,0.8387096774193549,0.8387096774193549,55,0.16129032258064516,0.6470588235294118,0.35294117647058826,0.3098312567536728,0.3985852724227164,0.6789554531490015,0.8171428571428572,0.8171428571428572
MILD,CLEAN_FIXED,rho_zero,FDR1,6.683949277609072e-20,True,AVAILABLE,True,R3,433,274,159,76,331,307,19,274,159,76,0.8277945619335347,0.8277945619335347,57,0.17220543806646527,0.6327944572748267,0.3672055427251732,0.32315471285272934,0.41359188553457504,0.6786833855799373,0.7828571428571428,0.7828571428571428
MILD,CLEAN_FIXED,rho_zero,FDR1,6.683949277609072e-20,True,AVAILABLE,True,R4,435,276,159,74,337,290,13,276,159,74,0.8189910979228486,0.8189910979228486,61,0.18100890207715134,0.6344827586206897,0.36551724137931035,0.32162251002842446,0.4117663992272872,0.69377990430622,0.7885714285714286,0.7885714285714286
MILD,CLEAN_FIXED,rho_zero,FDR1,6.683949277609072e-20,True,AVAILABLE,True,R5,461,287,174,63,337,295,13,287,174,63,0.8516320474777448,0.8516320474777448,50,0.14836795252225518,0.6225596529284165,0.3774403470715835,0.3343748665468824,0.42253149828838477,0.7294303797468354,0.82,0.82
