severity,protocol,analysis,split,K,role,target,global_rho_threshold,raw_solver_TP,raw_solver_FP,raw_solver_FN,filtered_TP,filtered_FP,filtered_FN,true_positive_retention,TP_retention,filter_induced_true_loss,filter_induced_true_loss_fraction,all_truth_recall,reportable_truth_recall,median_true_rho,median_false_rho,FDR,precision,FDR_scope,truth_count,solver_FN,category_FP,category_FDR,threshold_available
MILD,CLEAN_FIXED,SECONDARY_NO_CATEGORY_CALIBRATION,CAL,GLOBAL,spectral_hard_spatial_high,FDR5,"{""FDR"": 0.04991394148020654, ""FP"": 174, ""N_retained"": 3486, ""TP"": 3312, ""precision"": 0.9500860585197934, ""threshold"": 1.272651000158792e-20}",269,,11,181,,99,0.6728624535315985,0.6728624535315985,88,0.3271375464684015,0.6464285714285715,0.6464285714285715,4.0456562488366843e-07,,,,NOT_APPLICABLE: truth roles do not assign false positives; see global FDR and unassigned FP counts,280,11,,,True
MILD,CLEAN_FIXED,SECONDARY_NO_CATEGORY_CALIBRATION,CAL,GLOBAL,spectral_hard_spatial_high,FDR1,"{""FDR"": 0.009865470852017937, ""FP"": 33, ""N_retained"": 3345, ""TP"": 3312, ""precision"": 0.9901345291479821, ""threshold"": 6.683949277609072e-20}",269,,11,181,,99,0.6728624535315985,0.6728624535315985,88,0.3271375464684015,0.6464285714285715,0.6464285714285715,4.0456562488366843e-07,,,,NOT_APPLICABLE: truth roles do not assign false positives; see global FDR and unassigned FP counts,280,11,,,True
MILD,CLEAN_FIXED,SECONDARY_NO_CATEGORY_CALIBRATION,CAL,GLOBAL,spectral_hard_spatial_low,FDR5,"{""FDR"": 0.04991394148020654, ""FP"": 174, ""N_retained"": 3486, ""TP"": 3312, ""precision"": 0.9500860585197934, ""threshold"": 1.272651000158792e-20}",271,,9,195,,85,0.7195571955719557,0.7195571955719557,76,0.28044280442804426,0.6964285714285714,0.6964285714285714,6.794003442151664e-07,,,,NOT_APPLICABLE: truth roles do not assign false positives; see global FDR and unassigned FP counts,280,9,,,True
MILD,CLEAN_FIXED,SECONDARY_NO_CATEGORY_CALIBRATION,CAL,GLOBAL,spectral_hard_spatial_low,FDR1,"{""FDR"": 0.009865470852017937, ""FP"": 33, ""N_retained"": 3345, ""TP"": 3312, ""precision"": 0.9901345291479821, ""threshold"": 6.683949277609072e-20}",271,,9,195,,85,0.7195571955719557,0.7195571955719557,76,0.28044280442804426,0.6964285714285714,0.6964285714285714,6.794003442151664e-07,,,,NOT_APPLICABLE: truth roles do not assign false positives; see global FDR and unassigned FP counts,280,9,,,True
MILD,CLEAN_FIXED,SECONDARY_NO_CATEGORY_CALIBRATION,CAL,GLOBAL,spectral_easy_spatial_high,FDR5,"{""FDR"": 0.04991394148020654, ""FP"": 174, ""N_retained"": 3486, ""TP"": 3312, ""precision"": 0.9500860585197934, ""threshold"": 1.272651000158792e-20}",269,,11,242,,38,0.8996282527881041,0.8996282527881041,27,0.10037174721189591,0.8642857142857143,0.8642857142857143,2.30082238348098e-06,,,,NOT_APPLICABLE: truth roles do not assign false positives; see global FDR and unassigned FP counts,280,11,,,True
MILD,CLEAN_FIXED,SECONDARY_NO_CATEGORY_CALIBRATION,CAL,GLOBAL,spectral_easy_spatial_high,FDR1,"{""FDR"": 0.009865470852017937, ""FP"": 33, ""N_retained"": 3345, ""TP"": 3312, ""precision"": 0.9901345291479821, ""threshold"": 6.683949277609072e-20}",269,,11,242,,38,0.8996282527881041,0.8996282527881041,27,0.10037174721189591,0.8642857142857143,0.8642857142857143,2.30082238348098e-06,,,,NOT_APPLICABLE: truth roles do not assign false positives; see global FDR and unassigned FP counts,280,11,,,True
MILD,CLEAN_FIXED,SECONDARY_NO_CATEGORY_CALIBRATION,CAL,GLOBAL,spectral_easy_spatial_low,FDR5,"{""FDR"": 0.04991394148020654, ""FP"": 174, ""N_retained"": 3486, ""TP"": 3312, ""precision"": 0.9500860585197934, ""threshold"": 1.272651000158792e-20}",273,,7,252,,28,0.9230769230769231,0.9230769230769231,21,0.07692307692307693,0.9,0.9,5.742853470346761e-06,,,,NOT_APPLICABLE: truth roles do not assign false positives; see global FDR and unassigned FP counts,280,7,,,True
MILD,CLEAN_FIXED,SECONDARY_NO_CATEGORY_CALIBRATION,CAL,GLOBAL,spectral_easy_spatial_low,FDR1,"{""FDR"": 0.009865470852017937, ""FP"": 33, ""N_retained"": 3345, ""TP"": 3312, ""precision"": 0.9901345291479821, ""threshold"": 6.683949277609072e-20}",273,,7,252,,28,0.9230769230769231,0.9230769230769231,21,0.07692307692307693,0.9,0.9,5.742853470346761e-06,,,,NOT_APPLICABLE: truth roles do not assign false positives; see global FDR and unassigned FP counts,280,7,,,True
MILD,CLEAN_FIXED,SECONDARY_NO_CATEGORY_CALIBRATION,CAL,GLOBAL,singleton_control,FDR5,"{""FDR"": 0.04991394148020654, ""FP"": 174, ""N_retained"": 3486, ""TP"": 3312, ""precision"": 0.9500860585197934, ""threshold"": 1.272651000158792e-20}",615,,15,464,,166,0.7544715447154472,0.7544715447154472,151,0.24552845528455283,0.7365079365079366,0.7365079365079366,1.3379836489586428e-06,,,,NOT_APPLICABLE: truth roles do not assign false positives; see global FDR and unassigned FP counts,630,15,,,True
MILD,CLEAN_FIXED,SECONDARY_NO_CATEGORY_CALIBRATION,CAL,GLOBAL,singleton_control,FDR1,"{""FDR"": 0.009865470852017937, ""FP"": 33, ""N_retained"": 3345, ""TP"": 3312, ""precision"": 0.9901345291479821, ""threshold"": 6.683949277609072e-20}",615,,15,464,,166,0.7544715447154472,0.7544715447154472,151,0.24552845528455283,0.7365079365079366,0.7365079365079366,1.3379836489586428e-06,,,,NOT_APPLICABLE: truth roles do not assign false positives; see global FDR and unassigned FP counts,630,15,,,True
