domain,split,K,true_n,false_n,true_min,true_max,true_q01,true_q05,true_median,true_q95,false_min,false_max,false_median,false_q95,false_q99,false_exact_zero_count,false_exact_zero_fraction,log_gap_q05_q95,log_gap_definition,AUROC_rho,AUPRC,AUPRC_definition
MILD,CAL,GLOBAL,1697,1489,0.0,0.010111808517866649,0.0,0.0,1.537027909716445e-06,0.00031538707898998375,0.0,3.855433815127721e-05,6.806666092112934e-19,6.07421014614215e-06,1.8564222980767572e-05,698,0.46877098723975824,-INF,exactly zero true q05 / positive false q95,0.7370621643773055,0.7892889636395086,average precision; tied score groups retained together
MILD,CAL,50,248,389,0.0,0.010111808517866649,0.0,6.594593576907929e-08,3.9232512099287014e-05,0.00206500226185827,0.0,3.293073589288921e-05,5.29079238377218e-09,5.018529003592672e-06,3.293073273878334e-05,162,0.41645244215938304,-1.8813884031610382,log10(q05_true)-log10(q95_false); no epsilon,0.9245014097354672,0.9222139108690488,average precision; tied score groups retained together
MILD,CAL,125,615,548,0.0,0.002070645187778572,0.0,0.0,1.7264947303176685e-06,0.0001292101368476321,0.0,3.855433815127721e-05,5.234724854116126e-19,9.871699636662506e-06,2.295114904388444e-05,264,0.48175182481751827,-INF,exactly zero true q05 / positive false q95,0.7301970209483116,0.7780802508526387,average precision; tied score groups retained together
MILD,CAL,175,834,552,0.0,0.0010487487683556239,0.0,0.0,6.719488781702054e-07,6.762303954375091e-05,0.0,1.437226403020256e-05,3.3241206443345175e-19,3.4367108013759613e-06,1.0953056794169707e-05,272,0.4927536231884058,-INF,exactly zero true q05 / positive false q95,0.7090251711674139,0.7970503185501523,average precision; tied score groups retained together
MILD,HOLD,GLOBAL,1680,1514,0.0,0.004864130805827629,0.0,0.0,1.1997943864869047e-06,0.0002524799760956185,0.0,4.230915419253352e-05,4.1721373696997036e-19,3.8015170217439606e-06,1.4835192097250915e-05,679,0.4484808454425363,-INF,exactly zero true q05 / positive false q95,0.763472471220985,0.8026260797691283,average precision; tied score groups retained together
MILD,HOLD,50,247,410,0.0,0.004864130805827629,0.0,1.7313053049649605e-18,2.2952175664937247e-05,0.0025215283972120006,0.0,4.230915419253352e-05,2.1842747145767825e-09,1.0414032227692502e-05,4.039619664631499e-05,181,0.44146341463414634,-12.779245257557083,log10(q05_true)-log10(q95_false); no epsilon,0.9183667423718772,0.9002520479157453,average precision; tied score groups retained together
MILD,HOLD,125,606,595,0.0,0.0020972087187443446,0.0,0.0,1.355230484362935e-06,0.000157634364721118,0.0,9.019388684340064e-06,3.3275051776600705e-19,2.4212389960138056e-06,8.450810981508982e-06,285,0.4789915966386555,-INF,exactly zero true q05 / positive false q95,0.8115123277033586,0.8305086673040692,average precision; tied score groups retained together
MILD,HOLD,175,827,509,0.0,0.0010765693863895194,0.0,0.0,4.366598762635817e-07,6.29727382304322e-05,0.0,5.955867037938941e-06,4.299549258531641e-19,1.4131196187867063e-06,3.8047287331450393e-06,213,0.41846758349705304,-INF,exactly zero true q05 / positive false q95,0.7071515620879787,0.8163429062610603,average precision; tied score groups retained together
MODERATE,CAL,GLOBAL,1694,1507,0.0,0.010147782018410637,0.0,0.0,1.68731421127018e-06,0.0003410992858865873,0.0,0.0001306209674573362,7.069963197427562e-19,1.5450211589193655e-05,4.478954304684879e-05,737,0.48905109489051096,-INF,exactly zero true q05 / positive false q95,0.6955945062357561,0.741718250291957,average precision; tied score groups retained together
MODERATE,CAL,50,250,400,0.0,0.010147782018410637,0.0,0.0,4.870004140569122e-05,0.0019041904904103426,0.0,0.0001306209674573362,6.811587422164498e-10,2.4120289613569274e-05,0.00013062096274328783,176,0.44,-INF,exactly zero true q05 / positive false q95,0.852985,0.8324218212264781,average precision; tied score groups retained together
MODERATE,CAL,125,609,560,0.0,0.0020791419027169963,0.0,0.0,2.3712855362527e-06,0.0001467104494864759,0.0,6.673841641814107e-05,0.0,1.545021159341903e-05,4.6581316493491205e-05,289,0.5160714285714286,-INF,exactly zero true q05 / positive false q95,0.7109312690593479,0.745825294082179,average precision; tied score groups retained together
MODERATE,CAL,175,835,547,0.0,0.0010682186775397967,0.0,0.0,4.2816457181530685e-07,7.190155208231185e-05,0.0,2.2806220367469523e-05,3.4825697717848595e-19,9.178537561229431e-06,2.257493857831967e-05,272,0.49725776965265084,-INF,exactly zero true q05 / positive false q95,0.6615277671348345,0.7611710229523059,average precision; tied score groups retained together
MODERATE,HOLD,GLOBAL,1674,1473,0.0,0.005092964354608662,0.0,0.0,2.0839272877249773e-06,0.0002704824399255267,0.0,0.0003988464961578596,1.6052317855342068e-18,2.1084847088122947e-05,7.646034651400054e-05,672,0.45621181262729127,-INF,exactly zero true q05 / positive false q95,0.70084195730233,0.7390571221059049,average precision; tied score groups retained together
MODERATE,HOLD,50,248,397,0.0,0.005092964354608662,0.0,0.0,2.7725767030515468e-05,0.002429665486980046,0.0,8.670529028166729e-05,2.333682054118982e-18,3.5134510272117806e-05,8.670528909670463e-05,192,0.4836272040302267,-INF,exactly zero true q05 / positive false q95,0.8303404566506866,0.801197861905918,average precision; tied score groups retained together
MODERATE,HOLD,125,602,559,0.0,0.0021908790014071025,0.0,0.0,2.55110318611708e-06,0.00018126100067835662,0.0,0.0003988464961578596,1.8074519823239723e-18,2.1319765470057458e-05,5.094047800091775e-05,250,0.4472271914132379,-INF,exactly zero true q05 / positive false q95,0.7083930131523425,0.725147131975157,average precision; tied score groups retained together
MODERATE,HOLD,175,824,517,0.0,0.001173440653645937,0.0,0.0,9.05952830471432e-07,7.31900134635815e-05,0.0,0.00010095089836141701,1.0568249297767346e-18,5.922849405768445e-06,1.6082442151060017e-05,230,0.4448742746615087,-INF,exactly zero true q05 / positive false q95,0.6740894537191789,0.7826306073807684,average precision; tied score groups retained together
