severity,candidate_index,candidate_id,lipid_name,fragment_nonzero_count,protected_fragment_channel,requested_dropout_rate,dropped_fragment_count,dropped_fragment_channels,achieved_dropout_rate,parent_multiplier,fragment_log_sigma,full_cosine_A_target_vs_A_solver,fragment_cosine_A_target_vs_A_solver,parent_cosine_A_target_vs_A_solver,source_column_l2,target_column_l2,latent_provenance,pre_dropout_log_distortion_sha256
MILD,0,PA-H__0075,PA 16:0_24:0,58,71,0.05,1,[243],0.017241379310344827,0.9712852787757116,0.1,0.9938779164703163,0.9780264173475705,1.0,1.0,1.0,"{""seeds"": {""fragment_dropout"": 14248774246851846514, ""fragment_intensity"": 8975751218298924246, ""parent"": 12926486617411245565}, ""u_sha256"": ""058f28145c1a34185d889adbaf1701e0cb13751b3b34b3c435c91c48621ef9b1"", ""v"": -0.2871472122428844, ""z_sha256"": ""6ea32eb5e393e6c21dc47c5912bc59b4ae279a7e263a841b48476de7e5e0c228""}",10e1886131cc5607e0752578dd3dd5a93d10646976f3e9110b4c2bc92dd65d4a
MODERATE,0,PA-H__0075,PA 16:0_24:0,58,71,0.1,3,"[243, 246, 615]",0.05172413793103448,0.9425705575514232,0.2,0.9926986802118232,0.9741248650885408,0.9999999999999997,1.0,0.9999999403953552,"{""seeds"": {""fragment_dropout"": 14248774246851846514, ""fragment_intensity"": 8975751218298924246, ""parent"": 12926486617411245565}, ""u_sha256"": ""058f28145c1a34185d889adbaf1701e0cb13751b3b34b3c435c91c48621ef9b1"", ""v"": -0.2871472122428844, ""z_sha256"": ""6ea32eb5e393e6c21dc47c5912bc59b4ae279a7e263a841b48476de7e5e0c228""}",e2daae23b07956f92fdffde10edc079d7cf9e63ae836c02dc0f97b1721c73f70
MILD,1,PA-H__0076,PA 16:0_24:1,56,71,0.05,1,[250],0.017857142857142856,0.965115028821793,0.1,0.9981870184289061,0.9994521777240447,0.9999999999999993,1.0,0.9999999403953552,"{""seeds"": {""fragment_dropout"": 11968215609228169018, ""fragment_intensity"": 15361699492572864325, ""parent"": 16892139328950949752}, ""u_sha256"": ""2cd221fe87b3e4ded392e780bb97cf7821d678bde20cffffd81a6b309e74462e"", ""v"": -0.3488497117820699, ""z_sha256"": ""4da6ad71239df2ad205fd4d92406957ed5beae8b0059a436d39dba0d094c2594""}",bc20227d1a39abf06fb455a9754c9918cd9e8f314d09e2679c28e613a0ae159c
MODERATE,1,PA-H__0076,PA 16:0_24:1,56,71,0.1,2,"[244, 250]",0.03571428571428571,0.930230057643586,0.2,0.9927020682704207,0.9978453976153092,0.9999999999999999,1.0,1.0,"{""seeds"": {""fragment_dropout"": 11968215609228169018, ""fragment_intensity"": 15361699492572864325, ""parent"": 16892139328950949752}, ""u_sha256"": ""2cd221fe87b3e4ded392e780bb97cf7821d678bde20cffffd81a6b309e74462e"", ""v"": -0.3488497117820699, ""z_sha256"": ""4da6ad71239df2ad205fd4d92406957ed5beae8b0059a436d39dba0d094c2594""}",d47d5e812812973058e8045d89f6aa9c1acaefc9fab74fc1a8b6fa140628e440
MILD,2,PA-H__0079,PA 16:0_24:4,75,71,0.05,3,"[79, 243, 250]",0.04,0.9796890599927318,0.1,0.9566191082385347,0.9565415120211715,0.9999999999999996,1.0,1.0,"{""seeds"": {""fragment_dropout"": 9564205487083244260, ""fragment_intensity"": 10661023896188456524, ""parent"": 16960086149121053257}, ""u_sha256"": ""c92badb1e9729943121fe96bd04df24cb671fcba395416d2affbef2d518406a8"", ""v"": -0.20310940007268163, ""z_sha256"": ""cd7356da6cea84a35187ef71a30b91b144fb293f1d721b41c997d69d5391adb1""}",b4befbf69213a133dd627d0fa4436a788e0fde03ab3a1133512a2815d3207212
MODERATE,2,PA-H__0079,PA 16:0_24:4,75,71,0.1,4,"[79, 243, 250, 589]",0.05333333333333334,0.9593781199854636,0.2,0.940774441273143,0.9407449172585287,0.9999999999999993,1.0,1.0,"{""seeds"": {""fragment_dropout"": 9564205487083244260, ""fragment_intensity"": 10661023896188456524, ""parent"": 16960086149121053257}, ""u_sha256"": ""c92badb1e9729943121fe96bd04df24cb671fcba395416d2affbef2d518406a8"", ""v"": -0.20310940007268163, ""z_sha256"": ""cd7356da6cea84a35187ef71a30b91b144fb293f1d721b41c997d69d5391adb1""}",443dbfec218d5c2673ff96435e5842c0449916bb861a94ee039b4941abaecc69
MILD,3,PA-H__0080,PA 16:0_24:5,69,71,0.05,1,[498],0.014492753623188406,0.9291901209142893,0.1,0.9962959304814872,0.9962938668015543,0.9999999999999999,1.0000001192092896,1.0,"{""seeds"": {""fragment_dropout"": 7379580836810943645, ""fragment_intensity"": 583330963040800507, ""parent"": 10775673676505684344}, ""u_sha256"": ""edf79b491c8e25733553f8dea65db81dcc2d63622a37fb335aef75b975eaaa87"", ""v"": -0.708098790857107, ""z_sha256"": ""9cbe5044de63e5aae6ebfb242cb51b911aa845e5c35ab44e46b4165de903dd0c""}",40cd18f19f76533a08c94d00a74325d9ed6a4f8186bdf69b700f02f18552d814
MODERATE,3,PA-H__0080,PA 16:0_24:5,69,71,0.1,5,"[70, 166, 198, 203, 498]",0.07246376811594203,0.8583802418285786,0.2,0.9427270850758089,0.9426899474985106,1.0,1.0000001192092896,0.9999999403953552,"{""seeds"": {""fragment_dropout"": 7379580836810943645, ""fragment_intensity"": 583330963040800507, ""parent"": 10775673676505684344}, ""u_sha256"": ""edf79b491c8e25733553f8dea65db81dcc2d63622a37fb335aef75b975eaaa87"", ""v"": -0.708098790857107, ""z_sha256"": ""9cbe5044de63e5aae6ebfb242cb51b911aa845e5c35ab44e46b4165de903dd0c""}",99d212c21d26117de01e13ef94004243166dd9e77b47d8b1e25f4d653dbc18a2
MILD,4,PA-H__0100,PA 24:0_16:1,55,215,0.05,2,"[7, 242]",0.03636363636363636,1.0149133343802539,0.1,0.9944354915868993,0.9945912680654895,0.9999999999999993,1.0,1.0,"{""seeds"": {""fragment_dropout"": 18005162085395017863, ""fragment_intensity"": 12196881029786085335, ""parent"": 647569612959836579}, ""u_sha256"": ""3b971b81b2cf85381c4db74f6bab284e5857d8deef8aaa3e86227921dcd7c4e9"", ""v"": 0.1491333438025393, ""z_sha256"": ""50b4313efb9b7fb36106278dda35477a75a8ae725ce46a39d71b30ac64148603""}",18fdb824957b1c4495084cb450bd7d0de03e68b381fb8faf781d6ac8c1b43b50
MODERATE,4,PA-H__0100,PA 24:0_16:1,55,215,0.1,5,"[7, 228, 242, 246, 553]",0.09090909090909091,1.0298266687605078,0.2,0.9798096584687058,0.9810378263604392,0.9999999999999991,1.0,0.9999998807907104,"{""seeds"": {""fragment_dropout"": 18005162085395017863, ""fragment_intensity"": 12196881029786085335, ""parent"": 647569612959836579}, ""u_sha256"": ""3b971b81b2cf85381c4db74f6bab284e5857d8deef8aaa3e86227921dcd7c4e9"", ""v"": 0.1491333438025393, ""z_sha256"": ""50b4313efb9b7fb36106278dda35477a75a8ae725ce46a39d71b30ac64148603""}",fd1110cb49232a09f639ea268e11fe13b6396ced2e037dc64b5c1e4ba43cec5a
