severity,group,unique_identities,feature,median
MILD,any_filter_loss,152,cone_isolation,0.2762802195889902
MILD,any_filter_loss,152,max_fragment_cosine,0.9249993727059453
MILD,any_filter_loss,152,collective_gain,0.23182942764360728
MILD,any_filter_loss,152,full_spectral_change,0.0023353788332109437
MILD,any_filter_loss,152,fragment_spectral_change,0.002132098208259603
MILD,any_filter_loss,152,achieved_dropout_rate,0.04453073364177132
MILD,never_filter_loss,22,cone_isolation,0.5745851476835762
MILD,never_filter_loss,22,max_fragment_cosine,0.6905108789169738
MILD,never_filter_loss,22,collective_gain,0.18252114874556635
MILD,never_filter_loss,22,full_spectral_change,0.0025759765011951763
MILD,never_filter_loss,22,fragment_spectral_change,0.0027450008309062857
MILD,never_filter_loss,22,achieved_dropout_rate,0.05326241134751773
MILD,no_raw_TP,1,cone_isolation,0.2807555140432376
MILD,no_raw_TP,1,max_fragment_cosine,0.7492730089935543
MILD,no_raw_TP,1,collective_gain,0.49169235917013354
MILD,no_raw_TP,1,full_spectral_change,0.001564770493217682
MILD,no_raw_TP,1,fragment_spectral_change,0.0014533126063535073
MILD,no_raw_TP,1,achieved_dropout_rate,0.04054054054054054
MODERATE,any_filter_loss,151,cone_isolation,0.2809048613188857
MODERATE,any_filter_loss,151,max_fragment_cosine,0.9215313010613547
MODERATE,any_filter_loss,151,collective_gain,0.23344250644858108
MODERATE,any_filter_loss,151,full_spectral_change,0.011493042837878442
MODERATE,any_filter_loss,151,fragment_spectral_change,0.012519771266610302
MODERATE,any_filter_loss,151,achieved_dropout_rate,0.09411764705882353
MODERATE,never_filter_loss,17,cone_isolation,0.5753436233533816
MODERATE,never_filter_loss,17,max_fragment_cosine,0.7114621309435802
MODERATE,never_filter_loss,17,collective_gain,0.15131295823331015
MODERATE,never_filter_loss,17,full_spectral_change,0.008459156946662771
MODERATE,never_filter_loss,17,fragment_spectral_change,0.010784837304784856
MODERATE,never_filter_loss,17,achieved_dropout_rate,0.11428571428571428
MODERATE,no_raw_TP,7,cone_isolation,0.2223063465458067
MODERATE,no_raw_TP,7,max_fragment_cosine,0.9753848425333608
MODERATE,no_raw_TP,7,collective_gain,0.17914163452145218
MODERATE,no_raw_TP,7,full_spectral_change,0.0067167896024071805
MODERATE,no_raw_TP,7,fragment_spectral_change,0.006034159623615976
MODERATE,no_raw_TP,7,achieved_dropout_rate,0.06060606060606061
