severity,K,score,completed_cases,complete_severity,raw_TP,raw_FP,solver_FN,AUROC,average_precision,raw_precision,zero_score_true,zero_score_false,descriptive_HOLD_max_recall_at_FDR1,descriptive_HOLD_max_recall_at_FDR5
MILD,ALL,rho_zero,15,True,1680,1514,70,0.763472471220985,0.8026260797691284,0.5259862241703194,268,679,0.14285714285714285,0.2885714285714286
MILD,ALL,X_hat,15,True,1680,1514,70,0.8588334276907592,0.8735265658534712,0.5259862241703194,0,0,0.068,0.31542857142857145
MILD,50,rho_zero,5,True,247,410,3,0.9183667423718772,0.9002520479157453,0.3759512937595129,12,181,0.42,0.52
MILD,50,X_hat,5,True,247,410,3,0.9505875382640466,0.927740350581047,0.3759512937595129,0,0,0.444,0.544
MILD,125,rho_zero,5,True,606,595,19,0.8115123277033586,0.8305086673040692,0.5045795170691091,77,285,0.248,0.288
MILD,125,X_hat,5,True,606,595,19,0.8768755026763181,0.8801792187879915,0.5045795170691091,0,0,0.032,0.3952
MILD,175,rho_zero,5,True,827,509,48,0.7071515620879787,0.8163429062610603,0.6190119760479041,179,213,0.17714285714285713,0.21714285714285714
MILD,175,X_hat,5,True,827,509,48,0.8275989860860021,0.8876221836943892,0.6190119760479041,0,0,0.15085714285714286,0.33485714285714285
MODERATE,ALL,rho_zero,5,False,506,490,19,0.7166451560861499,0.7353199509267946,0.5080321285140562,95,218,0.0380952380952381,0.13333333333333333
MODERATE,ALL,X_hat,5,False,506,490,19,0.8373033798499637,0.8442155924312907,0.5080321285140562,0,0,0.05523809523809524,0.26476190476190475
MODERATE,50,rho_zero,2,False,100,155,0,0.8236129032258065,0.7984777211012859,0.39215686274509803,12,73,0.36,0.38
MODERATE,50,X_hat,2,False,100,155,0,0.9234193548387096,0.9003187753973427,0.39215686274509803,0,0,0.29,0.42
MODERATE,125,rho_zero,2,False,242,227,8,0.712910037499545,0.7292081188994469,0.5159914712153518,48,98,0.024,0.024
MODERATE,125,X_hat,2,False,242,227,8,0.8412822659919176,0.8430566881347593,0.5159914712153518,0,0,0.032,0.312
MODERATE,175,rho_zero,1,False,164,108,11,0.688036359530262,0.7834450818626995,0.6029411764705882,35,47,0.045714285714285714,0.14857142857142858
MODERATE,175,X_hat,1,False,164,108,11,0.8122741644083108,0.8710195274426283,0.6029411764705882,0,0,0.2057142857142857,0.3142857142857143
