severity,lipid_name,contexts,raw_TP_contexts,solver_miss_contexts,filter_loss_contexts,loss_fraction_of_raw_TP,comparison_group,cone_isolation,max_fragment_cosine,collective_gain,full_spectral_change,fragment_spectral_change,achieved_dropout_rate
MILD,PA 18:0_22:2,15,11,4,11,1.0,any_filter_loss,0.27393752390511106,0.8394493239810369,0.36260158405766385,0.0031467721020281836,0.001963496628401451,0.05333333333333334
MILD,PA 18:0_22:4,15,15,0,10,0.6666666666666666,any_filter_loss,0.18925162859522815,0.8691673191165914,0.31323723028330897,0.0052424423533639075,0.005220284092495531,0.04878048780487805
MILD,PA 18:0_24:1,15,15,0,10,0.6666666666666666,any_filter_loss,0.3334734584306543,0.8793255202210899,0.22349976674487387,0.0006864036053716438,0.000725562654723011,0.05970149253731343
MILD,PA 18:1_22:1,15,15,0,10,0.6666666666666666,any_filter_loss,0.46175873097333114,0.9022714644699661,0.2905844069806663,0.00041288798704874896,0.0012335033041256382,0.05405405405405406
MILD,PA 20:0_20:4,15,10,5,10,1.0,any_filter_loss,0.1645114953783594,0.8957566529041909,0.3424625013635971,0.0275152521851324,0.02927579501551658,0.0449438202247191
MILD,PA 20:1_20:1,15,15,0,15,1.0,any_filter_loss,0.4231895167566119,0.9753576763078726,0.3291536211973855,0.0010118669186879314,0.002037990335239992,0.06818181818181818
MILD,PA 20:1_22:1,15,15,0,10,0.6666666666666666,any_filter_loss,0.48292710886676304,0.8982874947005188,0.22073574264275386,0.018562907982432097,0.02491796284808878,0.07894736842105263
MILD,PA 22:1_18:2,15,15,0,5,0.3333333333333333,any_filter_loss,0.3672416022212644,0.8804726866933393,0.42728280324989093,0.006605096516895115,0.006326827710238514,0.02702702702702703
MILD,PA 22:1_20:2,15,15,0,10,0.6666666666666666,any_filter_loss,0.43337633237958284,0.8789327040599717,0.27097424872123554,0.0080624691981116,0.011981980213494614,0.04
MILD,PA 22:1_20:3,15,15,0,0,0.0,never_filter_loss,0.47201880717776407,0.8266719825061805,0.24944586960093668,0.010869264824328262,0.012492854571788947,0.05194805194805195
MILD,PA 22:6_22:6,15,15,0,0,0.0,never_filter_loss,0.5618631902016936,0.691000163096786,0.18635717808006635,0.00917253164779075,0.009477089595620991,0.0625
MILD,PC 14:0_20:4,15,15,0,0,0.0,never_filter_loss,0.6036768381098416,0.7745273553735048,0.030942368542241527,0.0018490512821154326,0.0018224172135786754,0.012048192771084338
MILD,PC 16:1_18:1,15,15,0,10,0.6666666666666666,any_filter_loss,0.3710824945274597,0.6900215947371616,0.3528311199198995,0.005740128810954093,0.005740337720885114,0.06521739130434782
MILD,PC 20:0_14:1,15,15,0,15,1.0,any_filter_loss,0.593367589246976,0.47707361889437966,0.2851238976272237,0.002188794125086768,0.0021900445777822686,0.05333333333333334
MILD,PE 16:0_22:1,15,15,0,10,0.6666666666666666,any_filter_loss,0.20454583643989277,0.8508967724619106,0.32715941021570594,0.0026095936024855826,0.0026208471119697485,0.09259259259259259
MILD,PE 16:0_22:2,15,15,0,10,0.6666666666666666,any_filter_loss,0.1886425381510025,0.8572487991575071,0.3301179135196991,0.0008072029675337822,0.0008077406273154786,0.017543859649122806
MILD,PE 16:0_24:5,15,14,1,14,1.0,any_filter_loss,0.21271686018449112,0.9348240213453116,0.1546244672974381,0.001921353681188731,0.001875379517050746,0.06896551724137931
MILD,PE 16:1_22:1,15,15,0,10,0.6666666666666666,any_filter_loss,0.29634414058106057,0.6962164662208943,0.4407404219699385,0.00808124486543349,0.008570132244739348,0.05660377358490566
MILD,PE 16:1_22:4,15,9,6,9,1.0,any_filter_loss,0.11707440620301834,0.9872300880237134,0.16084900498979865,0.0007842304184302318,0.0007842322844462402,0.031746031746031744
MILD,PE 17:0_20:0,15,13,2,13,1.0,any_filter_loss,0.2698075638945543,0.9206618024583055,0.26327938903853587,0.001887741959508804,0.0017402936546969672,0.07936507936507936
MILD,PE 17:0_22:6,15,15,0,0,0.0,never_filter_loss,0.31244709118745745,0.8271838267520604,0.30433218821543645,0.017611707508774055,0.01838682715755835,0.12121212121212122
MILD,PE 18:3_20:4,15,8,7,8,1.0,any_filter_loss,0.15717262060050777,0.9796724074104938,0.3020809046376558,0.006280647038709897,0.0062955661135006835,0.04054054054054054
MILD,PE 20:1_20:3,15,15,0,10,0.6666666666666666,any_filter_loss,0.15409170574418976,0.9673598800301968,0.13448997604329319,0.000491030613383403,0.000468651826536548,0.03773584905660377
MILD,PE 20:3_20:3,15,15,0,15,1.0,any_filter_loss,0.11972298568219342,0.9884825101246301,0.06004173901205881,0.00048032041794177083,0.0004712716755622681,0.0
MILD,PE 22:0_16:1,15,15,0,5,0.3333333333333333,any_filter_loss,0.4791490094759039,0.8206488603123235,0.1992356350010589,0.004476879868959838,0.005136088122938753,0.0392156862745098
MILD,PE O-16:0_22:4,15,15,0,15,1.0,any_filter_loss,0.21233553953653375,0.9788297262879938,0.0525446422437508,0.0004060403474748231,0.00041840104713342097,0.0
MILD,PE O-16:0_22:5,15,15,0,10,0.6666666666666666,any_filter_loss,0.2748935194643735,0.9595548171321114,0.1397678816901211,0.00038394355007931313,0.0002964901617497073,0.0
MILD,PE O-16:1_24:0,15,15,0,10,0.6666666666666666,any_filter_loss,0.6719956962672089,0.7350890401757907,0.07613711984283755,0.001067432937777557,0.0006814609391118109,0.03571428571428571
MILD,PE O-16:1_24:5,15,15,0,15,1.0,any_filter_loss,0.34567378912555613,0.9348240213453116,0.021667538356373084,0.0025190919169711945,0.0024780282091372285,0.05555555555555555
MILD,PE O-18:0_20:2,15,14,1,14,1.0,any_filter_loss,0.24588669439016053,0.9868742659860326,0.06594469017151477,0.0019601050080191307,0.0005584465070473943,0.0
MILD,PE O-18:0_22:3,15,12,3,12,1.0,any_filter_loss,0.17092763078541914,0.9848176901850096,0.13210834735563867,0.0008456161502210513,0.0005473704997376316,0.125
MILD,PE O-18:1_20:3,15,11,4,11,1.0,any_filter_loss,0.17248031845796863,0.9828895828332406,0.04325030597265456,0.001199120320281133,0.001173666927543504,0.09090909090909091
MILD,PE O-18:3_20:3,15,15,0,15,1.0,any_filter_loss,0.14272429629361114,0.9852235586914223,0.03704042840064109,0.0009088682263856951,0.0009038504168767947,0.0
MILD,PE O-18:3_22:5,15,15,0,10,0.6666666666666666,any_filter_loss,0.24245622912169137,0.9538166594574129,0.08542067730299038,0.000300097893669804,0.0002976237770843104,0.0
MILD,PE O-20:1_18:2,15,15,0,10,0.6666666666666666,any_filter_loss,0.4351737905876049,0.9895861653945057,0.1319467591106363,0.00023551375914476758,0.0002665464533165851,0.030303030303030304
MILD,PE O-20:3_20:4,15,15,0,15,1.0,any_filter_loss,0.2145730867610224,0.9824124426110163,0.03143893515640733,0.0030017567410796087,0.002117635277798957,0.021739130434782608
MILD,PE O-22:1_18:2,15,15,0,5,0.3333333333333333,any_filter_loss,0.3303710154344505,0.9888056550432852,0.337294176164278,0.001060120048168356,0.0004618266693974249,0.0
MILD,PG 14:0_20:0,15,15,0,15,1.0,any_filter_loss,0.7233219574944608,0.7740328453451822,0.0781368584247818,6.341122825315182e-05,0.0008465325861760631,0.05
MILD,PG 14:0_22:0,15,15,0,15,1.0,any_filter_loss,0.39347230654553556,0.7936099239641267,0.021497958044986498,6.010538475131888e-05,0.004721999882481787,0.0125
MILD,PG 16:0_22:4,15,15,0,15,1.0,any_filter_loss,0.20371874124768685,0.9923755383909935,0.44339453837236364,0.006204517917372199,0.004482035888584646,0.034482758620689655
MILD,PG 16:1_22:3,15,15,0,15,1.0,any_filter_loss,0.23838939494724698,0.9816952449555878,0.29010776373355207,0.0029689467587183938,0.011172064022184958,0.046511627906976744
MILD,PG 17:0_18:2,15,15,0,10,0.6666666666666666,any_filter_loss,0.3764851143957298,0.9263229165510191,0.3987025973319038,0.008230647100060384,0.016439132142790913,0.021505376344086023
MILD,PG 18:0_18:1,15,15,0,15,1.0,any_filter_loss,0.22385302590484416,0.857321011866293,0.5499702514118422,0.009484848876495366,0.014209638457357121,0.06329113924050633
MILD,PG 18:2_20:2,15,15,0,15,1.0,any_filter_loss,0.26810270421335247,0.9325718345250835,0.2603944544674466,7.151403581784344e-05,0.0005881280192069349,0.0898876404494382
MILD,PG 20:1_18:3,15,15,0,10,0.6666666666666666,any_filter_loss,0.23811465068961957,0.9659907277452849,0.39065317821122125,0.003301798627939889,0.0014211657860777605,0.013333333333333334
MILD,PS 16:0_20:3,15,14,1,14,1.0,any_filter_loss,0.31718607034211305,0.6379581944357362,0.2271159539431486,0.024743180600422243,0.0532754581349153,0.02631578947368421
MILD,PS 16:1_20:4,15,15,0,0,0.0,never_filter_loss,0.6316414058973379,0.55604981646135,0.12364708441998395,0.0006250680690788046,0.0006367104023839998,0.05128205128205128
MILD,PS 17:0_18:1,15,15,0,0,0.0,never_filter_loss,0.6537549379034493,0.5358578664393875,0.1898482402281083,0.00248721638376892,0.002491653810229977,0.0410958904109589
