dataset_id,domain,K,split,replicate,lipid_name,lipid_class,X_hat,rho_zero,rho_zero_status,raw_solver_reported,molecular_truth,reportable_truth,candidate_indices
D0__CAL_R1_K125,D0,125,CAL,R1,PA 16:0_24:0,PA,0.0027507364766670276,0.0,COMPUTED,True,False,False,[0]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 16:0_24:1,PA,0.0014741730568191118,0.0,COMPUTED,True,False,False,[1]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 16:0_24:2,PA,2.5116350936071305e-05,,NOT_COMPUTED,False,False,False,[2]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 16:0_24:3,PA,0.0,,NOT_COMPUTED,False,False,False,[3]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 16:0_24:4,PA,0.0002206252637961905,,NOT_COMPUTED,False,False,False,[4]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 16:0_24:5,PA,0.00023905249404848264,,NOT_COMPUTED,False,False,False,[5]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 16:1_24:1,PA,7.897760258159107e-05,,NOT_COMPUTED,False,False,False,[7]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 16:1_24:2,PA,6.206930971902396e-08,,NOT_COMPUTED,False,False,False,[8]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 16:1_24:3,PA,0.00012462123339824574,,NOT_COMPUTED,False,False,False,[9]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 16:1_24:4,PA,0.00015959538845047882,,NOT_COMPUTED,False,False,False,[10]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 17:0_24:4,PA,0.0,,NOT_COMPUTED,False,False,False,[123]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 17:1_24:4,PA,3.1157274649933025e-05,,NOT_COMPUTED,False,False,False,[124]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 18:0_22:0,PA,0.0302569332294361,4.7417322938868155e-06,COMPUTED,True,True,True,[11]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 18:0_22:1,PA,0.019470038579732035,1.477387970638597e-06,COMPUTED,True,True,True,[12]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 18:0_22:2,PA,0.0022689021512165876,1.6583717692827612e-26,COMPUTED,True,False,False,[13]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 18:0_22:3,PA,0.00027417108803217625,,NOT_COMPUTED,False,False,False,[14]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 18:0_22:4,PA,0.0017720647821435063,0.0,COMPUTED,True,False,False,[15]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 18:0_22:5,PA,0.005618630731058508,9.90958805154621e-22,COMPUTED,True,False,False,[16]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 18:0_24:0,PA,9.92472763005745e-07,,NOT_COMPUTED,False,False,False,[17]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 18:0_24:1,PA,6.359002112290744e-05,,NOT_COMPUTED,False,False,False,[18]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 18:0_24:2,PA,3.5047053484364104e-06,,NOT_COMPUTED,False,False,False,[19]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 18:0_24:3,PA,0.004823572673156633,3.59896362353006e-27,COMPUTED,True,False,False,[20]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 18:0_24:4,PA,0.008927214519701996,0.0,COMPUTED,True,False,False,[21]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 18:0_24:5,PA,0.015515035098073855,1.2084405861207939e-06,COMPUTED,True,True,True,[22]
