dataset_id,split,replicate,complexity_condition,global_truth_K,candidate_index,candidate_id,lipid_name,X_hat,candidate_truth,molecular_truth,same_lipid_alternative_candidate,rho_zero,domain,K,reportable_truth
D0__CAL_R1_K125,CAL,R1,K125,125,0,PA-H__0075,PA 16:0_24:0,0.0027507364766670276,False,False,False,0.0,D0,125,False
D0__CAL_R1_K125,CAL,R1,K125,125,1,PA-H__0076,PA 16:0_24:1,0.0014741730568191118,False,False,False,0.0,D0,125,False
D0__CAL_R1_K125,CAL,R1,K125,125,11,PA-H__0117,PA 18:0_22:0,0.0302569332294361,True,True,False,4.7417322938868155e-06,D0,125,True
D0__CAL_R1_K125,CAL,R1,K125,125,12,PA-H__0118,PA 18:0_22:1,0.019470038579732035,True,True,False,1.477387970638597e-06,D0,125,True
D0__CAL_R1_K125,CAL,R1,K125,125,13,PA-H__0119,PA 18:0_22:2,0.0022689021512165876,False,False,False,1.6583717692827612e-26,D0,125,False
D0__CAL_R1_K125,CAL,R1,K125,125,15,PA-H__0121,PA 18:0_22:4,0.0017720647821435063,False,False,False,0.0,D0,125,False
D0__CAL_R1_K125,CAL,R1,K125,125,16,PA-H__0122,PA 18:0_22:5,0.005618630731058508,False,False,False,9.90958805154621e-22,D0,125,False
D0__CAL_R1_K125,CAL,R1,K125,125,20,PA-H__0127,PA 18:0_24:3,0.004823572673156633,False,False,False,3.59896362353006e-27,D0,125,False
D0__CAL_R1_K125,CAL,R1,K125,125,21,PA-H__0128,PA 18:0_24:4,0.008927214519701996,False,False,False,0.0,D0,125,False
D0__CAL_R1_K125,CAL,R1,K125,125,22,PA-H__0129,PA 18:0_24:5,0.015515035098073855,True,True,False,1.2084405861207939e-06,D0,125,True
D0__CAL_R1_K125,CAL,R1,K125,125,23,PA-H__0130,PA 18:0_24:6,0.0011065740460788555,False,False,False,1.3622087551464435e-23,D0,125,False
D0__CAL_R1_K125,CAL,R1,K125,125,24,PA-H__0140,PA 22:0_18:1,0.0016215997802414381,False,False,False,1.6082790882328644e-22,D0,125,False
D0__CAL_R1_K125,CAL,R1,K125,125,25,PA-H__0141,PA 18:1_22:1,0.010416038958241827,False,False,False,1.4414983161240266e-22,D0,125,False
D0__CAL_R1_K125,CAL,R1,K125,125,28,PA-H__0144,PA 18:1_22:4,0.0012437196415413597,False,False,False,2.4457381857997894e-23,D0,125,False
D0__CAL_R1_K125,CAL,R1,K125,125,32,PA-H__0150,PA 18:1_24:3,0.0011090182812548836,False,False,False,3.261264788323556e-23,D0,125,False
D0__CAL_R1_K125,CAL,R1,K125,125,34,PA-H__0152,PA 18:1_24:5,0.013256465520692077,True,True,False,1.680742264963102e-06,D0,125,True
D0__CAL_R1_K125,CAL,R1,K125,125,35,PA-H__0153,PA 18:1_24:6,0.0011268728033264571,False,False,False,0.0,D0,125,False
D0__CAL_R1_K125,CAL,R1,K125,125,36,PA-H__0162,PA 22:0_18:2,0.0036907467030123224,True,True,False,3.7998553037046975e-07,D0,125,True
D0__CAL_R1_K125,CAL,R1,K125,125,41,PA-H__0170,PA 24:1_18:2,0.006017620769603231,False,False,False,1.2687646764783371e-23,D0,125,False
D0__CAL_R1_K125,CAL,R1,K125,125,44,PA-H__0173,PA 18:2_24:4,0.00590257510651797,True,True,False,1.2955604502933021e-06,D0,125,True
D0__CAL_R1_K125,CAL,R1,K125,125,45,PA-H__0174,PA 18:2_24:5,0.001328725676483463,False,False,False,3.056142741792795e-23,D0,125,False
D0__CAL_R1_K125,CAL,R1,K125,125,51,PA-H__0191,PA 24:1_18:3,0.004395596543508689,True,True,False,2.325631078389146e-07,D0,125,True
D0__CAL_R1_K125,CAL,R1,K125,125,54,PA-H__0194,PA 18:3_24:4,0.002241545486156376,False,False,False,6.066452738819561e-23,D0,125,False
D0__CAL_R1_K125,CAL,R1,K125,125,56,PA-H__0196,PA 18:3_24:6,0.0033606614784760804,False,False,False,1.4797673994941995e-26,D0,125,False
D0__CAL_R1_K125,CAL,R1,K125,125,57,PA-H__0197,PA 20:0_20:0,0.010910942541223597,True,True,False,6.782372493184656e-08,D0,125,True
D0__CAL_R1_K125,CAL,R1,K125,125,58,PA-H__0198,PA 20:0_20:1,0.004351126304084713,False,False,False,2.6757806437086343e-22,D0,125,False
D0__CAL_R1_K125,CAL,R1,K125,125,59,PA-H__0199,PA 20:0_20:2,0.0047531111870621765,False,False,False,0.0,D0,125,False
D0__CAL_R1_K125,CAL,R1,K125,125,62,PA-H__0202,PA 20:0_20:5,0.006172947505311743,True,True,False,4.795200814967674e-07,D0,125,True
D0__CAL_R1_K125,CAL,R1,K125,125,66,PA-H__0206,PA 20:0_22:3,0.01591097533657141,True,True,False,4.8046456863939724e-06,D0,125,True
D0__CAL_R1_K125,CAL,R1,K125,125,67,PA-H__0207,PA 20:0_22:4,0.003464876541277545,True,True,False,3.9638343874987126e-07,D0,125,True
D0__CAL_R1_K125,CAL,R1,K125,125,68,PA-H__0208,PA 20:0_22:5,0.005077843949308002,False,False,False,3.9186570890355e-24,D0,125,False
D0__CAL_R1_K125,CAL,R1,K125,125,69,PA-H__0209,PA 20:0_22:6,0.005610930517597787,False,False,False,3.6128632264219517e-22,D0,125,False
D0__CAL_R1_K125,CAL,R1,K125,125,70,PA-H__0217,PA 20:1_20:1,0.013645231676725308,True,True,False,1.3174379947829708e-06,D0,125,True
D0__CAL_R1_K125,CAL,R1,K125,125,73,PA-H__0220,PA 20:1_20:4,0.0014716534180492264,False,False,False,3.384541383916187e-24,D0,125,False
D0__CAL_R1_K125,CAL,R1,K125,125,76,PA-H__0224,PA 20:1_22:2,0.0018832069650138287,False,False,False,1.5652140765486438e-26,D0,125,False
D0__CAL_R1_K125,CAL,R1,K125,125,77,PA-H__0225,PA 20:1_22:3,0.001879719564177877,False,False,False,0.0,D0,125,False
D0__CAL_R1_K125,CAL,R1,K125,125,79,PA-H__0227,PA 20:1_22:5,0.0018295181601769015,False,False,False,0.0,D0,125,False
D0__CAL_R1_K125,CAL,R1,K125,125,80,PA-H__0228,PA 20:1_22:6,0.005039991791635266,True,True,False,3.434936574944214e-07,D0,125,True
D0__CAL_R1_K125,CAL,R1,K125,125,84,PA-H__0241,PA 22:1_20:2,0.021017046143147637,True,True,False,9.571910905817733e-06,D0,125,True
D0__CAL_R1_K125,CAL,R1,K125,125,86,PA-H__0243,PA 20:2_22:3,0.0012399180660413432,False,False,False,0.0,D0,125,False
