dataset_id,domain,K,split,replicate,candidate_index,candidate_id,lipid_name,lipid_class,X_hat,rho_zero,rho_zero_status,raw_solver_reported,molecular_truth,candidate_truth,reportable_truth
D0__CAL_R2_K125,D0,125,CAL,R2,0,PA-H__0075,PA 16:0_24:0,PA,0.006867257200645022,0.0,COMPUTED,True,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,1,PA-H__0076,PA 16:0_24:1,PA,0.0026509413354600343,0.0,COMPUTED,True,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,2,PA-H__0077,PA 16:0_24:2,PA,7.792082447891487e-09,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,3,PA-H__0078,PA 16:0_24:3,PA,1.153639397494104e-08,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,4,PA-H__0079,PA 16:0_24:4,PA,0.0001507421009955322,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,5,PA-H__0080,PA 16:0_24:5,PA,0.0004318072374463479,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,6,PA-H__0100,PA 24:0_16:1,PA,1.5891660711711394e-06,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,7,PA-H__0101,PA 16:1_24:1,PA,8.724003087202542e-07,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,8,PA-H__0102,PA 16:1_24:2,PA,0.0,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,9,PA-H__0103,PA 16:1_24:3,PA,0.0,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,10,PA-H__0104,PA 16:1_24:4,PA,6.40437957826199e-08,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,11,PA-H__0117,PA 18:0_22:0,PA,0.022878529166298504,4.741732262233912e-06,COMPUTED,True,True,True,True
D0__CAL_R2_K125,D0,125,CAL,R2,12,PA-H__0118,PA 18:0_22:1,PA,0.020781691965610652,1.4773880154995922e-06,COMPUTED,True,True,True,True
D0__CAL_R2_K125,D0,125,CAL,R2,13,PA-H__0119,PA 18:0_22:2,PA,0.003933066405421953,3.0450729434081666e-26,COMPUTED,True,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,14,PA-H__0120,PA 18:0_22:3,PA,0.000563320031347181,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,15,PA-H__0121,PA 18:0_22:4,PA,0.0015739894566766824,0.0,COMPUTED,True,False,False,False
