dataset_id,domain,K,split,replicate,candidate_index,candidate_id,lipid_name,lipid_class,X_hat,rho_zero,rho_zero_status,raw_solver_reported,molecular_truth,candidate_truth,reportable_truth
D0__HOLD_R2_K125,D0,125,HOLD,R2,0,PA-H__0075,PA 16:0_24:0,PA,0.0,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,1,PA-H__0076,PA 16:0_24:1,PA,0.001513734046151768,3.9962986416433213e-22,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,2,PA-H__0077,PA 16:0_24:2,PA,0.0011616135342500257,0.0,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,3,PA-H__0078,PA 16:0_24:3,PA,0.0015323446976929925,1.8680246900982803e-07,COMPUTED,True,True,True,True
D0__HOLD_R2_K125,D0,125,HOLD,R2,4,PA-H__0079,PA 16:0_24:4,PA,0.0008056086535077557,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,5,PA-H__0080,PA 16:0_24:5,PA,0.0007421089758317283,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,6,PA-H__0100,PA 24:0_16:1,PA,8.274687798947233e-08,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,7,PA-H__0101,PA 16:1_24:1,PA,0.000554412473303474,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,8,PA-H__0102,PA 16:1_24:2,PA,0.0002885652719271336,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,9,PA-H__0103,PA 16:1_24:3,PA,0.00013537465728318432,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,10,PA-H__0104,PA 16:1_24:4,PA,4.310892190425318e-05,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,11,PA-H__0117,PA 18:0_22:0,PA,1.8539863003463966e-05,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,12,PA-H__0118,PA 18:0_22:1,PA,8.577501872184383e-05,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,13,PA-H__0119,PA 18:0_22:2,PA,0.0065886005037129325,3.419290096302786e-07,COMPUTED,True,True,True,True
D0__HOLD_R2_K125,D0,125,HOLD,R2,14,PA-H__0120,PA 18:0_22:3,PA,0.0009734477995595557,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,15,PA-H__0121,PA 18:0_22:4,PA,9.301261568763302e-05,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,16,PA-H__0122,PA 18:0_22:5,PA,0.00568743606969319,0.0,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,17,PA-H__0124,PA 18:0_24:0,PA,0.00031861155013059516,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,18,PA-H__0125,PA 18:0_24:1,PA,0.00010607027716866526,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,19,PA-H__0126,PA 18:0_24:2,PA,0.00019159338473002404,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,20,PA-H__0127,PA 18:0_24:3,PA,0.0015836775186754716,0.0,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,21,PA-H__0128,PA 18:0_24:4,PA,0.002826550775185985,0.0,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,22,PA-H__0129,PA 18:0_24:5,PA,0.00026181247549716496,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,23,PA-H__0130,PA 18:0_24:6,PA,0.0009637787851291447,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,24,PA-H__0140,PA 22:0_18:1,PA,0.0034726025601756407,1.2816555708824952e-07,COMPUTED,True,True,True,True
D0__HOLD_R2_K125,D0,125,HOLD,R2,25,PA-H__0141,PA 18:1_22:1,PA,0.0004955805794301641,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,26,PA-H__0142,PA 18:1_22:2,PA,3.429842838007681e-05,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,27,PA-H__0143,PA 18:1_22:3,PA,0.004698361304661841,3.1137811599397883e-07,COMPUTED,True,True,True,True
