dataset_id,domain,K,split,replicate,lipid_name,lipid_class,X_hat,rho_zero,rho_zero_status,raw_solver_reported,molecular_truth,reportable_truth,candidate_indices
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 16:0_24:0,PA,5.233175200386958e-10,,NOT_COMPUTED,False,False,False,[0]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 16:0_24:1,PA,0.003612504933684703,1.646702970161449e-23,COMPUTED,True,False,False,[1]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 16:0_24:2,PA,7.046671184434089e-05,,NOT_COMPUTED,False,False,False,[2]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 16:0_24:3,PA,0.007049296240589399,1.868024547638269e-07,COMPUTED,True,True,True,[3]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 16:0_24:4,PA,0.0005419420064713803,,NOT_COMPUTED,False,False,False,[4]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 16:0_24:5,PA,0.004932005415317424,4.125822991359389e-23,COMPUTED,True,False,False,[5]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 16:1_24:1,PA,0.00012748280334319746,,NOT_COMPUTED,False,False,False,[7]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 16:1_24:2,PA,0.0001113331363661649,,NOT_COMPUTED,False,False,False,[8]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 16:1_24:3,PA,0.0007532945124764901,,NOT_COMPUTED,False,False,False,[9]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 16:1_24:4,PA,2.2982661952528942e-05,,NOT_COMPUTED,False,False,False,[10]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 17:0_24:4,PA,3.490588717906397e-07,,NOT_COMPUTED,False,False,False,[123]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 17:1_24:4,PA,5.165885631934767e-06,,NOT_COMPUTED,False,False,False,[124]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 18:0_22:0,PA,9.311200684808365e-05,,NOT_COMPUTED,False,False,False,[11]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 18:0_22:1,PA,7.470413579886303e-05,,NOT_COMPUTED,False,False,False,[12]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 18:0_22:2,PA,0.011892451080014799,3.419289821375687e-07,COMPUTED,True,True,True,[13]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 18:0_22:3,PA,0.00060496857648587,,NOT_COMPUTED,False,False,False,[14]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 18:0_22:4,PA,0.0014823322546958873,0.0,COMPUTED,True,False,False,[15]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 18:0_22:5,PA,0.0010775644988294181,0.0,COMPUTED,True,False,False,[16]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 18:0_24:0,PA,0.0005222279873016955,,NOT_COMPUTED,False,False,False,[17]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 18:0_24:1,PA,0.00018212394883842115,,NOT_COMPUTED,False,False,False,[18]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 18:0_24:2,PA,1.902602068285975e-05,,NOT_COMPUTED,False,False,False,[19]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 18:0_24:3,PA,0.0021848273764044153,0.0,COMPUTED,True,False,False,[20]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 18:0_24:4,PA,8.369047417268395e-05,,NOT_COMPUTED,False,False,False,[21]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 18:0_24:5,PA,0.0006490348094323585,,NOT_COMPUTED,False,False,False,[22]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 18:0_24:6,PA,0.0023075801426880697,4.712091774158327e-22,COMPUTED,True,False,False,[23]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 18:1_22:1,PA,0.0002646717998298725,,NOT_COMPUTED,False,False,False,[25]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 18:1_22:2,PA,1.0106286501456165e-05,,NOT_COMPUTED,False,False,False,[26]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 18:1_22:3,PA,0.004822466751296993,3.1137812029775525e-07,COMPUTED,True,True,True,[27]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 18:1_22:4,PA,5.603082762917794e-06,,NOT_COMPUTED,False,False,False,[28]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 18:1_24:1,PA,1.6262428086390715e-05,,NOT_COMPUTED,False,False,False,[30]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 18:1_24:2,PA,0.00042018061032635557,,NOT_COMPUTED,False,False,False,[31]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 18:1_24:3,PA,0.004720206254577522,6.947626429058935e-24,COMPUTED,True,False,False,[32]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 18:1_24:4,PA,3.8187622205344375e-06,,NOT_COMPUTED,False,False,False,[33]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 18:1_24:5,PA,0.0001852222265053137,,NOT_COMPUTED,False,False,False,[34]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 18:1_24:6,PA,0.0003384549978658744,,NOT_COMPUTED,False,False,False,[35]
