dataset_id,split,replicate,complexity_condition,global_truth_K,candidate_index,candidate_id,lipid_name,X_hat,candidate_truth,molecular_truth,same_lipid_alternative_candidate,rho_zero,domain,K,reportable_truth
D0__HOLD_R3_K125,HOLD,R3,K125,125,1,PA-H__0076,PA 16:0_24:1,0.003612504933684703,False,False,False,1.646702970161449e-23,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,3,PA-H__0078,PA 16:0_24:3,0.007049296240589399,True,True,False,1.868024547638269e-07,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,5,PA-H__0080,PA 16:0_24:5,0.004932005415317424,False,False,False,4.125822991359389e-23,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,13,PA-H__0119,PA 18:0_22:2,0.011892451080014799,True,True,False,3.419289821375687e-07,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,15,PA-H__0121,PA 18:0_22:4,0.0014823322546958873,False,False,False,0.0,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,16,PA-H__0122,PA 18:0_22:5,0.0010775644988294181,False,False,False,0.0,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,20,PA-H__0127,PA 18:0_24:3,0.0021848273764044153,False,False,False,0.0,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,23,PA-H__0130,PA 18:0_24:6,0.0023075801426880697,False,False,False,4.712091774158327e-22,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,24,PA-H__0140,PA 22:0_18:1,0.0017569460552194882,True,True,False,1.2816556107146862e-07,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,27,PA-H__0143,PA 18:1_22:3,0.004822466751296993,True,True,False,3.1137812029775525e-07,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,32,PA-H__0150,PA 18:1_24:3,0.004720206254577522,False,False,False,6.947626429058935e-24,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,38,PA-H__0164,PA 18:2_22:2,0.0028576958721719383,False,False,False,2.1702749869964698e-26,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,41,PA-H__0170,PA 24:1_18:2,0.0042352272799798096,True,True,False,2.8743941235684066e-07,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,42,PA-H__0171,PA 18:2_24:2,0.0030246077368963884,False,False,False,0.0,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,43,PA-H__0172,PA 18:2_24:3,0.016757818976197835,True,True,False,9.999045811854642e-06,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,44,PA-H__0173,PA 18:2_24:4,0.0020009695594939507,False,False,False,0.0,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,46,PA-H__0175,PA 18:2_24:6,0.013424883836815737,False,False,False,3.2412284981735686e-27,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,47,PA-H__0183,PA 22:0_18:3,0.0016919871253519773,False,False,False,0.0,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,51,PA-H__0191,PA 24:1_18:3,0.005846117666930169,False,False,False,2.3885867945495044e-22,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,52,PA-H__0192,PA 24:2_18:3,0.03133571053761827,True,True,False,1.688323964052398e-05,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,53,PA-H__0193,PA 18:3_24:3,0.004932308904581655,False,False,False,0.0,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,54,PA-H__0194,PA 18:3_24:4,0.002389648334533972,False,False,False,0.0,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,56,PA-H__0196,PA 18:3_24:6,0.010119179644761748,True,True,False,1.0741721139608865e-05,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,59,PA-H__0199,PA 20:0_20:2,0.00123435866890094,False,False,False,0.0,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,61,PA-H__0201,PA 20:0_20:4,0.007055867292536257,False,False,False,2.6619147199886467e-22,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,63,PA-H__0203,PA 20:0_22:0,0.014290591236395254,True,True,False,3.18102860004514e-05,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,66,PA-H__0206,PA 20:0_22:3,0.002170558703899211,False,False,False,0.0,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,67,PA-H__0207,PA 20:0_22:4,0.013145049977099312,False,False,False,0.0,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,68,PA-H__0208,PA 20:0_22:5,0.011591802441096692,True,True,False,1.2635475566603685e-06,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,69,PA-H__0209,PA 20:0_22:6,0.004037229530008975,False,False,False,0.0,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,70,PA-H__0217,PA 20:1_20:1,0.001678642644095179,False,False,False,2.697167234573981e-28,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,72,PA-H__0219,PA 20:1_20:3,0.0037257365673048328,False,False,False,0.0,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,79,PA-H__0227,PA 20:1_22:5,0.002714725509622136,False,False,False,2.5580519522154767e-23,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,81,PA-H__0236,PA 20:2_20:2,0.004102720869798636,True,True,False,1.7468814894920673e-06,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,85,PA-H__0242,PA 20:2_22:2,0.0030651799751176398,False,False,False,9.100749605045905e-23,D0,125,False
